"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_wielorodzinnych_mc"
"27800",3208000,"Powiat kołobrzeski",2002,NA
"27801",3209000,"Powiat koszaliński",2002,NA
"27802",3210000,"Powiat myśliborski",2002,NA
"27803",3211000,"Powiat policki",2002,NA
"27804",3212000,"Powiat pyrzycki",2002,NA
"27805",3213000,"Powiat sławieński",2002,NA
"27806",3214000,"Powiat stargardzki",2002,NA
"27807",3215000,"Powiat szczecinecki",2002,NA
"27808",3216000,"Powiat świdwiński",2002,NA
"27809",3217000,"Powiat wałecki",2002,NA
"27810",3218000,"Powiat łobeski",2002,NA
"27811",3261000,"Powiat m.Koszalin",2002,NA
"27812",3262000,"Powiat m.Szczecin",2002,NA
"27813",3263000,"Powiat m.Świnoujście",2002,NA
"27814",201000,"Powiat bolesławiecki",2003,NA
"27815",202000,"Powiat dzierżoniowski",2003,NA
"27816",203000,"Powiat głogowski",2003,NA
"27817",204000,"Powiat górowski",2003,NA
"27818",205000,"Powiat jaworski",2003,NA
"27819",206000,"Powiat jeleniogórski",2003,NA
"27820",207000,"Powiat kamiennogórski",2003,NA
"27821",208000,"Powiat kłodzki",2003,NA
"27822",209000,"Powiat legnicki",2003,NA
"27823",210000,"Powiat lubański",2003,NA
"27824",211000,"Powiat lubiński",2003,NA
"27825",212000,"Powiat lwówecki",2003,NA
"27826",213000,"Powiat milicki",2003,NA
"27827",214000,"Powiat oleśnicki",2003,NA
"27828",215000,"Powiat oławski",2003,NA
"27829",216000,"Powiat polkowicki",2003,NA
"27830",217000,"Powiat strzeliński",2003,NA
"27831",218000,"Powiat średzki",2003,NA
"27832",219000,"Powiat świdnicki",2003,NA
"27833",220000,"Powiat trzebnicki",2003,NA
"27834",221000,"Powiat wałbrzyski",2003,NA
"27835",222000,"Powiat wołowski",2003,NA
"27836",223000,"Powiat wrocławski",2003,NA
"27837",224000,"Powiat ząbkowicki",2003,NA
"27838",225000,"Powiat zgorzelecki",2003,NA
"27839",226000,"Powiat złotoryjski",2003,NA
"27840",261000,"Powiat m.Jelenia Góra",2003,NA
