"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2648",3209000,"Powiat koszaliński",2018,78
"2649",3210000,"Powiat myśliborski",2018,17
"2650",3211000,"Powiat policki",2018,18
"2651",3212000,"Powiat pyrzycki",2018,50
"2652",3213000,"Powiat sławieński",2018,34
"2653",3214000,"Powiat stargardzki",2018,28
"2654",3215000,"Powiat szczecinecki",2018,41
"2655",3216000,"Powiat świdwiński",2018,19
"2656",3217000,"Powiat wałecki",2018,24
"2657",3218000,"Powiat łobeski",2018,54
"2658",3261000,"Powiat m.Koszalin",2018,48
"2659",3262000,"Powiat m.Szczecin",2018,18
"2660",3263000,"Powiat m.Świnoujście",2018,37
"2661",201000,"Powiat bolesławiecki",2019,NA
"2662",202000,"Powiat dzierżoniowski",2019,NA
"2663",203000,"Powiat głogowski",2019,NA
"2664",204000,"Powiat górowski",2019,NA
"2665",205000,"Powiat jaworski",2019,NA
"2666",206000,"Powiat jeleniogórski",2019,NA
"2667",207000,"Powiat kamiennogórski",2019,NA
"2668",208000,"Powiat kłodzki",2019,NA
"2669",209000,"Powiat legnicki",2019,NA
"2670",210000,"Powiat lubański",2019,NA
"2671",211000,"Powiat lubiński",2019,NA
"2672",212000,"Powiat lwówecki",2019,NA
"2673",213000,"Powiat milicki",2019,NA
"2674",214000,"Powiat oleśnicki",2019,NA
"2675",215000,"Powiat oławski",2019,NA
"2676",216000,"Powiat polkowicki",2019,NA
"2677",217000,"Powiat strzeliński",2019,NA
"2678",218000,"Powiat średzki",2019,NA
"2679",219000,"Powiat świdnicki",2019,NA
"2680",220000,"Powiat trzebnicki",2019,NA
"2681",221000,"Powiat wałbrzyski",2019,NA
"2682",222000,"Powiat wołowski",2019,NA
"2683",223000,"Powiat wrocławski",2019,NA
"2684",224000,"Powiat ząbkowicki",2019,NA
"2685",225000,"Powiat zgorzelecki",2019,NA
"2686",226000,"Powiat złotoryjski",2019,NA
"2687",261000,"Powiat m.Jelenia Góra",2019,NA
"2688",262000,"Powiat m.Legnica",2019,NA
"2689",264000,"Powiat m.Wrocław",2019,NA
"2690",265000,"Powiat m.Wałbrzych od 2013",2019,NA
"2691",401000,"Powiat aleksandrowski",2019,NA
"2692",402000,"Powiat brodnicki",2019,NA
"2693",403000,"Powiat bydgoski",2019,NA
"2694",404000,"Powiat chełmiński",2019,NA
"2695",405000,"Powiat golubsko-dobrzyński",2019,NA
"2696",406000,"Powiat grudziądzki",2019,NA
"2697",407000,"Powiat inowrocławski",2019,NA
"2698",408000,"Powiat lipnowski",2019,NA
"2699",409000,"Powiat mogileński",2019,NA
"2700",410000,"Powiat nakielski",2019,NA
"2701",411000,"Powiat radziejowski",2019,NA
"2702",412000,"Powiat rypiński",2019,NA
"2703",413000,"Powiat sępoleński",2019,NA
"2704",414000,"Powiat świecki",2019,NA
"2705",415000,"Powiat toruński",2019,NA
"2706",416000,"Powiat tucholski",2019,NA
"2707",417000,"Powiat wąbrzeski",2019,NA
"2708",418000,"Powiat włocławski",2019,NA
"2709",419000,"Powiat żniński",2019,NA
"2710",461000,"Powiat m.Bydgoszcz",2019,NA
"2711",462000,"Powiat m.Grudziądz",2019,NA
"2712",463000,"Powiat m.Toruń",2019,NA
"2713",464000,"Powiat m.Włocławek",2019,NA
"2714",601000,"Powiat bialski",2019,NA
"2715",602000,"Powiat biłgorajski",2019,NA
"2716",603000,"Powiat chełmski",2019,NA
"2717",604000,"Powiat hrubieszowski",2019,NA
"2718",605000,"Powiat janowski",2019,NA
"2719",606000,"Powiat krasnostawski",2019,NA
"2720",607000,"Powiat kraśnicki",2019,NA
"2721",608000,"Powiat lubartowski",2019,NA
"2722",609000,"Powiat lubelski",2019,NA
"2723",610000,"Powiat łęczyński",2019,NA
"2724",611000,"Powiat łukowski",2019,NA
"2725",612000,"Powiat opolski",2019,NA
"2726",613000,"Powiat parczewski",2019,NA
"2727",614000,"Powiat puławski",2019,NA
"2728",615000,"Powiat radzyński",2019,NA
"2729",616000,"Powiat rycki",2019,NA
"2730",617000,"Powiat świdnicki",2019,NA
"2731",618000,"Powiat tomaszowski",2019,NA
"2732",619000,"Powiat włodawski",2019,NA
"2733",620000,"Powiat zamojski",2019,NA
"2734",661000,"Powiat m.Biała Podlaska",2019,NA
"2735",662000,"Powiat m.Chełm",2019,NA
"2736",663000,"Powiat m.Lublin",2019,NA
"2737",664000,"Powiat m.Zamość",2019,NA
"2738",801000,"Powiat gorzowski",2019,NA
"2739",802000,"Powiat krośnieński",2019,NA
"2740",803000,"Powiat międzyrzecki",2019,NA
