"","Kod","Nazwa","rok","Lekarze_wskazniki_lekarze_personel_pracujacy_ogolem_na_10_tys_ludnosci_osoba"
"5767",614000,"Powiat puławski",2013,61
"5768",615000,"Powiat radzyński",2013,31.4
"5769",616000,"Powiat rycki",2013,45.1
"5770",617000,"Powiat świdnicki",2013,28.1
"5771",618000,"Powiat tomaszowski",2013,23.8
"5772",619000,"Powiat włodawski",2013,52.1
"5773",620000,"Powiat zamojski",2013,11
"5774",661000,"Powiat m.Biała Podlaska",2013,68.9
"5775",662000,"Powiat m.Chełm",2013,67.2
"5776",663000,"Powiat m.Lublin",2013,182.4
"5777",664000,"Powiat m.Zamość",2013,115.9
"5778",801000,"Powiat gorzowski",2013,19.3
"5779",802000,"Powiat krośnieński",2013,29.3
"5780",803000,"Powiat międzyrzecki",2013,36.5
"5781",804000,"Powiat nowosolski",2013,41.8
"5782",805000,"Powiat słubicki",2013,20.7
"5783",806000,"Powiat strzelecko-drezdenecki",2013,25.8
"5784",807000,"Powiat sulęciński",2013,36.1
"5785",808000,"Powiat świebodziński",2013,47.7
"5786",809000,"Powiat zielonogórski",2013,22.2
"5787",810000,"Powiat żagański",2013,19.8
"5788",811000,"Powiat żarski",2013,35.5
"5789",812000,"Powiat wschowski",2013,24.1
"5790",861000,"Powiat m.Gorzów Wielkopolski",2013,62.2
"5791",862000,"Powiat m.Zielona Góra",2013,83
"5792",1001000,"Powiat bełchatowski",2013,42
"5793",1002000,"Powiat kutnowski",2013,34.9
"5794",1003000,"Powiat łaski",2013,26.4
"5795",1004000,"Powiat łęczycki",2013,41.8
"5796",1005000,"Powiat łowicki",2013,29.4
"5797",1006000,"Powiat łódzki wschodni",2013,32.5
"5798",1007000,"Powiat opoczyński",2013,18.4
"5799",1008000,"Powiat pabianicki",2013,56.7
"5800",1009000,"Powiat pajęczański",2013,18.1
"5801",1010000,"Powiat piotrkowski",2013,6.3
"5802",1011000,"Powiat poddębicki",2013,42.3
"5803",1012000,"Powiat radomszczański",2013,35.9
"5804",1013000,"Powiat rawski",2013,37.3
"5805",1014000,"Powiat sieradzki",2013,57.2
"5806",1015000,"Powiat skierniewicki",2013,14.4
"5807",1016000,"Powiat tomaszowski",2013,37.8
"5808",1017000,"Powiat wieluński",2013,42.8
"5809",1018000,"Powiat wieruszowski",2013,17.7
"5810",1019000,"Powiat zduńskowolski",2013,35.2
"5811",1020000,"Powiat zgierski",2013,46.3
"5812",1021000,"Powiat brzeziński",2013,82.1
"5813",1061000,"Powiat m.Łódź",2013,110.9
"5814",1062000,"Powiat m.Piotrków Trybunalski",2013,65.6
"5815",1063000,"Powiat m.Skierniewice",2013,71.1
"5816",1201000,"Powiat bocheński",2013,33.7
"5817",1202000,"Powiat brzeski",2013,28.7
"5818",1203000,"Powiat chrzanowski",2013,42.3
"5819",1204000,"Powiat dąbrowski",2013,33.8
"5820",1205000,"Powiat gorlicki",2013,34.3
"5821",1206000,"Powiat krakowski",2013,17.5
"5822",1207000,"Powiat limanowski",2013,29.3
"5823",1208000,"Powiat miechowski",2013,35.6
"5824",1209000,"Powiat myślenicki",2013,26.8
"5825",1210000,"Powiat nowosądecki",2013,17.9
"5826",1211000,"Powiat nowotarski",2013,34.4
"5827",1212000,"Powiat olkuski",2013,39.2
"5828",1213000,"Powiat oświęcimski",2013,31.4
"5829",1214000,"Powiat proszowicki",2013,31.9
"5830",1215000,"Powiat suski",2013,32.9
"5831",1216000,"Powiat tarnowski",2013,18.1
"5832",1217000,"Powiat tatrzański",2013,42.7
"5833",1218000,"Powiat wadowicki",2013,21.6
"5834",1219000,"Powiat wielicki",2013,24
"5835",1261000,"Powiat m.Kraków",2013,127.9
"5836",1262000,"Powiat m.Nowy Sącz",2013,86.1
"5837",1263000,"Powiat m.Tarnów",2013,96.6
"5838",1401000,"Powiat białobrzeski",2013,9.5
"5839",1402000,"Powiat ciechanowski",2013,34.6
"5840",1403000,"Powiat garwoliński",2013,24.2
"5841",1404000,"Powiat gostyniński",2013,48.8
"5842",1405000,"Powiat grodziski",2013,54.2
"5843",1406000,"Powiat grójecki",2013,26.4
"5844",1407000,"Powiat kozienicki",2013,33
"5845",1408000,"Powiat legionowski",2013,20.5
"5846",1409000,"Powiat lipski",2013,22.2
"5847",1410000,"Powiat łosicki",2013,30.2
"5848",1411000,"Powiat makowski",2013,24.3
"5849",1412000,"Powiat miński",2013,23
"5850",1413000,"Powiat mławski",2013,15
"5851",1414000,"Powiat nowodworski",2013,33
"5852",1415000,"Powiat ostrołęcki",2013,7.3
"5853",1416000,"Powiat ostrowski",2013,28.1
"5854",1417000,"Powiat otwocki",2013,51.8
"5855",1418000,"Powiat piaseczyński",2013,48.3
"5856",1419000,"Powiat płocki",2013,6.8
"5857",1420000,"Powiat płoński",2013,29.4
"5858",1421000,"Powiat pruszkowski",2013,158
"5859",1422000,"Powiat przasnyski",2013,24.5
"5860",1423000,"Powiat przysuski",2013,20.7
"5861",1424000,"Powiat pułtuski",2013,30.2
