"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_do_40_m2_zl"
"11847",614000,"Powiat puławski",2016,4265
"11848",615000,"Powiat radzyński",2016,0
"11849",616000,"Powiat rycki",2016,0
"11850",617000,"Powiat świdnicki",2016,0
"11851",618000,"Powiat tomaszowski",2016,0
"11852",619000,"Powiat włodawski",2016,0
"11853",620000,"Powiat zamojski",2016,0
"11854",661000,"Powiat m.Biała Podlaska",2016,3030
"11855",662000,"Powiat m.Chełm",2016,0
"11856",663000,"Powiat m.Lublin",2016,5093
"11857",664000,"Powiat m.Zamość",2016,3559
"11858",801000,"Powiat gorzowski",2016,2862
"11859",802000,"Powiat krośnieński",2016,0
"11860",803000,"Powiat międzyrzecki",2016,0
"11861",804000,"Powiat nowosolski",2016,0
"11862",805000,"Powiat słubicki",2016,0
"11863",806000,"Powiat strzelecko-drezdenecki",2016,2961
"11864",807000,"Powiat sulęciński",2016,0
"11865",808000,"Powiat świebodziński",2016,2998
"11866",809000,"Powiat zielonogórski",2016,0
"11867",810000,"Powiat żagański",2016,0
"11868",811000,"Powiat żarski",2016,2705
"11869",812000,"Powiat wschowski",2016,0
"11870",861000,"Powiat m.Gorzów Wielkopolski",2016,3410
"11871",862000,"Powiat m.Zielona Góra",2016,3596
"11872",1001000,"Powiat bełchatowski",2016,3768
"11873",1002000,"Powiat kutnowski",2016,0
"11874",1003000,"Powiat łaski",2016,0
"11875",1004000,"Powiat łęczycki",2016,0
"11876",1005000,"Powiat łowicki",2016,4507
"11877",1006000,"Powiat łódzki wschodni",2016,0
"11878",1007000,"Powiat opoczyński",2016,0
"11879",1008000,"Powiat pabianicki",2016,3679
"11880",1009000,"Powiat pajęczański",2016,3096
"11881",1010000,"Powiat piotrkowski",2016,0
"11882",1011000,"Powiat poddębicki",2016,0
"11883",1012000,"Powiat radomszczański",2016,0
"11884",1013000,"Powiat rawski",2016,0
"11885",1014000,"Powiat sieradzki",2016,2580
"11886",1015000,"Powiat skierniewicki",2016,0
"11887",1016000,"Powiat tomaszowski",2016,4025
"11888",1017000,"Powiat wieluński",2016,0
"11889",1018000,"Powiat wieruszowski",2016,0
"11890",1019000,"Powiat zduńskowolski",2016,0
"11891",1020000,"Powiat zgierski",2016,0
"11892",1021000,"Powiat brzeziński",2016,2698
"11893",1061000,"Powiat m.Łódź",2016,4520
"11894",1062000,"Powiat m.Piotrków Trybunalski",2016,0
"11895",1063000,"Powiat m.Skierniewice",2016,0
"11896",1201000,"Powiat bocheński",2016,3646
"11897",1202000,"Powiat brzeski",2016,3914
"11898",1203000,"Powiat chrzanowski",2016,0
"11899",1204000,"Powiat dąbrowski",2016,0
"11900",1205000,"Powiat gorlicki",2016,2357
"11901",1206000,"Powiat krakowski",2016,4896
"11902",1207000,"Powiat limanowski",2016,0
"11903",1208000,"Powiat miechowski",2016,0
"11904",1209000,"Powiat myślenicki",2016,0
"11905",1210000,"Powiat nowosądecki",2016,12034
"11906",1211000,"Powiat nowotarski",2016,3451
"11907",1212000,"Powiat olkuski",2016,0
"11908",1213000,"Powiat oświęcimski",2016,2341
"11909",1214000,"Powiat proszowicki",2016,0
"11910",1215000,"Powiat suski",2016,0
"11911",1216000,"Powiat tarnowski",2016,0
"11912",1217000,"Powiat tatrzański",2016,0
"11913",1218000,"Powiat wadowicki",2016,4611
"11914",1219000,"Powiat wielicki",2016,4489
"11915",1261000,"Powiat m.Kraków",2016,6537
"11916",1262000,"Powiat m.Nowy Sącz",2016,3720
"11917",1263000,"Powiat m.Tarnów",2016,4173
"11918",1401000,"Powiat białobrzeski",2016,0
"11919",1402000,"Powiat ciechanowski",2016,3668
"11920",1403000,"Powiat garwoliński",2016,0
"11921",1404000,"Powiat gostyniński",2016,0
"11922",1405000,"Powiat grodziski",2016,3763
"11923",1406000,"Powiat grójecki",2016,3472
"11924",1407000,"Powiat kozienicki",2016,3391
"11925",1408000,"Powiat legionowski",2016,4472
"11926",1409000,"Powiat lipski",2016,0
"11927",1410000,"Powiat łosicki",2016,0
"11928",1411000,"Powiat makowski",2016,0
"11929",1412000,"Powiat miński",2016,3952
"11930",1413000,"Powiat mławski",2016,2971
"11931",1414000,"Powiat nowodworski",2016,4243
"11932",1415000,"Powiat ostrołęcki",2016,0
"11933",1416000,"Powiat ostrowski",2016,0
"11934",1417000,"Powiat otwocki",2016,4768
"11935",1418000,"Powiat piaseczyński",2016,5326
"11936",1419000,"Powiat płocki",2016,0
"11937",1420000,"Powiat płoński",2016,3509
"11938",1421000,"Powiat pruszkowski",2016,5284
"11939",1422000,"Powiat przasnyski",2016,0
"11940",1423000,"Powiat przysuski",2016,0
"11941",1424000,"Powiat pułtuski",2016,3329
"11942",1425000,"Powiat radomski",2016,0
"11943",1426000,"Powiat siedlecki",2016,0
"11944",1427000,"Powiat sierpecki",2016,0
"11945",1428000,"Powiat sochaczewski",2016,4547
"11946",1429000,"Powiat sokołowski",2016,2870
"11947",1430000,"Powiat szydłowiecki",2016,0
"11948",1432000,"Powiat warszawski zachodni",2016,3998
