"","Kod","Nazwa","rok","Dochody_powiatu_na_1_mieszkanca_ogolem_zl"
"559",2612000,"Powiat staszowski",2003,438
"560",2613000,"Powiat włoszczowski",2003,413
"561",2801000,"Powiat bartoszycki",2003,487
"562",2802000,"Powiat braniewski",2003,573
"563",2803000,"Powiat działdowski",2003,407
"564",2804000,"Powiat elbląski",2003,584
"565",2805000,"Powiat ełcki",2003,594
"566",2806000,"Powiat giżycki",2003,572
"567",2807000,"Powiat iławski",2003,471
"568",2808000,"Powiat kętrzyński",2003,626
"569",2809000,"Powiat lidzbarski",2003,549
"570",2810000,"Powiat mrągowski",2003,588
"571",2811000,"Powiat nidzicki",2003,532
"572",2812000,"Powiat nowomiejski",2003,410
"573",2813000,"Powiat olecki",2003,733
"574",2814000,"Powiat olsztyński",2003,440
"575",2815000,"Powiat ostródzki",2003,495
"576",2816000,"Powiat piski",2003,448
"577",2817000,"Powiat szczycieński",2003,519
"578",2818000,"Powiat gołdapski",2003,538
"579",2819000,"Powiat węgorzewski",2003,806
"580",3001000,"Powiat chodzieski",2003,513
"581",3002000,"Powiat czarnkowsko-trzcianecki",2003,627
"582",3003000,"Powiat gnieźnieński",2003,501
"583",3004000,"Powiat gostyński",2003,535
"584",3005000,"Powiat grodziski",2003,334
"585",3006000,"Powiat jarociński",2003,445
"586",3007000,"Powiat kaliski",2003,234
"587",3008000,"Powiat kępiński",2003,412
"588",3009000,"Powiat kolski",2003,451
"589",3010000,"Powiat koniński",2003,248
"590",3011000,"Powiat kościański",2003,350
"591",3012000,"Powiat krotoszyński",2003,524
"592",3013000,"Powiat leszczyński",2003,264
"593",3014000,"Powiat międzychodzki",2003,648
"594",3015000,"Powiat nowotomyski",2003,386
"595",3016000,"Powiat obornicki",2003,436
"596",3017000,"Powiat ostrowski",2003,416
"597",3018000,"Powiat ostrzeszowski",2003,594
"598",3019000,"Powiat pilski",2003,539
"599",3020000,"Powiat pleszewski",2003,631
"600",3021000,"Powiat poznański",2003,244
"601",3022000,"Powiat rawicki",2003,433
"602",3023000,"Powiat słupecki",2003,608
"603",3024000,"Powiat szamotulski",2003,457
"604",3025000,"Powiat średzki",2003,440
"605",3026000,"Powiat śremski",2003,473
"606",3027000,"Powiat turecki",2003,461
"607",3028000,"Powiat wągrowiecki",2003,452
"608",3029000,"Powiat wolsztyński",2003,483
