"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_poprodukcyjnym_proc"
"14031",2811000,"Powiat nidzicki",2002,13
"14032",2812000,"Powiat nowomiejski",2002,13.5
"14033",2813000,"Powiat olecki",2002,13.6
"14034",2814000,"Powiat olsztyński",2002,12
"14035",2815000,"Powiat ostródzki",2002,12.9
"14036",2816000,"Powiat piski",2002,12.8
"14037",2817000,"Powiat szczycieński",2002,12.7
"14038",2818000,"Powiat gołdapski",2002,13.4
"14039",2819000,"Powiat węgorzewski",2002,15.3
"14040",2861000,"Powiat m.Elbląg",2002,13.8
"14041",2862000,"Powiat m.Olsztyn",2002,13.3
"14042",3001000,"Powiat chodzieski",2002,12.7
"14043",3002000,"Powiat czarnkowsko-trzcianecki",2002,12.9
"14044",3003000,"Powiat gnieźnieński",2002,12.5
"14045",3004000,"Powiat gostyński",2002,13.8
"14046",3005000,"Powiat grodziski",2002,12.2
"14047",3006000,"Powiat jarociński",2002,13.8
"14048",3007000,"Powiat kaliski",2002,15.4
"14049",3008000,"Powiat kępiński",2002,13.4
"14050",3009000,"Powiat kolski",2002,15
"14051",3010000,"Powiat koniński",2002,13.6
"14052",3011000,"Powiat kościański",2002,13.6
"14053",3012000,"Powiat krotoszyński",2002,13.8
"14054",3013000,"Powiat leszczyński",2002,12.4
"14055",3014000,"Powiat międzychodzki",2002,12.4
"14056",3015000,"Powiat nowotomyski",2002,12.6
"14057",3016000,"Powiat obornicki",2002,11.6
"14058",3017000,"Powiat ostrowski",2002,13.8
"14059",3018000,"Powiat ostrzeszowski",2002,13.4
"14060",3019000,"Powiat pilski",2002,12
"14061",3020000,"Powiat pleszewski",2002,13.4
"14062",3021000,"Powiat poznański",2002,11.6
"14063",3022000,"Powiat rawicki",2002,13.6
"14064",3023000,"Powiat słupecki",2002,13.9
"14065",3024000,"Powiat szamotulski",2002,13.2
"14066",3025000,"Powiat średzki",2002,12.9
"14067",3026000,"Powiat śremski",2002,11.6
"14068",3027000,"Powiat turecki",2002,14.3
"14069",3028000,"Powiat wągrowiecki",2002,12.7
"14070",3029000,"Powiat wolsztyński",2002,12.2
"14071",3030000,"Powiat wrzesiński",2002,12.9
"14072",3031000,"Powiat złotowski",2002,12.1
"14073",3061000,"Powiat m.Kalisz",2002,15.7
"14074",3062000,"Powiat m.Konin",2002,12.4
"14075",3063000,"Powiat m.Leszno",2002,12.9
"14076",3064000,"Powiat m.Poznań",2002,16.3
"14077",3201000,"Powiat białogardzki",2002,13.4
"14078",3202000,"Powiat choszczeński",2002,13
"14079",3203000,"Powiat drawski",2002,12.7
"14080",3204000,"Powiat goleniowski",2002,12.3
"14081",3205000,"Powiat gryficki",2002,12.8
"14082",3206000,"Powiat gryfiński",2002,12
"14083",3207000,"Powiat kamieński",2002,12.9
"14084",3208000,"Powiat kołobrzeski",2002,13
"14085",3209000,"Powiat koszaliński",2002,11.6
"14086",3210000,"Powiat myśliborski",2002,13.2
"14087",3211000,"Powiat policki",2002,8.6
"14088",3212000,"Powiat pyrzycki",2002,13.3
"14089",3213000,"Powiat sławieński",2002,13
"14090",3214000,"Powiat stargardzki",2002,12.6
"14091",3215000,"Powiat szczecinecki",2002,13.7
"14092",3216000,"Powiat świdwiński",2002,13.5
"14093",3217000,"Powiat wałecki",2002,12.4
"14094",3218000,"Powiat łobeski",2002,14.5
"14095",3261000,"Powiat m.Koszalin",2002,14.9
"14096",3262000,"Powiat m.Szczecin",2002,16.2
"14097",3263000,"Powiat m.Świnoujście",2002,13.7
"14098",201000,"Powiat bolesławiecki",2003,13.9
"14099",202000,"Powiat dzierżoniowski",2003,17.3
"14100",203000,"Powiat głogowski",2003,10.4
"14101",204000,"Powiat górowski",2003,14
"14102",205000,"Powiat jaworski",2003,14.6
"14103",206000,"Powiat jeleniogórski",2003,15.1
"14104",207000,"Powiat kamiennogórski",2003,15.7
"14105",208000,"Powiat kłodzki",2003,16.4
"14106",209000,"Powiat legnicki",2003,14.7
"14107",210000,"Powiat lubański",2003,15
"14108",211000,"Powiat lubiński",2003,11.5
"14109",212000,"Powiat lwówecki",2003,15.2
"14110",213000,"Powiat milicki",2003,13.1
"14111",214000,"Powiat oleśnicki",2003,13.1
"14112",215000,"Powiat oławski",2003,12.6
"14113",216000,"Powiat polkowicki",2003,11.4
"14114",217000,"Powiat strzeliński",2003,15.8
"14115",218000,"Powiat średzki",2003,14.3
"14116",219000,"Powiat świdnicki",2003,15.1
"14117",220000,"Powiat trzebnicki",2003,13.3
"14118",221000,"Powiat wałbrzyski",2003,17.9
"14119",222000,"Powiat wołowski",2003,15.5
"14120",223000,"Powiat wrocławski",2003,13.5
"14121",224000,"Powiat ząbkowicki",2003,15.8
"14122",225000,"Powiat zgorzelecki",2003,14.5
"14123",226000,"Powiat złotoryjski",2003,13.6
"14124",261000,"Powiat m.Jelenia Góra",2003,17.7
"14125",262000,"Powiat m.Legnica",2003,14.4
"14126",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"14127",264000,"Powiat m.Wrocław",2003,17.6
"14128",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"14129",401000,"Powiat aleksandrowski",2003,15.7
"14130",402000,"Powiat brodnicki",2003,13.9
"14131",403000,"Powiat bydgoski",2003,11.9
