"","Kod","Nazwa","rok","Gestosc_zaludnienia_oraz_wskazniki_ludnosc_na_1_km2_osoba"
"512",1215000,"Powiat suski",2003,119
"513",1216000,"Powiat tarnowski",2003,136
"514",1217000,"Powiat tatrzański",2003,139
"515",1218000,"Powiat wadowicki",2003,238
"516",1219000,"Powiat wielicki",2003,243
"517",1261000,"Powiat m.Kraków",2003,2318
"518",1262000,"Powiat m.Nowy Sącz",2003,1479
"519",1263000,"Powiat m.Tarnów",2003,1640
"520",1401000,"Powiat białobrzeski",2003,53
"521",1402000,"Powiat ciechanowski",2003,87
"522",1403000,"Powiat garwoliński",2003,83
"523",1404000,"Powiat gostyniński",2003,77
"524",1405000,"Powiat grodziski",2003,206
"525",1406000,"Powiat grójecki",2003,76
"526",1407000,"Powiat kozienicki",2003,68
"527",1408000,"Powiat legionowski",2003,239
"528",1409000,"Powiat lipski",2003,51
"529",1410000,"Powiat łosicki",2003,43
"530",1411000,"Powiat makowski",2003,44
"531",1412000,"Powiat miński",2003,120
"532",1413000,"Powiat mławski",2003,63
"533",1414000,"Powiat nowodworski",2003,109
"534",1415000,"Powiat ostrołęcki",2003,40
"535",1416000,"Powiat ostrowski",2003,62
"536",1417000,"Powiat otwocki",2003,186
"537",1418000,"Powiat piaseczyński",2003,221
"538",1419000,"Powiat płocki",2003,59
"539",1420000,"Powiat płoński",2003,64
"540",1421000,"Powiat pruszkowski",2003,581
"541",1422000,"Powiat przasnyski",2003,44
"542",1423000,"Powiat przysuski",2003,55
"543",1424000,"Powiat pułtuski",2003,62
"544",1425000,"Powiat radomski",2003,94
"545",1426000,"Powiat siedlecki",2003,50
"546",1427000,"Powiat sierpecki",2003,64
"547",1428000,"Powiat sochaczewski",2003,114
"548",1429000,"Powiat sokołowski",2003,51
"549",1430000,"Powiat szydłowiecki",2003,88
"550",1432000,"Powiat warszawski zachodni",2003,182
"551",1433000,"Powiat węgrowski",2003,56
"552",1434000,"Powiat wołomiński",2003,206
"553",1435000,"Powiat wyszkowski",2003,82
"554",1436000,"Powiat zwoleński",2003,66
"555",1437000,"Powiat żuromiński",2003,50
"556",1438000,"Powiat żyrardowski",2003,141
"557",1461000,"Powiat m.Ostrołęka",2003,1869
"558",1462000,"Powiat m.Płock",2003,1455
"559",1463000,"Powiat m.Radom",2003,2044
"560",1464000,"Powiat m.Siedlce",2003,2413
"561",1465000,"Powiat m. st. Warszawa",2003,3269
"562",1601000,"Powiat brzeski",2003,106
"563",1602000,"Powiat głubczycki",2003,76
"564",1603000,"Powiat kędzierzyńsko-kozielski",2003,166
"565",1604000,"Powiat kluczborski",2003,83
"566",1605000,"Powiat krapkowicki",2003,156
"567",1606000,"Powiat namysłowski",2003,59
"568",1607000,"Powiat nyski",2003,120
"569",1608000,"Powiat oleski",2003,71
"570",1609000,"Powiat opolski",2003,85
"571",1610000,"Powiat prudnicki",2003,107
"572",1611000,"Powiat strzelecki",2003,110
"573",1661000,"Powiat m.Opole",2003,1339
"574",1801000,"Powiat bieszczadzki",2003,20
"575",1802000,"Powiat brzozowski",2003,122
"576",1803000,"Powiat dębicki",2003,170
"577",1804000,"Powiat jarosławski",2003,119
"578",1805000,"Powiat jasielski",2003,139
"579",1806000,"Powiat kolbuszowski",2003,79
"580",1807000,"Powiat krośnieński",2003,118
"581",1808000,"Powiat leżajski",2003,119
"582",1809000,"Powiat lubaczowski",2003,44
"583",1810000,"Powiat łańcucki",2003,172
"584",1811000,"Powiat mielecki",2003,151
"585",1812000,"Powiat niżański",2003,86
"586",1813000,"Powiat przemyski",2003,59
"587",1814000,"Powiat przeworski",2003,113
"588",1815000,"Powiat ropczycko-sędziszowski",2003,129
"589",1816000,"Powiat rzeszowski",2003,140
"590",1817000,"Powiat sanocki",2003,77
