"","Kod","Nazwa","rok","DZIALALNOSC_TRANSPORTOWA_CTAB_liczba_taksowek_ogolem_szt"
"1637",1418000,"Powiat piaseczyński",2018,86
"1638",1419000,"Powiat płocki",2018,11
"1639",1420000,"Powiat płoński",2018,17
"1640",1421000,"Powiat pruszkowski",2018,106
"1641",1422000,"Powiat przasnyski",2018,12
"1642",1423000,"Powiat przysuski",2018,2
"1643",1424000,"Powiat pułtuski",2018,21
"1644",1425000,"Powiat radomski",2018,10
"1645",1427000,"Powiat sierpecki",2018,4
"1646",1428000,"Powiat sochaczewski",2018,34
"1647",1429000,"Powiat sokołowski",2018,6
"1648",1432000,"Powiat warszawski zachodni",2018,48
"1649",1433000,"Powiat węgrowski",2018,13
"1650",1434000,"Powiat wołomiński",2018,117
"1651",1435000,"Powiat wyszkowski",2018,5
"1652",1436000,"Powiat zwoleński",2018,2
"1653",1437000,"Powiat żuromiński",2018,3
"1654",1438000,"Powiat żyrardowski",2018,62
"1655",1461000,"Powiat m.Ostrołęka",2018,187
"1656",1462000,"Powiat m.Płock",2018,368
"1657",1463000,"Powiat m.Radom",2018,477
"1658",1464000,"Powiat m.Siedlce",2018,129
"1659",1465000,"Powiat m. st. Warszawa",2018,11421
"1660",1601000,"Powiat brzeski",2018,73
"1661",1602000,"Powiat głubczycki",2018,3
"1662",1603000,"Powiat kędzierzyńsko-kozielski",2018,67
"1663",1604000,"Powiat kluczborski",2018,9
"1664",1605000,"Powiat krapkowicki",2018,21
"1665",1606000,"Powiat namysłowski",2018,13
"1666",1607000,"Powiat nyski",2018,54
"1667",1608000,"Powiat oleski",2018,1
"1668",1609000,"Powiat opolski",2018,5
"1669",1610000,"Powiat prudnicki",2018,11
"1670",1611000,"Powiat strzelecki",2018,8
"1671",1661000,"Powiat m.Opole",2018,360
"1672",1801000,"Powiat bieszczadzki",2018,10
"1673",1802000,"Powiat brzozowski",2018,4
"1674",1803000,"Powiat dębicki",2018,46
"1675",1804000,"Powiat jarosławski",2018,52
"1676",1805000,"Powiat jasielski",2018,31
"1677",1806000,"Powiat kolbuszowski",2018,7
"1678",1807000,"Powiat krośnieński",2018,8
"1679",1808000,"Powiat leżajski",2018,1
"1680",1809000,"Powiat lubaczowski",2018,3
"1681",1810000,"Powiat łańcucki",2018,19
