"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"358",3061000,"Powiat m.Kalisz",1995,189
"359",3062000,"Powiat m.Konin",1995,258
"360",3063000,"Powiat m.Leszno",1995,92
"361",3064000,"Powiat m.Poznań",1995,1372
"362",3201000,"Powiat białogardzki",1995,16
"363",3202000,"Powiat choszczeński",1995,21
"364",3203000,"Powiat drawski",1995,35
"365",3204000,"Powiat goleniowski",1995,41
"366",3205000,"Powiat gryficki",1995,86
"367",3206000,"Powiat gryfiński",1995,13
"368",3207000,"Powiat kamieński",1995,17
"369",3208000,"Powiat kołobrzeski",1995,113
"370",3209000,"Powiat koszaliński",1995,14
"371",3210000,"Powiat myśliborski",1995,44
"372",3211000,"Powiat policki",1995,79
"373",3212000,"Powiat pyrzycki",1995,8
"374",3213000,"Powiat sławieński",1995,7
"375",3214000,"Powiat stargardzki",1995,115
"376",3215000,"Powiat szczecinecki",1995,140
"377",3216000,"Powiat świdwiński",1995,34
"378",3217000,"Powiat wałecki",1995,35
"379",3218000,"Powiat łobeski",1995,NA
"380",3261000,"Powiat m.Koszalin",1995,337
"381",3262000,"Powiat m.Szczecin",1995,663
"382",3263000,"Powiat m.Świnoujście",1995,197
"383",201000,"Powiat bolesławiecki",1996,159
"384",202000,"Powiat dzierżoniowski",1996,48
"385",203000,"Powiat głogowski",1996,34
"386",204000,"Powiat górowski",1996,27
"387",205000,"Powiat jaworski",1996,35
"388",206000,"Powiat jeleniogórski",1996,51
"389",207000,"Powiat kamiennogórski",1996,44
"390",208000,"Powiat kłodzki",1996,88
"391",209000,"Powiat legnicki",1996,12
"392",210000,"Powiat lubański",1996,54
"393",211000,"Powiat lubiński",1996,120
"394",212000,"Powiat lwówecki",1996,30
"395",213000,"Powiat milicki",1996,25
"396",214000,"Powiat oleśnicki",1996,103
"397",215000,"Powiat oławski",1996,73
"398",216000,"Powiat polkowicki",1996,39
"399",217000,"Powiat strzeliński",1996,45
"400",218000,"Powiat średzki",1996,33
"401",219000,"Powiat świdnicki",1996,233
"402",220000,"Powiat trzebnicki",1996,62
"403",221000,"Powiat wałbrzyski",1996,19
"404",222000,"Powiat wołowski",1996,29
"405",223000,"Powiat wrocławski",1996,84
"406",224000,"Powiat ząbkowicki",1996,22
"407",225000,"Powiat zgorzelecki",1996,101
"408",226000,"Powiat złotoryjski",1996,12
