"","Kod","Nazwa","rok","Srodki_gmin_powiatow_z_UE_finansowanie_programow_projektow_na_1_mieszkanca_ogolem_zl"
"470",862000,"Powiat m.Zielona Góra",2011,0
"471",1001000,"Powiat bełchatowski",2011,0.4
"472",1002000,"Powiat kutnowski",2011,4
"473",1003000,"Powiat łaski",2011,4.3
"474",1004000,"Powiat łęczycki",2011,38.5
"475",1005000,"Powiat łowicki",2011,3.9
"476",1006000,"Powiat łódzki wschodni",2011,1.2
"477",1007000,"Powiat opoczyński",2011,0.9
"478",1008000,"Powiat pabianicki",2011,0.6
"479",1009000,"Powiat pajęczański",2011,0.1
"480",1010000,"Powiat piotrkowski",2011,0.7
"481",1011000,"Powiat poddębicki",2011,0
"482",1012000,"Powiat radomszczański",2011,3.3
"483",1013000,"Powiat rawski",2011,0
"484",1014000,"Powiat sieradzki",2011,39.4
"485",1015000,"Powiat skierniewicki",2011,0
"486",1016000,"Powiat tomaszowski",2011,0
"487",1017000,"Powiat wieluński",2011,4.5
"488",1018000,"Powiat wieruszowski",2011,50.3
"489",1019000,"Powiat zduńskowolski",2011,4.4
"490",1020000,"Powiat zgierski",2011,0.4
"491",1021000,"Powiat brzeziński",2011,1.4
"492",1061000,"Powiat m.Łódź",2011,0.5
"493",1062000,"Powiat m.Piotrków Trybunalski",2011,0
"494",1063000,"Powiat m.Skierniewice",2011,9.4
"495",1201000,"Powiat bocheński",2011,79.6
"496",1202000,"Powiat brzeski",2011,174
"497",1203000,"Powiat chrzanowski",2011,4.6
"498",1204000,"Powiat dąbrowski",2011,86.2
"499",1205000,"Powiat gorlicki",2011,85.6
"500",1206000,"Powiat krakowski",2011,34.7
"501",1207000,"Powiat limanowski",2011,96.8
"502",1208000,"Powiat miechowski",2011,41.7
"503",1209000,"Powiat myślenicki",2011,517
"504",1210000,"Powiat nowosądecki",2011,170.3
"505",1211000,"Powiat nowotarski",2011,95.5
"506",1212000,"Powiat olkuski",2011,8.8
"507",1213000,"Powiat oświęcimski",2011,8.6
"508",1214000,"Powiat proszowicki",2011,107.1
"509",1215000,"Powiat suski",2011,35.2
"510",1216000,"Powiat tarnowski",2011,47.9
"511",1217000,"Powiat tatrzański",2011,24.6
"512",1218000,"Powiat wadowicki",2011,26.9
"513",1219000,"Powiat wielicki",2011,147.2
"514",1261000,"Powiat m.Kraków",2011,2.1
"515",1262000,"Powiat m.Nowy Sącz",2011,2.1
"516",1263000,"Powiat m.Tarnów",2011,5.6
"517",1401000,"Powiat białobrzeski",2011,11.5
"518",1402000,"Powiat ciechanowski",2011,10.7
"519",1403000,"Powiat garwoliński",2011,9.8
"520",1404000,"Powiat gostyniński",2011,1.8
"521",1405000,"Powiat grodziski",2011,146.1
"522",1406000,"Powiat grójecki",2011,24.7
"523",1407000,"Powiat kozienicki",2011,3.7
"524",1408000,"Powiat legionowski",2011,1.6
"525",1409000,"Powiat lipski",2011,94.4
"526",1410000,"Powiat łosicki",2011,0
"527",1411000,"Powiat makowski",2011,7.4
"528",1412000,"Powiat miński",2011,9.8
"529",1413000,"Powiat mławski",2011,22.7
"530",1414000,"Powiat nowodworski",2011,0
"531",1415000,"Powiat ostrołęcki",2011,23.9
"532",1416000,"Powiat ostrowski",2011,37.9
"533",1417000,"Powiat otwocki",2011,12.5
"534",1418000,"Powiat piaseczyński",2011,5.6
"535",1419000,"Powiat płocki",2011,13.2
"536",1420000,"Powiat płoński",2011,9
"537",1421000,"Powiat pruszkowski",2011,13.9
"538",1422000,"Powiat przasnyski",2011,30.2
"539",1423000,"Powiat przysuski",2011,36.1
"540",1424000,"Powiat pułtuski",2011,43.4
"541",1425000,"Powiat radomski",2011,36.5
"542",1426000,"Powiat siedlecki",2011,33.5
"543",1427000,"Powiat sierpecki",2011,23.3
"544",1428000,"Powiat sochaczewski",2011,0
"545",1429000,"Powiat sokołowski",2011,1.8
"546",1430000,"Powiat szydłowiecki",2011,3.6
"547",1432000,"Powiat warszawski zachodni",2011,1.6
"548",1433000,"Powiat węgrowski",2011,41.7
"549",1434000,"Powiat wołomiński",2011,35.4
"550",1435000,"Powiat wyszkowski",2011,12.6
"551",1436000,"Powiat zwoleński",2011,0
"552",1437000,"Powiat żuromiński",2011,62.6
