"","Kod","Nazwa","rok","URODZENIA_ZGONY_przyrost_naturalny_na_ludnosci"
"13216",2607000,"Powiat ostrowiecki",2003,-1.81
"13217",2608000,"Powiat pińczowski",2003,-4.27
"13218",2609000,"Powiat sandomierski",2003,-1.43
"13219",2610000,"Powiat skarżyski",2003,-2.63
"13220",2611000,"Powiat starachowicki",2003,-1.02
"13221",2612000,"Powiat staszowski",2003,-0.53
"13222",2613000,"Powiat włoszczowski",2003,-2.18
"13223",2661000,"Powiat m.Kielce",2003,-0.43
"13224",2801000,"Powiat bartoszycki",2003,0.81
"13225",2802000,"Powiat braniewski",2003,2.3
"13226",2803000,"Powiat działdowski",2003,2.89
"13227",2804000,"Powiat elbląski",2003,2.95
"13228",2805000,"Powiat ełcki",2003,2.45
"13229",2806000,"Powiat giżycki",2003,0.63
"13230",2807000,"Powiat iławski",2003,3.71
"13231",2808000,"Powiat kętrzyński",2003,-0.13
"13232",2809000,"Powiat lidzbarski",2003,0
"13233",2810000,"Powiat mrągowski",2003,1.95
"13234",2811000,"Powiat nidzicki",2003,2.9
"13235",2812000,"Powiat nowomiejski",2003,3.26
"13236",2813000,"Powiat olecki",2003,2.33
"13237",2814000,"Powiat olsztyński",2003,1.63
"13238",2815000,"Powiat ostródzki",2003,1.72
"13239",2816000,"Powiat piski",2003,3.11
"13240",2817000,"Powiat szczycieński",2003,2.6
"13241",2818000,"Powiat gołdapski",2003,2.15
"13242",2819000,"Powiat węgorzewski",2003,0.04
"13243",2861000,"Powiat m.Elbląg",2003,0.11
"13244",2862000,"Powiat m.Olsztyn",2003,0.97
"13245",3001000,"Powiat chodzieski",2003,1.13
"13246",3002000,"Powiat czarnkowsko-trzcianecki",2003,1.35
"13247",3003000,"Powiat gnieźnieński",2003,1.03
"13248",3004000,"Powiat gostyński",2003,1.9
"13249",3005000,"Powiat grodziski",2003,2.05
"13250",3006000,"Powiat jarociński",2003,0.65
"13251",3007000,"Powiat kaliski",2003,0.35
"13252",3008000,"Powiat kępiński",2003,0.88
"13253",3009000,"Powiat kolski",2003,-1.61
"13254",3010000,"Powiat koniński",2003,1.97
"13255",3011000,"Powiat kościański",2003,1.45
"13256",3012000,"Powiat krotoszyński",2003,1.11
"13257",3013000,"Powiat leszczyński",2003,4.01
"13258",3014000,"Powiat międzychodzki",2003,0.99
"13259",3015000,"Powiat nowotomyski",2003,1.08
"13260",3016000,"Powiat obornicki",2003,3
"13261",3017000,"Powiat ostrowski",2003,0.27
"13262",3018000,"Powiat ostrzeszowski",2003,0.39
"13263",3019000,"Powiat pilski",2003,2.45
"13264",3020000,"Powiat pleszewski",2003,1.67
"13265",3021000,"Powiat poznański",2003,1.96
"13266",3022000,"Powiat rawicki",2003,1.69
"13267",3023000,"Powiat słupecki",2003,1.32
"13268",3024000,"Powiat szamotulski",2003,0.71
"13269",3025000,"Powiat średzki",2003,1.07
"13270",3026000,"Powiat śremski",2003,2.42
"13271",3027000,"Powiat turecki",2003,-0.01
"13272",3028000,"Powiat wągrowiecki",2003,1.43
"13273",3029000,"Powiat wolsztyński",2003,2.85
"13274",3030000,"Powiat wrzesiński",2003,0.41
"13275",3031000,"Powiat złotowski",2003,2.55
"13276",3061000,"Powiat m.Kalisz",2003,-1
"13277",3062000,"Powiat m.Konin",2003,1.24
"13278",3063000,"Powiat m.Leszno",2003,1.79
"13279",3064000,"Powiat m.Poznań",2003,-1.4
"13280",3201000,"Powiat białogardzki",2003,0.84
"13281",3202000,"Powiat choszczeński",2003,1.54
"13282",3203000,"Powiat drawski",2003,0.8
"13283",3204000,"Powiat goleniowski",2003,2.1
"13284",3205000,"Powiat gryficki",2003,1.44
"13285",3206000,"Powiat gryfiński",2003,0.87
"13286",3207000,"Powiat kamieński",2003,0.21
"13287",3208000,"Powiat kołobrzeski",2003,1.45
"13288",3209000,"Powiat koszaliński",2003,1.31
"13289",3210000,"Powiat myśliborski",2003,0.75
"13290",3211000,"Powiat policki",2003,2.81
"13291",3212000,"Powiat pyrzycki",2003,1.42
"13292",3213000,"Powiat sławieński",2003,1.44
"13293",3214000,"Powiat stargardzki",2003,1.5
"13294",3215000,"Powiat szczecinecki",2003,0.82
"13295",3216000,"Powiat świdwiński",2003,1.78
"13296",3217000,"Powiat wałecki",2003,2.04
"13297",3218000,"Powiat łobeski",2003,0.61
"13298",3261000,"Powiat m.Koszalin",2003,0.06
"13299",3262000,"Powiat m.Szczecin",2003,-1.67
"13300",3263000,"Powiat m.Świnoujście",2003,-1.68
"13301",201000,"Powiat bolesławiecki",2004,0.34
"13302",202000,"Powiat dzierżoniowski",2004,-2.2
"13303",203000,"Powiat głogowski",2004,2.46
"13304",204000,"Powiat górowski",2004,0.73
"13305",205000,"Powiat jaworski",2004,-0.98
"13306",206000,"Powiat jeleniogórski",2004,-1.52
"13307",207000,"Powiat kamiennogórski",2004,-1.92
"13308",208000,"Powiat kłodzki",2004,-3.35
"13309",209000,"Powiat legnicki",2004,-1.18
"13310",210000,"Powiat lubański",2004,-0.78
"13311",211000,"Powiat lubiński",2004,2.93
"13312",212000,"Powiat lwówecki",2004,-2.8
"13313",213000,"Powiat milicki",2004,1.3
"13314",214000,"Powiat oleśnicki",2004,1.08
"13315",215000,"Powiat oławski",2004,1.49
"13316",216000,"Powiat polkowicki",2004,2.23
"13317",217000,"Powiat strzeliński",2004,-1.59
"13318",218000,"Powiat średzki",2004,0.1
"13319",219000,"Powiat świdnicki",2004,-0.95
"13320",220000,"Powiat trzebnicki",2004,0.95
"13321",221000,"Powiat wałbrzyski",2004,-4.51
"13322",222000,"Powiat wołowski",2004,-1.55
"13323",223000,"Powiat wrocławski",2004,0.33
"13324",224000,"Powiat ząbkowicki",2004,-2.94
"13325",225000,"Powiat zgorzelecki",2004,-1.31
"13326",226000,"Powiat złotoryjski",2004,0.45
"13327",261000,"Powiat m.Jelenia Góra",2004,-3.65
"13328",262000,"Powiat m.Legnica",2004,-1.3
"13329",264000,"Powiat m.Wrocław",2004,-2.21
"13330",265000,"Powiat m.Wałbrzych od 2013",2004,NA
"13331",401000,"Powiat aleksandrowski",2004,-0.76
"13332",402000,"Powiat brodnicki",2004,1.79
"13333",403000,"Powiat bydgoski",2004,2.45
"13334",404000,"Powiat chełmiński",2004,2.46
"13335",405000,"Powiat golubsko-dobrzyński",2004,2.48
"13336",406000,"Powiat grudziądzki",2004,1.51
"13337",407000,"Powiat inowrocławski",2004,-0.55
"13338",408000,"Powiat lipnowski",2004,1.11
"13339",409000,"Powiat mogileński",2004,-0.46
"13340",410000,"Powiat nakielski",2004,2.79
"13341",411000,"Powiat radziejowski",2004,-1.62
"13342",412000,"Powiat rypiński",2004,0.84
"13343",413000,"Powiat sępoleński",2004,1.79
"13344",414000,"Powiat świecki",2004,1.57
"13345",415000,"Powiat toruński",2004,3.27
"13346",416000,"Powiat tucholski",2004,0.66
"13347",417000,"Powiat wąbrzeski",2004,1.52
"13348",418000,"Powiat włocławski",2004,-0.98
"13349",419000,"Powiat żniński",2004,1.97
"13350",461000,"Powiat m.Bydgoszcz",2004,-1.32
"13351",462000,"Powiat m.Grudziądz",2004,-0.58
"13352",463000,"Powiat m.Toruń",2004,0.56
"13353",464000,"Powiat m.Włocławek",2004,-0.55
"13354",601000,"Powiat bialski",2004,-1.77
"13355",602000,"Powiat biłgorajski",2004,0.31
"13356",603000,"Powiat chełmski",2004,-3.18
"13357",604000,"Powiat hrubieszowski",2004,-1.68
"13358",605000,"Powiat janowski",2004,-0.02
"13359",606000,"Powiat krasnostawski",2004,-6.18
"13360",607000,"Powiat kraśnicki",2004,-1.4
"13361",608000,"Powiat lubartowski",2004,-1.41
"13362",609000,"Powiat lubelski",2004,-1.03
"13363",610000,"Powiat łęczyński",2004,1.81
"13364",611000,"Powiat łukowski",2004,2.19
"13365",612000,"Powiat opolski",2004,-3.23
"13366",613000,"Powiat parczewski",2004,-2.18
"13367",614000,"Powiat puławski",2004,-1.4
"13368",615000,"Powiat radzyński",2004,0.3
"13369",616000,"Powiat rycki",2004,-0.87
"13370",617000,"Powiat świdnicki",2004,-2
"13371",618000,"Powiat tomaszowski",2004,-0.44
"13372",619000,"Powiat włodawski",2004,-1.6
"13373",620000,"Powiat zamojski",2004,-3.9
"13374",661000,"Powiat m.Biała Podlaska",2004,2.71
"13375",662000,"Powiat m.Chełm",2004,-0.48
"13376",663000,"Powiat m.Lublin",2004,0.07
"13377",664000,"Powiat m.Zamość",2004,1.68
"13378",801000,"Powiat gorzowski",2004,2.82
"13379",802000,"Powiat krośnieński",2004,0.57
"13380",803000,"Powiat międzyrzecki",2004,0
"13381",804000,"Powiat nowosolski",2004,0.97
"13382",805000,"Powiat słubicki",2004,1.99
"13383",806000,"Powiat strzelecko-drezdenecki",2004,2.26
"13384",807000,"Powiat sulęciński",2004,0.11
"13385",808000,"Powiat świebodziński",2004,-0.52
"13386",809000,"Powiat zielonogórski",2004,1.32
"13387",810000,"Powiat żagański",2004,-0.57
"13388",811000,"Powiat żarski",2004,-0.19
"13389",812000,"Powiat wschowski",2004,4.06
"13390",861000,"Powiat m.Gorzów Wielkopolski",2004,0.96
"13391",862000,"Powiat m.Zielona Góra",2004,1.05
"13392",1001000,"Powiat bełchatowski",2004,0.68
"13393",1002000,"Powiat kutnowski",2004,-3.64
"13394",1003000,"Powiat łaski",2004,-2.24
"13395",1004000,"Powiat łęczycki",2004,-4.28
"13396",1005000,"Powiat łowicki",2004,-2.89
"13397",1006000,"Powiat łódzki wschodni",2004,-1.87
"13398",1007000,"Powiat opoczyński",2004,-0.99
"13399",1008000,"Powiat pabianicki",2004,-3.75
"13400",1009000,"Powiat pajęczański",2004,-1.83
"13401",1010000,"Powiat piotrkowski",2004,-2.65
"13402",1011000,"Powiat poddębicki",2004,-2.89
"13403",1012000,"Powiat radomszczański",2004,-2.66
"13404",1013000,"Powiat rawski",2004,-0.34
"13405",1014000,"Powiat sieradzki",2004,-0.45
"13406",1015000,"Powiat skierniewicki",2004,-3.59
"13407",1016000,"Powiat tomaszowski",2004,-1.32
"13408",1017000,"Powiat wieluński",2004,-1.7
"13409",1018000,"Powiat wieruszowski",2004,-1.45
"13410",1019000,"Powiat zduńskowolski",2004,-1.36
"13411",1020000,"Powiat zgierski",2004,-2.58
"13412",1021000,"Powiat brzeziński",2004,-2.18
"13413",1061000,"Powiat m.Łódź",2004,-5.84
"13414",1062000,"Powiat m.Piotrków Trybunalski",2004,-0.46
"13415",1063000,"Powiat m.Skierniewice",2004,0.47
"13416",1201000,"Powiat bocheński",2004,1.99
"13417",1202000,"Powiat brzeski",2004,2.65
"13418",1203000,"Powiat chrzanowski",2004,-0.84
"13419",1204000,"Powiat dąbrowski",2004,1.32
"13420",1205000,"Powiat gorlicki",2004,1.42
"13421",1206000,"Powiat krakowski",2004,-0.26
"13422",1207000,"Powiat limanowski",2004,6.04
"13423",1208000,"Powiat miechowski",2004,-4.59
"13424",1209000,"Powiat myślenicki",2004,4.09
"13425",1210000,"Powiat nowosądecki",2004,5.35
"13426",1211000,"Powiat nowotarski",2004,3.71
"13427",1212000,"Powiat olkuski",2004,-0.89
"13428",1213000,"Powiat oświęcimski",2004,0.6
"13429",1214000,"Powiat proszowicki",2004,-2.2
"13430",1215000,"Powiat suski",2004,1.39
"13431",1216000,"Powiat tarnowski",2004,2.65
"13432",1217000,"Powiat tatrzański",2004,0.52
"13433",1218000,"Powiat wadowicki",2004,1.66
"13434",1219000,"Powiat wielicki",2004,1.27
"13435",1261000,"Powiat m.Kraków",2004,-0.82
"13436",1262000,"Powiat m.Nowy Sącz",2004,2.19
"13437",1263000,"Powiat m.Tarnów",2004,0.28
"13438",1401000,"Powiat białobrzeski",2004,1.86
