"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6707",2214000,"Powiat tczewski",2003,49.7
"6708",2215000,"Powiat wejherowski",2003,48.1
"6709",2216000,"Powiat sztumski",2003,54.5
"6710",2261000,"Powiat m.Gdańsk",2003,49.6
"6711",2262000,"Powiat m.Gdynia",2003,41.6
"6712",2263000,"Powiat m.Słupsk",2003,47.3
"6713",2264000,"Powiat m.Sopot",2003,43.5
"6714",2401000,"Powiat będziński",2003,51.2
"6715",2402000,"Powiat bielski",2003,51.9
"6716",2403000,"Powiat cieszyński",2003,50.2
"6717",2404000,"Powiat częstochowski",2003,50.5
"6718",2405000,"Powiat gliwicki",2003,50.9
"6719",2406000,"Powiat kłobucki",2003,47.3
"6720",2407000,"Powiat lubliniecki",2003,44
"6721",2408000,"Powiat mikołowski",2003,49.5
"6722",2409000,"Powiat myszkowski",2003,52.8
"6723",2410000,"Powiat pszczyński",2003,50.4
"6724",2411000,"Powiat raciborski",2003,44.8
"6725",2412000,"Powiat rybnicki",2003,49.5
"6726",2413000,"Powiat tarnogórski",2003,53.4
"6727",2414000,"Powiat bieruńsko-lędziński",2003,48.9
"6728",2415000,"Powiat wodzisławski",2003,46.1
"6729",2416000,"Powiat zawierciański",2003,55.4
"6730",2417000,"Powiat żywiecki",2003,54.5
"6731",2461000,"Powiat m.Bielsko-Biała",2003,46.1
"6732",2462000,"Powiat m.Bytom",2003,52.9
"6733",2463000,"Powiat m.Chorzów",2003,53.9
"6734",2464000,"Powiat m.Częstochowa",2003,52.4
"6735",2465000,"Powiat m.Dąbrowa Górnicza",2003,47
"6736",2466000,"Powiat m.Gliwice",2003,52.5
"6737",2467000,"Powiat m.Jastrzębie-Zdrój",2003,48.9
"6738",2468000,"Powiat m.Jaworzno",2003,56
"6739",2469000,"Powiat m.Katowice",2003,44.5
"6740",2470000,"Powiat m.Mysłowice",2003,49.9
"6741",2471000,"Powiat m.Piekary Śląskie",2003,48.8
"6742",2472000,"Powiat m.Ruda Śląska",2003,45.5
"6743",2473000,"Powiat m.Rybnik",2003,49.9
"6744",2474000,"Powiat m.Siemianowice Śląskie",2003,47.2
"6745",2475000,"Powiat m.Sosnowiec",2003,51.8
"6746",2476000,"Powiat m.Świętochłowice",2003,45.9
"6747",2477000,"Powiat m.Tychy",2003,46.6
"6748",2478000,"Powiat m.Zabrze",2003,58.6
"6749",2479000,"Powiat m.Żory",2003,43.8
"6750",2601000,"Powiat buski",2003,53.7
"6751",2602000,"Powiat jędrzejowski",2003,61
"6752",2603000,"Powiat kazimierski",2003,63.8
"6753",2604000,"Powiat kielecki",2003,55.9
"6754",2605000,"Powiat konecki",2003,59.3
"6755",2606000,"Powiat opatowski",2003,59.6
"6756",2607000,"Powiat ostrowiecki",2003,53.2
"6757",2608000,"Powiat pińczowski",2003,56.6
"6758",2609000,"Powiat sandomierski",2003,58.9
"6759",2610000,"Powiat skarżyski",2003,56.7
"6760",2611000,"Powiat starachowicki",2003,48.2
