"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_zl"
"19433",464000,"Powiat m.Włocławek",2016,2469
"19434",601000,"Powiat bialski",2016,2595
"19435",602000,"Powiat biłgorajski",2016,2827
"19436",603000,"Powiat chełmski",2016,2024
"19437",604000,"Powiat hrubieszowski",2016,2143
"19438",605000,"Powiat janowski",2016,2441
"19439",606000,"Powiat krasnostawski",2016,2471
"19440",607000,"Powiat kraśnicki",2016,2368
"19441",608000,"Powiat lubartowski",2016,3499
"19442",609000,"Powiat lubelski",2016,3529
"19443",610000,"Powiat łęczyński",2016,3326
"19444",611000,"Powiat łukowski",2016,3140
"19445",612000,"Powiat opolski",2016,2367
"19446",613000,"Powiat parczewski",2016,2330
"19447",614000,"Powiat puławski",2016,3384
"19448",615000,"Powiat radzyński",2016,2831
"19449",616000,"Powiat rycki",2016,2649
"19450",617000,"Powiat świdnicki",2016,3742
"19451",618000,"Powiat tomaszowski",2016,1936
"19452",619000,"Powiat włodawski",2016,2162
"19453",620000,"Powiat zamojski",2016,2041
"19454",661000,"Powiat m.Biała Podlaska",2016,2999
"19455",662000,"Powiat m.Chełm",2016,2592
"19456",663000,"Powiat m.Lublin",2016,4644
"19457",664000,"Powiat m.Zamość",2016,2845
"19458",801000,"Powiat gorzowski",2016,2297
"19459",802000,"Powiat krośnieński",2016,2042
"19460",803000,"Powiat międzyrzecki",2016,2162
"19461",804000,"Powiat nowosolski",2016,1895
"19462",805000,"Powiat słubicki",2016,2602
"19463",806000,"Powiat strzelecko-drezdenecki",2016,2325
"19464",807000,"Powiat sulęciński",2016,2241
"19465",808000,"Powiat świebodziński",2016,2182
"19466",809000,"Powiat zielonogórski",2016,2268
"19467",810000,"Powiat żagański",2016,1839
"19468",811000,"Powiat żarski",2016,2008
"19469",812000,"Powiat wschowski",2016,2114
"19470",861000,"Powiat m.Gorzów Wielkopolski",2016,2768
"19471",862000,"Powiat m.Zielona Góra",2016,3473
"19472",1001000,"Powiat bełchatowski",2016,2509
"19473",1002000,"Powiat kutnowski",2016,2770
"19474",1003000,"Powiat łaski",2016,2124
"19475",1004000,"Powiat łęczycki",2016,2500
"19476",1005000,"Powiat łowicki",2016,2988
"19477",1006000,"Powiat łódzki wschodni",2016,2402
"19478",1007000,"Powiat opoczyński",2016,2570
"19479",1008000,"Powiat pabianicki",2016,2419
"19480",1009000,"Powiat pajęczański",2016,2561
"19481",1010000,"Powiat piotrkowski",2016,1919
"19482",1011000,"Powiat poddębicki",2016,2508
"19483",1012000,"Powiat radomszczański",2016,2402
"19484",1013000,"Powiat rawski",2016,2905
"19485",1014000,"Powiat sieradzki",2016,2365
"19486",1015000,"Powiat skierniewicki",2016,0
"19487",1016000,"Powiat tomaszowski",2016,2456
"19488",1017000,"Powiat wieluński",2016,2716
"19489",1018000,"Powiat wieruszowski",2016,2716
"19490",1019000,"Powiat zduńskowolski",2016,2455
"19491",1020000,"Powiat zgierski",2016,2675
"19492",1021000,"Powiat brzeziński",2016,3060
"19493",1061000,"Powiat m.Łódź",2016,3319
"19494",1062000,"Powiat m.Piotrków Trybunalski",2016,2642
"19495",1063000,"Powiat m.Skierniewice",2016,3301
"19496",1201000,"Powiat bocheński",2016,3462
"19497",1202000,"Powiat brzeski",2016,3191
"19498",1203000,"Powiat chrzanowski",2016,2591
"19499",1204000,"Powiat dąbrowski",2016,2498
"19500",1205000,"Powiat gorlicki",2016,2500
"19501",1206000,"Powiat krakowski",2016,4068
"19502",1207000,"Powiat limanowski",2016,3115
"19503",1208000,"Powiat miechowski",2016,3254
"19504",1209000,"Powiat myślenicki",2016,3723
"19505",1210000,"Powiat nowosądecki",2016,3109
"19506",1211000,"Powiat nowotarski",2016,3956
"19507",1212000,"Powiat olkuski",2016,2674
"19508",1213000,"Powiat oświęcimski",2016,2585
"19509",1214000,"Powiat proszowicki",2016,2890
"19510",1215000,"Powiat suski",2016,2763
"19511",1216000,"Powiat tarnowski",2016,0
"19512",1217000,"Powiat tatrzański",2016,7956
"19513",1218000,"Powiat wadowicki",2016,3111
"19514",1219000,"Powiat wielicki",2016,4511
"19515",1261000,"Powiat m.Kraków",2016,5920
"19516",1262000,"Powiat m.Nowy Sącz",2016,3060
"19517",1263000,"Powiat m.Tarnów",2016,2881
"19518",1401000,"Powiat białobrzeski",2016,2900
"19519",1402000,"Powiat ciechanowski",2016,2709
"19520",1403000,"Powiat garwoliński",2016,2553
"19521",1404000,"Powiat gostyniński",2016,2199
"19522",1405000,"Powiat grodziski",2016,4068
"19523",1406000,"Powiat grójecki",2016,3214
