"","Kod","Nazwa","rok","DROGI_PUBLICZNE_POWIATOWE_CTAB_drogi_gminne_i_powiatowe_o_twardej_nawierzchni_na_10_tys_ludnosci_km"
"6160",803000,"Powiat międzyrzecki",2006,69.7
"6161",804000,"Powiat nowosolski",2006,38.1
"6162",805000,"Powiat słubicki",2006,73.9
"6163",806000,"Powiat strzelecko-drezdenecki",2006,76.8
"6164",807000,"Powiat sulęciński",2006,106.6
"6165",808000,"Powiat świebodziński",2006,84.2
"6166",809000,"Powiat zielonogórski",2006,71
"6167",810000,"Powiat żagański",2006,66.2
"6168",811000,"Powiat żarski",2006,77.7
"6169",812000,"Powiat wschowski",2006,53.5
"6170",861000,"Powiat m.Gorzów Wielkopolski",2006,9.3
"6171",862000,"Powiat m.Zielona Góra",2006,11.8
"6172",1001000,"Powiat bełchatowski",2006,64
"6173",1002000,"Powiat kutnowski",2006,99.4
"6174",1003000,"Powiat łaski",2006,78.5
"6175",1004000,"Powiat łęczycki",2006,135.2
"6176",1005000,"Powiat łowicki",2006,114.2
"6177",1006000,"Powiat łódzki wschodni",2006,64.7
"6178",1007000,"Powiat opoczyński",2006,74.5
"6179",1008000,"Powiat pabianicki",2006,32.2
"6180",1009000,"Powiat pajęczański",2006,106.7
"6181",1010000,"Powiat piotrkowski",2006,112.3
"6182",1011000,"Powiat poddębicki",2006,92.5
"6183",1012000,"Powiat radomszczański",2006,79.5
"6184",1013000,"Powiat rawski",2006,95.4
"6185",1014000,"Powiat sieradzki",2006,76.1
"6186",1015000,"Powiat skierniewicki",2006,132
"6187",1016000,"Powiat tomaszowski",2006,74.4
"6188",1017000,"Powiat wieluński",2006,74.7
"6189",1018000,"Powiat wieruszowski",2006,121.8
"6190",1019000,"Powiat zduńskowolski",2006,47.1
"6191",1020000,"Powiat zgierski",2006,45.2
"6192",1021000,"Powiat brzeziński",2006,86.8
"6193",1061000,"Powiat m.Łódź",2006,9.5
"6194",1062000,"Powiat m.Piotrków Trybunalski",2006,17.2
"6195",1063000,"Powiat m.Skierniewice",2006,22.8
"6196",1201000,"Powiat bocheński",2006,75.9
"6197",1202000,"Powiat brzeski",2006,80.6
"6198",1203000,"Powiat chrzanowski",2006,57.3
"6199",1204000,"Powiat dąbrowski",2006,141.8
"6200",1205000,"Powiat gorlicki",2006,72.5
"6201",1206000,"Powiat krakowski",2006,78.4
"6202",1207000,"Powiat limanowski",2006,78.4
"6203",1208000,"Powiat miechowski",2006,191.6
"6204",1209000,"Powiat myślenicki",2006,58.7
"6205",1210000,"Powiat nowosądecki",2006,113.1
"6206",1211000,"Powiat nowotarski",2006,56.1
"6207",1212000,"Powiat olkuski",2006,62.1
"6208",1213000,"Powiat oświęcimski",2006,44.5
"6209",1214000,"Powiat proszowicki",2006,161.3
"6210",1215000,"Powiat suski",2006,56.9
"6211",1216000,"Powiat tarnowski",2006,95.5
"6212",1217000,"Powiat tatrzański",2006,55.2
"6213",1218000,"Powiat wadowicki",2006,69.9
"6214",1219000,"Powiat wielicki",2006,74.1
"6215",1261000,"Powiat m.Kraków",2006,11.9
"6216",1262000,"Powiat m.Nowy Sącz",2006,23.5
"6217",1263000,"Powiat m.Tarnów",2006,22.6
"6218",1401000,"Powiat białobrzeski",2006,125.7
"6219",1402000,"Powiat ciechanowski",2006,86.6
"6220",1403000,"Powiat garwoliński",2006,74.7
"6221",1404000,"Powiat gostyniński",2006,81.2
"6222",1405000,"Powiat grodziski",2006,40.5
"6223",1406000,"Powiat grójecki",2006,96.9
"6224",1407000,"Powiat kozienicki",2006,75.9
