"","Kod","Nazwa","rok","Budynki_mieszkalne_w_gminie_ogolem"
"547",1430000,"Powiat szydłowiecki",2009,10110
"548",1432000,"Powiat warszawski zachodni",2009,26334
"549",1433000,"Powiat węgrowski",2009,19123
"550",1434000,"Powiat wołomiński",2009,46728
"551",1435000,"Powiat wyszkowski",2009,15451
"552",1436000,"Powiat zwoleński",2009,10355
"553",1437000,"Powiat żuromiński",2009,8917
"554",1438000,"Powiat żyrardowski",2009,14065
"555",1461000,"Powiat m.Ostrołęka",2009,4845
"556",1462000,"Powiat m.Płock",2009,8678
"557",1463000,"Powiat m.Radom",2009,19613
"558",1464000,"Powiat m.Siedlce",2009,7199
"559",1465000,"Powiat m. st. Warszawa",2009,84087
"560",1601000,"Powiat brzeski",2009,11815
"561",1602000,"Powiat głubczycki",2009,9089
"562",1603000,"Powiat kędzierzyńsko-kozielski",2009,14823
"563",1604000,"Powiat kluczborski",2009,10321
"564",1605000,"Powiat krapkowicki",2009,11768
"565",1606000,"Powiat namysłowski",2009,7646
"566",1607000,"Powiat nyski",2009,20664
"567",1608000,"Powiat oleski",2009,14034
"568",1609000,"Powiat opolski",2009,30552
"569",1610000,"Powiat prudnicki",2009,10707
"570",1611000,"Powiat strzelecki",2009,14329
"571",1661000,"Powiat m.Opole",2009,9703
"572",1801000,"Powiat bieszczadzki",2009,3455
"573",1802000,"Powiat brzozowski",2009,16661
