"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"9960",803000,"Powiat międzyrzecki",2015,874
"9961",804000,"Powiat nowosolski",2015,1247
"9962",805000,"Powiat słubicki",2015,564
"9963",806000,"Powiat strzelecko-drezdenecki",2015,1186
"9964",807000,"Powiat sulęciński",2015,594
"9965",808000,"Powiat świebodziński",2015,675
"9966",809000,"Powiat zielonogórski",2015,1077
"9967",810000,"Powiat żagański",2015,1534
"9968",811000,"Powiat żarski",2015,2037
"9969",812000,"Powiat wschowski",2015,559
"9970",861000,"Powiat m.Gorzów Wielkopolski",2015,1692
"9971",862000,"Powiat m.Zielona Góra",2015,1644
"9972",1001000,"Powiat bełchatowski",2015,1504
"9973",1002000,"Powiat kutnowski",2015,1322
"9974",1003000,"Powiat łaski",2015,500
"9975",1004000,"Powiat łęczycki",2015,525
"9976",1005000,"Powiat łowicki",2015,569
"9977",1006000,"Powiat łódzki wschodni",2015,642
"9978",1007000,"Powiat opoczyński",2015,815
"9979",1008000,"Powiat pabianicki",2015,994
"9980",1009000,"Powiat pajęczański",2015,382
"9981",1010000,"Powiat piotrkowski",2015,1046
"9982",1011000,"Powiat poddębicki",2015,489
"9983",1012000,"Powiat radomszczański",2015,1500
"9984",1013000,"Powiat rawski",2015,577
"9985",1014000,"Powiat sieradzki",2015,778
"9986",1015000,"Powiat skierniewicki",2015,259
"9987",1016000,"Powiat tomaszowski",2015,1615
"9988",1017000,"Powiat wieluński",2015,637
"9989",1018000,"Powiat wieruszowski",2015,295
"9990",1019000,"Powiat zduńskowolski",2015,763
"9991",1020000,"Powiat zgierski",2015,1731
"9992",1021000,"Powiat brzeziński",2015,413
"9993",1061000,"Powiat m.Łódź",2015,9150
"9994",1062000,"Powiat m.Piotrków Trybunalski",2015,1124
"9995",1063000,"Powiat m.Skierniewice",2015,375
"9996",1201000,"Powiat bocheński",2015,893
"9997",1202000,"Powiat brzeski",2015,624
"9998",1203000,"Powiat chrzanowski",2015,1440
"9999",1204000,"Powiat dąbrowski",2015,649
"10000",1205000,"Powiat gorlicki",2015,1636
"10001",1206000,"Powiat krakowski",2015,1977
"10002",1207000,"Powiat limanowski",2015,1422
"10003",1208000,"Powiat miechowski",2015,492
"10004",1209000,"Powiat myślenicki",2015,1146
"10005",1210000,"Powiat nowosądecki",2015,2390
"10006",1211000,"Powiat nowotarski",2015,1190
"10007",1212000,"Powiat olkuski",2015,989
"10008",1213000,"Powiat oświęcimski",2015,1163
"10009",1214000,"Powiat proszowicki",2015,312
"10010",1215000,"Powiat suski",2015,957
"10011",1216000,"Powiat tarnowski",2015,1627
"10012",1217000,"Powiat tatrzański",2015,511
"10013",1218000,"Powiat wadowicki",2015,1202
"10014",1219000,"Powiat wielicki",2015,953
"10015",1261000,"Powiat m.Kraków",2015,7556
"10016",1262000,"Powiat m.Nowy Sącz",2015,1284
"10017",1263000,"Powiat m.Tarnów",2015,1361
"10018",1401000,"Powiat białobrzeski",2015,270
"10019",1402000,"Powiat ciechanowski",2015,766
"10020",1403000,"Powiat garwoliński",2015,590
"10021",1404000,"Powiat gostyniński",2015,475
"10022",1405000,"Powiat grodziski",2015,1005
"10023",1406000,"Powiat grójecki",2015,641
"10024",1407000,"Powiat kozienicki",2015,601
