"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_ludnosci_km"
"7205",1404000,"Powiat gostyniński",2012,2.38
"7206",1405000,"Powiat grodziski",2012,0.65
"7207",1406000,"Powiat grójecki",2012,0.48
"7208",1407000,"Powiat kozienicki",2012,0.77
"7209",1408000,"Powiat legionowski",2012,1.52
"7210",1409000,"Powiat lipski",2012,0
"7211",1410000,"Powiat łosicki",2012,0
"7212",1411000,"Powiat makowski",2012,0.38
"7213",1412000,"Powiat miński",2012,0.7
"7214",1413000,"Powiat mławski",2012,1.88
"7215",1414000,"Powiat nowodworski",2012,3.7
"7216",1415000,"Powiat ostrołęcki",2012,6.46
"7217",1416000,"Powiat ostrowski",2012,6.69
"7218",1417000,"Powiat otwocki",2012,2.07
"7219",1418000,"Powiat piaseczyński",2012,1.04
"7220",1419000,"Powiat płocki",2012,1.89
"7221",1420000,"Powiat płoński",2012,1.34
"7222",1421000,"Powiat pruszkowski",2012,0.93
"7223",1422000,"Powiat przasnyski",2012,2.64
"7224",1423000,"Powiat przysuski",2012,0.39
"7225",1424000,"Powiat pułtuski",2012,0
"7226",1425000,"Powiat radomski",2012,1.02
"7227",1426000,"Powiat siedlecki",2012,1.64
