"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_sieroctwo"
"2415",1261000,"Powiat m.Kraków",2015,0
"2416",1262000,"Powiat m.Nowy Sącz",2015,6
"2417",1263000,"Powiat m.Tarnów",2015,0
"2418",1401000,"Powiat białobrzeski",2015,10
"2419",1402000,"Powiat ciechanowski",2015,4
"2420",1403000,"Powiat garwoliński",2015,2
"2421",1404000,"Powiat gostyniński",2015,1
"2422",1405000,"Powiat grodziski",2015,8
"2423",1406000,"Powiat grójecki",2015,2
"2424",1407000,"Powiat kozienicki",2015,1
"2425",1408000,"Powiat legionowski",2015,6
"2426",1409000,"Powiat lipski",2015,1
"2427",1410000,"Powiat łosicki",2015,5
"2428",1411000,"Powiat makowski",2015,1
"2429",1412000,"Powiat miński",2015,3
"2430",1413000,"Powiat mławski",2015,0
"2431",1414000,"Powiat nowodworski",2015,2
"2432",1415000,"Powiat ostrołęcki",2015,0
"2433",1416000,"Powiat ostrowski",2015,0
"2434",1417000,"Powiat otwocki",2015,1
"2435",1418000,"Powiat piaseczyński",2015,1
"2436",1419000,"Powiat płocki",2015,0
"2437",1420000,"Powiat płoński",2015,3
"2438",1421000,"Powiat pruszkowski",2015,1
"2439",1422000,"Powiat przasnyski",2015,1
"2440",1423000,"Powiat przysuski",2015,0
"2441",1424000,"Powiat pułtuski",2015,1
"2442",1425000,"Powiat radomski",2015,6
"2443",1426000,"Powiat siedlecki",2015,20
"2444",1427000,"Powiat sierpecki",2015,10
"2445",1428000,"Powiat sochaczewski",2015,3
"2446",1429000,"Powiat sokołowski",2015,2
"2447",1430000,"Powiat szydłowiecki",2015,7
"2448",1432000,"Powiat warszawski zachodni",2015,4
"2449",1433000,"Powiat węgrowski",2015,1
"2450",1434000,"Powiat wołomiński",2015,6
"2451",1435000,"Powiat wyszkowski",2015,1
"2452",1436000,"Powiat zwoleński",2015,5
"2453",1437000,"Powiat żuromiński",2015,0
"2454",1438000,"Powiat żyrardowski",2015,5
"2455",1461000,"Powiat m.Ostrołęka",2015,3
"2456",1462000,"Powiat m.Płock",2015,9
"2457",1463000,"Powiat m.Radom",2015,56
"2458",1464000,"Powiat m.Siedlce",2015,3
"2459",1465000,"Powiat m. st. Warszawa",2015,33
"2460",1601000,"Powiat brzeski",2015,3
"2461",1602000,"Powiat głubczycki",2015,4
"2462",1603000,"Powiat kędzierzyńsko-kozielski",2015,0
"2463",1604000,"Powiat kluczborski",2015,3
"2464",1605000,"Powiat krapkowicki",2015,1
"2465",1606000,"Powiat namysłowski",2015,1
"2466",1607000,"Powiat nyski",2015,5
"2467",1608000,"Powiat oleski",2015,1
"2468",1609000,"Powiat opolski",2015,7
