"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_przemoc_w_rodzinie"
"15673",1002000,"Powiat kutnowski",2015,53
"15674",1003000,"Powiat łaski",2015,2
"15675",1004000,"Powiat łęczycki",2015,13
"15676",1005000,"Powiat łowicki",2015,37
"15677",1006000,"Powiat łódzki wschodni",2015,14
"15678",1007000,"Powiat opoczyński",2015,34
"15679",1008000,"Powiat pabianicki",2015,24
"15680",1009000,"Powiat pajęczański",2015,20
"15681",1010000,"Powiat piotrkowski",2015,45
"15682",1011000,"Powiat poddębicki",2015,59
"15683",1012000,"Powiat radomszczański",2015,52
"15684",1013000,"Powiat rawski",2015,4
"15685",1014000,"Powiat sieradzki",2015,22
"15686",1015000,"Powiat skierniewicki",2015,17
"15687",1016000,"Powiat tomaszowski",2015,44
"15688",1017000,"Powiat wieluński",2015,8
"15689",1018000,"Powiat wieruszowski",2015,21
"15690",1019000,"Powiat zduńskowolski",2015,126
"15691",1020000,"Powiat zgierski",2015,47
"15692",1021000,"Powiat brzeziński",2015,2
"15693",1061000,"Powiat m.Łódź",2015,116
"15694",1062000,"Powiat m.Piotrków Trybunalski",2015,18
"15695",1063000,"Powiat m.Skierniewice",2015,60
"15696",1201000,"Powiat bocheński",2015,30
"15697",1202000,"Powiat brzeski",2015,60
"15698",1203000,"Powiat chrzanowski",2015,89
"15699",1204000,"Powiat dąbrowski",2015,49
"15700",1205000,"Powiat gorlicki",2015,90
"15701",1206000,"Powiat krakowski",2015,82
"15702",1207000,"Powiat limanowski",2015,100
"15703",1208000,"Powiat miechowski",2015,52
"15704",1209000,"Powiat myślenicki",2015,81
"15705",1210000,"Powiat nowosądecki",2015,66
"15706",1211000,"Powiat nowotarski",2015,80
"15707",1212000,"Powiat olkuski",2015,25
"15708",1213000,"Powiat oświęcimski",2015,89
"15709",1214000,"Powiat proszowicki",2015,7
"15710",1215000,"Powiat suski",2015,46
"15711",1216000,"Powiat tarnowski",2015,109
"15712",1217000,"Powiat tatrzański",2015,24
"15713",1218000,"Powiat wadowicki",2015,94
"15714",1219000,"Powiat wielicki",2015,33
"15715",1261000,"Powiat m.Kraków",2015,178
"15716",1262000,"Powiat m.Nowy Sącz",2015,81
"15717",1263000,"Powiat m.Tarnów",2015,53
"15718",1401000,"Powiat białobrzeski",2015,7
"15719",1402000,"Powiat ciechanowski",2015,203
"15720",1403000,"Powiat garwoliński",2015,42
"15721",1404000,"Powiat gostyniński",2015,23
"15722",1405000,"Powiat grodziski",2015,25
"15723",1406000,"Powiat grójecki",2015,25
"15724",1407000,"Powiat kozienicki",2015,27
"15725",1408000,"Powiat legionowski",2015,30
"15726",1409000,"Powiat lipski",2015,114
"15727",1410000,"Powiat łosicki",2015,29
"15728",1411000,"Powiat makowski",2015,27
"15729",1412000,"Powiat miński",2015,38
"15730",1413000,"Powiat mławski",2015,186
"15731",1414000,"Powiat nowodworski",2015,18
"15732",1415000,"Powiat ostrołęcki",2015,25
"15733",1416000,"Powiat ostrowski",2015,78
"15734",1417000,"Powiat otwocki",2015,28
"15735",1418000,"Powiat piaseczyński",2015,23
"15736",1419000,"Powiat płocki",2015,29
"15737",1420000,"Powiat płoński",2015,7
"15738",1421000,"Powiat pruszkowski",2015,22
"15739",1422000,"Powiat przasnyski",2015,88
"15740",1423000,"Powiat przysuski",2015,8
"15741",1424000,"Powiat pułtuski",2015,10
"15742",1425000,"Powiat radomski",2015,62
"15743",1426000,"Powiat siedlecki",2015,24
"15744",1427000,"Powiat sierpecki",2015,38
"15745",1428000,"Powiat sochaczewski",2015,19
"15746",1429000,"Powiat sokołowski",2015,18
"15747",1430000,"Powiat szydłowiecki",2015,10
"15748",1432000,"Powiat warszawski zachodni",2015,26
"15749",1433000,"Powiat węgrowski",2015,47
"15750",1434000,"Powiat wołomiński",2015,56
"15751",1435000,"Powiat wyszkowski",2015,36
"15752",1436000,"Powiat zwoleński",2015,6
"15753",1437000,"Powiat żuromiński",2015,17
"15754",1438000,"Powiat żyrardowski",2015,15
"15755",1461000,"Powiat m.Ostrołęka",2015,53
"15756",1462000,"Powiat m.Płock",2015,11
"15757",1463000,"Powiat m.Radom",2015,15
"15758",1464000,"Powiat m.Siedlce",2015,19
"15759",1465000,"Powiat m. st. Warszawa",2015,735
"15760",1601000,"Powiat brzeski",2015,25
"15761",1602000,"Powiat głubczycki",2015,35
"15762",1603000,"Powiat kędzierzyńsko-kozielski",2015,184
"15763",1604000,"Powiat kluczborski",2015,19
"15764",1605000,"Powiat krapkowicki",2015,28
"15765",1606000,"Powiat namysłowski",2015,10
"15766",1607000,"Powiat nyski",2015,317
