"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezdomnosc"
"4238",605000,"Powiat janowski",2015,5
"4239",606000,"Powiat krasnostawski",2015,20
"4240",607000,"Powiat kraśnicki",2015,43
"4241",608000,"Powiat lubartowski",2015,26
"4242",609000,"Powiat lubelski",2015,39
"4243",610000,"Powiat łęczyński",2015,20
"4244",611000,"Powiat łukowski",2015,30
"4245",612000,"Powiat opolski",2015,22
"4246",613000,"Powiat parczewski",2015,20
"4247",614000,"Powiat puławski",2015,60
"4248",615000,"Powiat radzyński",2015,29
"4249",616000,"Powiat rycki",2015,21
"4250",617000,"Powiat świdnicki",2015,68
"4251",618000,"Powiat tomaszowski",2015,20
"4252",619000,"Powiat włodawski",2015,14
"4253",620000,"Powiat zamojski",2015,25
"4254",661000,"Powiat m.Biała Podlaska",2015,33
"4255",662000,"Powiat m.Chełm",2015,71
"4256",663000,"Powiat m.Lublin",2015,361
"4257",664000,"Powiat m.Zamość",2015,76
"4258",801000,"Powiat gorzowski",2015,67
"4259",802000,"Powiat krośnieński",2015,67
"4260",803000,"Powiat międzyrzecki",2015,79
"4261",804000,"Powiat nowosolski",2015,116
"4262",805000,"Powiat słubicki",2015,82
"4263",806000,"Powiat strzelecko-drezdenecki",2015,92
"4264",807000,"Powiat sulęciński",2015,47
"4265",808000,"Powiat świebodziński",2015,67
"4266",809000,"Powiat zielonogórski",2015,58
"4267",810000,"Powiat żagański",2015,98
"4268",811000,"Powiat żarski",2015,152
"4269",812000,"Powiat wschowski",2015,14
"4270",861000,"Powiat m.Gorzów Wielkopolski",2015,211
"4271",862000,"Powiat m.Zielona Góra",2015,165
"4272",1001000,"Powiat bełchatowski",2015,87
"4273",1002000,"Powiat kutnowski",2015,107
"4274",1003000,"Powiat łaski",2015,17
"4275",1004000,"Powiat łęczycki",2015,39
"4276",1005000,"Powiat łowicki",2015,55
"4277",1006000,"Powiat łódzki wschodni",2015,25
"4278",1007000,"Powiat opoczyński",2015,40
"4279",1008000,"Powiat pabianicki",2015,135
"4280",1009000,"Powiat pajęczański",2015,30
"4281",1010000,"Powiat piotrkowski",2015,37
"4282",1011000,"Powiat poddębicki",2015,14
"4283",1012000,"Powiat radomszczański",2015,110
"4284",1013000,"Powiat rawski",2015,23
"4285",1014000,"Powiat sieradzki",2015,59
"4286",1015000,"Powiat skierniewicki",2015,20
"4287",1016000,"Powiat tomaszowski",2015,97
"4288",1017000,"Powiat wieluński",2015,22
"4289",1018000,"Powiat wieruszowski",2015,12
"4290",1019000,"Powiat zduńskowolski",2015,88
"4291",1020000,"Powiat zgierski",2015,190
"4292",1021000,"Powiat brzeziński",2015,22
"4293",1061000,"Powiat m.Łódź",2015,680
"4294",1062000,"Powiat m.Piotrków Trybunalski",2015,101
"4295",1063000,"Powiat m.Skierniewice",2015,20
"4296",1201000,"Powiat bocheński",2015,27
"4297",1202000,"Powiat brzeski",2015,16
"4298",1203000,"Powiat chrzanowski",2015,168
"4299",1204000,"Powiat dąbrowski",2015,13
"4300",1205000,"Powiat gorlicki",2015,18
"4301",1206000,"Powiat krakowski",2015,68
"4302",1207000,"Powiat limanowski",2015,21
"4303",1208000,"Powiat miechowski",2015,29
"4304",1209000,"Powiat myślenicki",2015,16
"4305",1210000,"Powiat nowosądecki",2015,45
"4306",1211000,"Powiat nowotarski",2015,51
"4307",1212000,"Powiat olkuski",2015,92
"4308",1213000,"Powiat oświęcimski",2015,121
"4309",1214000,"Powiat proszowicki",2015,13
"4310",1215000,"Powiat suski",2015,23
"4311",1216000,"Powiat tarnowski",2015,27
"4312",1217000,"Powiat tatrzański",2015,40
"4313",1218000,"Powiat wadowicki",2015,75
"4314",1219000,"Powiat wielicki",2015,30
"4315",1261000,"Powiat m.Kraków",2015,1002
"4316",1262000,"Powiat m.Nowy Sącz",2015,60
"4317",1263000,"Powiat m.Tarnów",2015,145
"4318",1401000,"Powiat białobrzeski",2015,1
"4319",1402000,"Powiat ciechanowski",2015,84
"4320",1403000,"Powiat garwoliński",2015,20
"4321",1404000,"Powiat gostyniński",2015,17
"4322",1405000,"Powiat grodziski",2015,78
"4323",1406000,"Powiat grójecki",2015,31
"4324",1407000,"Powiat kozienicki",2015,18
"4325",1408000,"Powiat legionowski",2015,98
"4326",1409000,"Powiat lipski",2015,7
"4327",1410000,"Powiat łosicki",2015,6
"4328",1411000,"Powiat makowski",2015,20
"4329",1412000,"Powiat miński",2015,68
"4330",1413000,"Powiat mławski",2015,66
"4331",1414000,"Powiat nowodworski",2015,76
"4332",1415000,"Powiat ostrołęcki",2015,31
"4333",1416000,"Powiat ostrowski",2015,12
"4334",1417000,"Powiat otwocki",2015,77
"4335",1418000,"Powiat piaseczyński",2015,104
"4336",1419000,"Powiat płocki",2015,41
"4337",1420000,"Powiat płoński",2015,53
"4338",1421000,"Powiat pruszkowski",2015,55
"4339",1422000,"Powiat przasnyski",2015,54
"4340",1423000,"Powiat przysuski",2015,3
"4341",1424000,"Powiat pułtuski",2015,8
"4342",1425000,"Powiat radomski",2015,29
"4343",1426000,"Powiat siedlecki",2015,13
"4344",1427000,"Powiat sierpecki",2015,13
"4345",1428000,"Powiat sochaczewski",2015,107
"4346",1429000,"Powiat sokołowski",2015,6
"4347",1430000,"Powiat szydłowiecki",2015,16
"4348",1432000,"Powiat warszawski zachodni",2015,65
"4349",1433000,"Powiat węgrowski",2015,16
"4350",1434000,"Powiat wołomiński",2015,86
"4351",1435000,"Powiat wyszkowski",2015,29
"4352",1436000,"Powiat zwoleński",2015,10
"4353",1437000,"Powiat żuromiński",2015,10
"4354",1438000,"Powiat żyrardowski",2015,76
"4355",1461000,"Powiat m.Ostrołęka",2015,104
"4356",1462000,"Powiat m.Płock",2015,187
"4357",1463000,"Powiat m.Radom",2015,160
"4358",1464000,"Powiat m.Siedlce",2015,89
"4359",1465000,"Powiat m. st. Warszawa",2015,1270
"4360",1601000,"Powiat brzeski",2015,154
"4361",1602000,"Powiat głubczycki",2015,38
"4362",1603000,"Powiat kędzierzyńsko-kozielski",2015,89
"4363",1604000,"Powiat kluczborski",2015,59
"4364",1605000,"Powiat krapkowicki",2015,62
"4365",1606000,"Powiat namysłowski",2015,30
"4366",1607000,"Powiat nyski",2015,176
"4367",1608000,"Powiat oleski",2015,20
