"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_osobowe_szt"
"8419",406000,"Powiat grudziądzki",2000,NA
"8420",407000,"Powiat inowrocławski",2000,NA
"8421",408000,"Powiat lipnowski",2000,NA
"8422",409000,"Powiat mogileński",2000,NA
"8423",410000,"Powiat nakielski",2000,NA
"8424",411000,"Powiat radziejowski",2000,NA
"8425",412000,"Powiat rypiński",2000,NA
"8426",413000,"Powiat sępoleński",2000,NA
"8427",414000,"Powiat świecki",2000,NA
"8428",415000,"Powiat toruński",2000,NA
"8429",416000,"Powiat tucholski",2000,NA
"8430",417000,"Powiat wąbrzeski",2000,NA
"8431",418000,"Powiat włocławski",2000,NA
"8432",419000,"Powiat żniński",2000,NA
"8433",461000,"Powiat m.Bydgoszcz",2000,NA
"8434",462000,"Powiat m.Grudziądz",2000,NA
"8435",463000,"Powiat m.Toruń",2000,NA
"8436",464000,"Powiat m.Włocławek",2000,NA
"8437",601000,"Powiat bialski",2000,NA
"8438",602000,"Powiat biłgorajski",2000,NA
"8439",603000,"Powiat chełmski",2000,NA
"8440",604000,"Powiat hrubieszowski",2000,NA
"8441",605000,"Powiat janowski",2000,NA
"8442",606000,"Powiat krasnostawski",2000,NA
"8443",607000,"Powiat kraśnicki",2000,NA
"8444",608000,"Powiat lubartowski",2000,NA
"8445",609000,"Powiat lubelski",2000,NA
"8446",610000,"Powiat łęczyński",2000,NA
"8447",611000,"Powiat łukowski",2000,NA
"8448",612000,"Powiat opolski",2000,NA
"8449",613000,"Powiat parczewski",2000,NA
"8450",614000,"Powiat puławski",2000,NA
"8451",615000,"Powiat radzyński",2000,NA
"8452",616000,"Powiat rycki",2000,NA
"8453",617000,"Powiat świdnicki",2000,NA
"8454",618000,"Powiat tomaszowski",2000,NA
"8455",619000,"Powiat włodawski",2000,NA
"8456",620000,"Powiat zamojski",2000,NA
"8457",661000,"Powiat m.Biała Podlaska",2000,NA
"8458",662000,"Powiat m.Chełm",2000,NA
"8459",663000,"Powiat m.Lublin",2000,NA
"8460",664000,"Powiat m.Zamość",2000,NA
"8461",801000,"Powiat gorzowski",2000,NA
"8462",802000,"Powiat krośnieński",2000,NA
"8463",803000,"Powiat międzyrzecki",2000,NA
"8464",804000,"Powiat nowosolski",2000,NA
