"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"14010",2604000,"Powiat kielecki",2002,139.7
"14011",2605000,"Powiat konecki",2002,128
"14012",2606000,"Powiat opatowski",2002,115.7
"14013",2607000,"Powiat ostrowiecki",2002,101.1
"14014",2608000,"Powiat pińczowski",2002,130.1
"14015",2609000,"Powiat sandomierski",2002,125.5
"14016",2610000,"Powiat skarżyski",2002,124.3
"14017",2611000,"Powiat starachowicki",2002,124.7
"14018",2612000,"Powiat staszowski",2002,162.9
"14019",2613000,"Powiat włoszczowski",2002,114.2
"14020",2661000,"Powiat m.Kielce",2002,97.4
"14021",2801000,"Powiat bartoszycki",2002,67.5
"14022",2802000,"Powiat braniewski",2002,72
"14023",2803000,"Powiat działdowski",2002,103
"14024",2804000,"Powiat elbląski",2002,82
"14025",2805000,"Powiat ełcki",2002,69.4
"14026",2806000,"Powiat giżycki",2002,92.4
"14027",2807000,"Powiat iławski",2002,93.8
"14028",2808000,"Powiat kętrzyński",2002,71
"14029",2809000,"Powiat lidzbarski",2002,135.9
"14030",2810000,"Powiat mrągowski",2002,83.5
"14031",2811000,"Powiat nidzicki",2002,152.3
"14032",2812000,"Powiat nowomiejski",2002,94.3
"14033",2813000,"Powiat olecki",2002,121.8
"14034",2814000,"Powiat olsztyński",2002,136.1
"14035",2815000,"Powiat ostródzki",2002,102
"14036",2816000,"Powiat piski",2002,98.6
"14037",2817000,"Powiat szczycieński",2002,131.4
"14038",2818000,"Powiat gołdapski",2002,101.8
"14039",2819000,"Powiat węgorzewski",2002,79.9
"14040",2861000,"Powiat m.Elbląg",2002,85.7
"14041",2862000,"Powiat m.Olsztyn",2002,57.5
"14042",3001000,"Powiat chodzieski",2002,163.3
"14043",3002000,"Powiat czarnkowsko-trzcianecki",2002,112.8
"14044",3003000,"Powiat gnieźnieński",2002,78.3
"14045",3004000,"Powiat gostyński",2002,156.9
"14046",3005000,"Powiat grodziski",2002,111.8
"14047",3006000,"Powiat jarociński",2002,126.9
"14048",3007000,"Powiat kaliski",2002,117.7
"14049",3008000,"Powiat kępiński",2002,122.1
"14050",3009000,"Powiat kolski",2002,109
"14051",3010000,"Powiat koniński",2002,124.1
"14052",3011000,"Powiat kościański",2002,122.7
"14053",3012000,"Powiat krotoszyński",2002,137.6
"14054",3013000,"Powiat leszczyński",2002,147
"14055",3014000,"Powiat międzychodzki",2002,79.3
"14056",3015000,"Powiat nowotomyski",2002,124
"14057",3016000,"Powiat obornicki",2002,79.3
"14058",3017000,"Powiat ostrowski",2002,126.2
"14059",3018000,"Powiat ostrzeszowski",2002,130.9
"14060",3019000,"Powiat pilski",2002,93.8
"14061",3020000,"Powiat pleszewski",2002,140.8
"14062",3021000,"Powiat poznański",2002,107.5
"14063",3022000,"Powiat rawicki",2002,91.9
"14064",3023000,"Powiat słupecki",2002,114.5
"14065",3024000,"Powiat szamotulski",2002,132.4
"14066",3025000,"Powiat średzki",2002,128.1
"14067",3026000,"Powiat śremski",2002,157.8
"14068",3027000,"Powiat turecki",2002,134.1
"14069",3028000,"Powiat wągrowiecki",2002,121.5
"14070",3029000,"Powiat wolsztyński",2002,121
"14071",3030000,"Powiat wrzesiński",2002,105.5
"14072",3031000,"Powiat złotowski",2002,109.6
"14073",3061000,"Powiat m.Kalisz",2002,88.2
"14074",3062000,"Powiat m.Konin",2002,105.9
"14075",3063000,"Powiat m.Leszno",2002,88.6
"14076",3064000,"Powiat m.Poznań",2002,80.7
"14077",3201000,"Powiat białogardzki",2002,126.6
"14078",3202000,"Powiat choszczeński",2002,58.6
"14079",3203000,"Powiat drawski",2002,105.3
"14080",3204000,"Powiat goleniowski",2002,141.9
"14081",3205000,"Powiat gryficki",2002,128.6
"14082",3206000,"Powiat gryfiński",2002,130
"14083",3207000,"Powiat kamieński",2002,94.5
"14084",3208000,"Powiat kołobrzeski",2002,90.4
"14085",3209000,"Powiat koszaliński",2002,138.8
"14086",3210000,"Powiat myśliborski",2002,116
"14087",3211000,"Powiat policki",2002,129.2
"14088",3212000,"Powiat pyrzycki",2002,109.4
"14089",3213000,"Powiat sławieński",2002,161.1
"14090",3214000,"Powiat stargardzki",2002,123.4
"14091",3215000,"Powiat szczecinecki",2002,139.7
"14092",3216000,"Powiat świdwiński",2002,138.6
"14093",3217000,"Powiat wałecki",2002,85.3
"14094",3218000,"Powiat łobeski",2002,141.9
"14095",3261000,"Powiat m.Koszalin",2002,87.3
"14096",3262000,"Powiat m.Szczecin",2002,71.5
"14097",3263000,"Powiat m.Świnoujście",2002,77.6
"14098",201000,"Powiat bolesławiecki",2003,133.6
"14099",202000,"Powiat dzierżoniowski",2003,130.8
"14100",203000,"Powiat głogowski",2003,96.9
"14101",204000,"Powiat górowski",2003,124.1
"14102",205000,"Powiat jaworski",2003,135.2
"14103",206000,"Powiat jeleniogórski",2003,124.1
"14104",207000,"Powiat kamiennogórski",2003,89.6
"14105",208000,"Powiat kłodzki",2003,126.4
"14106",209000,"Powiat legnicki",2003,132
"14107",210000,"Powiat lubański",2003,138.1
"14108",211000,"Powiat lubiński",2003,130.5
"14109",212000,"Powiat lwówecki",2003,110.1
"14110",213000,"Powiat milicki",2003,108.9
"14111",214000,"Powiat oleśnicki",2003,123.3
