"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_zl"
"13741",608000,"Powiat lubartowski",2016,0
"13742",609000,"Powiat lubelski",2016,3735
"13743",610000,"Powiat łęczyński",2016,4450
"13744",611000,"Powiat łukowski",2016,0
"13745",612000,"Powiat opolski",2016,2884
"13746",613000,"Powiat parczewski",2016,0
"13747",614000,"Powiat puławski",2016,4390
"13748",615000,"Powiat radzyński",2016,2166
"13749",616000,"Powiat rycki",2016,0
"13750",617000,"Powiat świdnicki",2016,0
"13751",618000,"Powiat tomaszowski",2016,0
"13752",619000,"Powiat włodawski",2016,3059
"13753",620000,"Powiat zamojski",2016,3812
"13754",661000,"Powiat m.Biała Podlaska",2016,3100
"13755",662000,"Powiat m.Chełm",2016,3619
"13756",663000,"Powiat m.Lublin",2016,5009
"13757",664000,"Powiat m.Zamość",2016,3720
"13758",801000,"Powiat gorzowski",2016,3453
"13759",802000,"Powiat krośnieński",2016,0
"13760",803000,"Powiat międzyrzecki",2016,0
"13761",804000,"Powiat nowosolski",2016,0
"13762",805000,"Powiat słubicki",2016,3200
"13763",806000,"Powiat strzelecko-drezdenecki",2016,3172
"13764",807000,"Powiat sulęciński",2016,0
"13765",808000,"Powiat świebodziński",2016,3200
"13766",809000,"Powiat zielonogórski",2016,2987
"13767",810000,"Powiat żagański",2016,0
"13768",811000,"Powiat żarski",2016,3498
"13769",812000,"Powiat wschowski",2016,3564
"13770",861000,"Powiat m.Gorzów Wielkopolski",2016,3524
"13771",862000,"Powiat m.Zielona Góra",2016,3472
"13772",1001000,"Powiat bełchatowski",2016,3700
"13773",1002000,"Powiat kutnowski",2016,3561
"13774",1003000,"Powiat łaski",2016,2159
"13775",1004000,"Powiat łęczycki",2016,0
"13776",1005000,"Powiat łowicki",2016,4091
"13777",1006000,"Powiat łódzki wschodni",2016,0
"13778",1007000,"Powiat opoczyński",2016,0
"13779",1008000,"Powiat pabianicki",2016,4092
"13780",1009000,"Powiat pajęczański",2016,0
"13781",1010000,"Powiat piotrkowski",2016,0
"13782",1011000,"Powiat poddębicki",2016,0
"13783",1012000,"Powiat radomszczański",2016,0
"13784",1013000,"Powiat rawski",2016,3523
"13785",1014000,"Powiat sieradzki",2016,2585
"13786",1015000,"Powiat skierniewicki",2016,0
"13787",1016000,"Powiat tomaszowski",2016,4003
"13788",1017000,"Powiat wieluński",2016,0
"13789",1018000,"Powiat wieruszowski",2016,2612
"13790",1019000,"Powiat zduńskowolski",2016,0
"13791",1020000,"Powiat zgierski",2016,3347
"13792",1021000,"Powiat brzeziński",2016,2701
"13793",1061000,"Powiat m.Łódź",2016,4794
"13794",1062000,"Powiat m.Piotrków Trybunalski",2016,4488
"13795",1063000,"Powiat m.Skierniewice",2016,3956
"13796",1201000,"Powiat bocheński",2016,4200
"13797",1202000,"Powiat brzeski",2016,4310
"13798",1203000,"Powiat chrzanowski",2016,0
"13799",1204000,"Powiat dąbrowski",2016,0
"13800",1205000,"Powiat gorlicki",2016,0
"13801",1206000,"Powiat krakowski",2016,4963
"13802",1207000,"Powiat limanowski",2016,4338
"13803",1208000,"Powiat miechowski",2016,0
"13804",1209000,"Powiat myślenicki",2016,4950
"13805",1210000,"Powiat nowosądecki",2016,6590
"13806",1211000,"Powiat nowotarski",2016,5458
"13807",1212000,"Powiat olkuski",2016,0
"13808",1213000,"Powiat oświęcimski",2016,3807
"13809",1214000,"Powiat proszowicki",2016,0
"13810",1215000,"Powiat suski",2016,0
"13811",1216000,"Powiat tarnowski",2016,0
"13812",1217000,"Powiat tatrzański",2016,10455
"13813",1218000,"Powiat wadowicki",2016,4204
