"","Kod","Nazwa","rok","LASY_PRYWATNE_I_GMINNE_CTAB_lasy_ogolem_ha"
"8708",214000,"Powiat oleśnicki",1999,829.2
"8709",215000,"Powiat oławski",1999,201.3
"8710",216000,"Powiat polkowicki",1999,431.6
"8711",217000,"Powiat strzeliński",1999,373.3
"8712",218000,"Powiat średzki",1999,224.6
"8713",219000,"Powiat świdnicki",1999,646.7
"8714",220000,"Powiat trzebnicki",1999,636.4
"8715",221000,"Powiat wałbrzyski",1999,1079
"8716",222000,"Powiat wołowski",1999,344.1
"8717",223000,"Powiat wrocławski",1999,799.3
"8718",224000,"Powiat ząbkowicki",1999,879.2
"8719",225000,"Powiat zgorzelecki",1999,257.8
"8720",226000,"Powiat złotoryjski",1999,511.6
"8721",261000,"Powiat m.Jelenia Góra",1999,469.5
"8722",262000,"Powiat m.Legnica",1999,0
"8723",263000,"Powiat m.Wałbrzych do 2002",1999,555.2
"8724",264000,"Powiat m.Wrocław",1999,790
"8725",265000,"Powiat m.Wałbrzych od 2013",1999,NA
"8726",401000,"Powiat aleksandrowski",1999,827.2
"8727",402000,"Powiat brodnicki",1999,2820
"8728",403000,"Powiat bydgoski",1999,2858.6
"8729",404000,"Powiat chełmiński",1999,802.7
"8730",405000,"Powiat golubsko-dobrzyński",1999,1438.4
"8731",406000,"Powiat grudziądzki",1999,1300.6
"8732",407000,"Powiat inowrocławski",1999,1064.4
"8733",408000,"Powiat lipnowski",1999,4961.7
"8734",409000,"Powiat mogileński",1999,760.3
"8735",410000,"Powiat nakielski",1999,2143.5
"8736",411000,"Powiat radziejowski",1999,589
"8737",412000,"Powiat rypiński",1999,2498
"8738",413000,"Powiat sępoleński",1999,1706
"8739",414000,"Powiat świecki",1999,3609.9
"8740",415000,"Powiat toruński",1999,3125.7
"8741",416000,"Powiat tucholski",1999,6451.3
"8742",417000,"Powiat wąbrzeski",1999,746.6
"8743",418000,"Powiat włocławski",1999,2746.8
"8744",419000,"Powiat żniński",1999,1404.2
"8745",461000,"Powiat m.Bydgoszcz",1999,259.7
"8746",462000,"Powiat m.Grudziądz",1999,926.7
