"","Kod","Nazwa","rok","Wydatki_powiatow_na_1_mieszkanca_ogolem_zl"
"469",1601000,"Powiat brzeski",2003,510
"470",1602000,"Powiat głubczycki",2003,610
"471",1603000,"Powiat kędzierzyńsko-kozielski",2003,440
"472",1604000,"Powiat kluczborski",2003,593
"473",1605000,"Powiat krapkowicki",2003,247
"474",1606000,"Powiat namysłowski",2003,519
"475",1607000,"Powiat nyski",2003,440
"476",1608000,"Powiat oleski",2003,432
"477",1609000,"Powiat opolski",2003,258
"478",1610000,"Powiat prudnicki",2003,456
"479",1611000,"Powiat strzelecki",2003,435
"480",1801000,"Powiat bieszczadzki",2003,705
"481",1802000,"Powiat brzozowski",2003,390
"482",1803000,"Powiat dębicki",2003,423
"483",1804000,"Powiat jarosławski",2003,497
"484",1805000,"Powiat jasielski",2003,474
"485",1806000,"Powiat kolbuszowski",2003,355
"486",1807000,"Powiat krośnieński",2003,307
"487",1808000,"Powiat leżajski",2003,530
"488",1809000,"Powiat lubaczowski",2003,984
"489",1810000,"Powiat łańcucki",2003,362
"490",1811000,"Powiat mielecki",2003,465
"491",1812000,"Powiat niżański",2003,361
"492",1813000,"Powiat przemyski",2003,233
"493",1814000,"Powiat przeworski",2003,379
"494",1815000,"Powiat ropczycko-sędziszowski",2003,484
"495",1816000,"Powiat rzeszowski",2003,279
"496",1817000,"Powiat sanocki",2003,496
"497",1818000,"Powiat stalowowolski",2003,441
"498",1819000,"Powiat strzyżowski",2003,451
"499",1820000,"Powiat tarnobrzeski",2003,425
"500",1821000,"Powiat leski",2003,644
"501",2001000,"Powiat augustowski",2003,522
"502",2002000,"Powiat białostocki",2003,414
"503",2003000,"Powiat bielski",2003,575
"504",2004000,"Powiat grajewski",2003,448
"505",2005000,"Powiat hajnowski",2003,546
"506",2006000,"Powiat kolneński",2003,332
"507",2007000,"Powiat łomżyński",2003,318
"508",2008000,"Powiat moniecki",2003,406
"509",2009000,"Powiat sejneński",2003,607
"510",2010000,"Powiat siemiatycki",2003,450
"511",2011000,"Powiat sokólski",2003,423
"512",2012000,"Powiat suwalski",2003,411
"513",2013000,"Powiat wysokomazowiecki",2003,460
"514",2014000,"Powiat zambrowski",2003,562
"515",2201000,"Powiat bytowski",2003,537
"516",2202000,"Powiat chojnicki",2003,516
"517",2203000,"Powiat człuchowski",2003,642
"518",2204000,"Powiat gdański",2003,250
"519",2205000,"Powiat kartuski",2003,392
"520",2206000,"Powiat kościerski",2003,529
"521",2207000,"Powiat kwidzyński",2003,625
"522",2208000,"Powiat lęborski",2003,622
"523",2209000,"Powiat malborski",2003,616
"524",2210000,"Powiat nowodworski",2003,601
"525",2211000,"Powiat pucki",2003,528
"526",2212000,"Powiat słupski",2003,417
"527",2213000,"Powiat starogardzki",2003,463
"528",2214000,"Powiat tczewski",2003,560
"529",2215000,"Powiat wejherowski",2003,388
"530",2216000,"Powiat sztumski",2003,515
"531",2401000,"Powiat będziński",2003,362
"532",2402000,"Powiat bielski",2003,286
"533",2403000,"Powiat cieszyński",2003,462
"534",2404000,"Powiat częstochowski",2003,233
"535",2405000,"Powiat gliwicki",2003,260
"536",2406000,"Powiat kłobucki",2003,303
"537",2407000,"Powiat lubliniecki",2003,561
"538",2408000,"Powiat mikołowski",2003,400
"539",2409000,"Powiat myszkowski",2003,368
"540",2410000,"Powiat pszczyński",2003,342
"541",2411000,"Powiat raciborski",2003,641
"542",2412000,"Powiat rybnicki",2003,224
"543",2413000,"Powiat tarnogórski",2003,596
"544",2414000,"Powiat bieruńsko-lędziński",2003,259
"545",2415000,"Powiat wodzisławski",2003,395
"546",2416000,"Powiat zawierciański",2003,472
"547",2417000,"Powiat żywiecki",2003,395
"548",2601000,"Powiat buski",2003,620
"549",2602000,"Powiat jędrzejowski",2003,460
"550",2603000,"Powiat kazimierski",2003,615
"551",2604000,"Powiat kielecki",2003,262
"552",2605000,"Powiat konecki",2003,420
"553",2606000,"Powiat opatowski",2003,640
"554",2607000,"Powiat ostrowiecki",2003,546
"555",2608000,"Powiat pińczowski",2003,487
"556",2609000,"Powiat sandomierski",2003,514
"557",2610000,"Powiat skarżyski",2003,543
"558",2611000,"Powiat starachowicki",2003,638
"559",2612000,"Powiat staszowski",2003,435
"560",2613000,"Powiat włoszczowski",2003,424
"561",2801000,"Powiat bartoszycki",2003,543
"562",2802000,"Powiat braniewski",2003,588
"563",2803000,"Powiat działdowski",2003,408
"564",2804000,"Powiat elbląski",2003,587
"565",2805000,"Powiat ełcki",2003,615
"566",2806000,"Powiat giżycki",2003,616
"567",2807000,"Powiat iławski",2003,511
"568",2808000,"Powiat kętrzyński",2003,668
"569",2809000,"Powiat lidzbarski",2003,585
"570",2810000,"Powiat mrągowski",2003,585
"571",2811000,"Powiat nidzicki",2003,525
"572",2812000,"Powiat nowomiejski",2003,452
"573",2813000,"Powiat olecki",2003,911
"574",2814000,"Powiat olsztyński",2003,474
"575",2815000,"Powiat ostródzki",2003,512
"576",2816000,"Powiat piski",2003,442
"577",2817000,"Powiat szczycieński",2003,512
"578",2818000,"Powiat gołdapski",2003,530
"579",2819000,"Powiat węgorzewski",2003,935
"580",3001000,"Powiat chodzieski",2003,513
"581",3002000,"Powiat czarnkowsko-trzcianecki",2003,678
"582",3003000,"Powiat gnieźnieński",2003,511
"583",3004000,"Powiat gostyński",2003,552
"584",3005000,"Powiat grodziski",2003,324
"585",3006000,"Powiat jarociński",2003,467
"586",3007000,"Powiat kaliski",2003,229
"587",3008000,"Powiat kępiński",2003,413
"588",3009000,"Powiat kolski",2003,448
