"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_zl"
"6114",404000,"Powiat chełmiński",2016,2589
"6115",405000,"Powiat golubsko-dobrzyński",2016,1431
"6116",406000,"Powiat grudziądzki",2016,1878
"6117",407000,"Powiat inowrocławski",2016,2541
"6118",408000,"Powiat lipnowski",2016,2128
"6119",409000,"Powiat mogileński",2016,2110
"6120",410000,"Powiat nakielski",2016,2553
"6121",411000,"Powiat radziejowski",2016,1511
"6122",412000,"Powiat rypiński",2016,1758
"6123",413000,"Powiat sępoleński",2016,1829
"6124",414000,"Powiat świecki",2016,3480
"6125",415000,"Powiat toruński",2016,2417
"6126",416000,"Powiat tucholski",2016,2298
"6127",417000,"Powiat wąbrzeski",2016,1245
"6128",418000,"Powiat włocławski",2016,1209
"6129",419000,"Powiat żniński",2016,1676
"6130",461000,"Powiat m.Bydgoszcz",2016,4016
"6131",462000,"Powiat m.Grudziądz",2016,2378
"6132",463000,"Powiat m.Toruń",2016,3736
"6133",464000,"Powiat m.Włocławek",2016,2647
"6134",601000,"Powiat bialski",2016,2505
"6135",602000,"Powiat biłgorajski",2016,2761
"6136",603000,"Powiat chełmski",2016,1614
"6137",604000,"Powiat hrubieszowski",2016,2422
"6138",605000,"Powiat janowski",2016,2408
"6139",606000,"Powiat krasnostawski",2016,2782
"6140",607000,"Powiat kraśnicki",2016,2472
"6141",608000,"Powiat lubartowski",2016,3219
"6142",609000,"Powiat lubelski",2016,3582
"6143",610000,"Powiat łęczyński",2016,3773
"6144",611000,"Powiat łukowski",2016,3218
"6145",612000,"Powiat opolski",2016,2467
"6146",613000,"Powiat parczewski",2016,2479
"6147",614000,"Powiat puławski",2016,3961
"6148",615000,"Powiat radzyński",2016,2847
"6149",616000,"Powiat rycki",2016,2307
"6150",617000,"Powiat świdnicki",2016,3982
"6151",618000,"Powiat tomaszowski",2016,2400
"6152",619000,"Powiat włodawski",2016,2000
"6153",620000,"Powiat zamojski",2016,1794
"6154",661000,"Powiat m.Biała Podlaska",2016,2930
"6155",662000,"Powiat m.Chełm",2016,2909
"6156",663000,"Powiat m.Lublin",2016,5105
"6157",664000,"Powiat m.Zamość",2016,2920
"6158",801000,"Powiat gorzowski",2016,2547
"6159",802000,"Powiat krośnieński",2016,2024
"6160",803000,"Powiat międzyrzecki",2016,2159
"6161",804000,"Powiat nowosolski",2016,2295
"6162",805000,"Powiat słubicki",2016,3200
"6163",806000,"Powiat strzelecko-drezdenecki",2016,2552
"6164",807000,"Powiat sulęciński",2016,2335
"6165",808000,"Powiat świebodziński",2016,3117
"6166",809000,"Powiat zielonogórski",2016,2476
"6167",810000,"Powiat żagański",2016,2129
"6168",811000,"Powiat żarski",2016,2164
"6169",812000,"Powiat wschowski",2016,2210
"6170",861000,"Powiat m.Gorzów Wielkopolski",2016,3412
"6171",862000,"Powiat m.Zielona Góra",2016,3541
"6172",1001000,"Powiat bełchatowski",2016,2453
"6173",1002000,"Powiat kutnowski",2016,3529
