"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19708",3004000,"Powiat gostyński",2003,NA
"19709",3005000,"Powiat grodziski",2003,NA
"19710",3006000,"Powiat jarociński",2003,NA
"19711",3007000,"Powiat kaliski",2003,NA
"19712",3008000,"Powiat kępiński",2003,NA
"19713",3009000,"Powiat kolski",2003,NA
"19714",3010000,"Powiat koniński",2003,NA
"19715",3011000,"Powiat kościański",2003,NA
"19716",3012000,"Powiat krotoszyński",2003,NA
"19717",3013000,"Powiat leszczyński",2003,NA
"19718",3014000,"Powiat międzychodzki",2003,NA
"19719",3015000,"Powiat nowotomyski",2003,NA
"19720",3016000,"Powiat obornicki",2003,NA
"19721",3017000,"Powiat ostrowski",2003,NA
"19722",3018000,"Powiat ostrzeszowski",2003,NA
"19723",3019000,"Powiat pilski",2003,NA
"19724",3020000,"Powiat pleszewski",2003,NA
"19725",3021000,"Powiat poznański",2003,NA
"19726",3022000,"Powiat rawicki",2003,NA
"19727",3023000,"Powiat słupecki",2003,NA
"19728",3024000,"Powiat szamotulski",2003,NA
"19729",3025000,"Powiat średzki",2003,NA
"19730",3026000,"Powiat śremski",2003,NA
"19731",3027000,"Powiat turecki",2003,NA
"19732",3028000,"Powiat wągrowiecki",2003,NA
"19733",3029000,"Powiat wolsztyński",2003,NA
"19734",3030000,"Powiat wrzesiński",2003,NA
"19735",3031000,"Powiat złotowski",2003,NA
"19736",3061000,"Powiat m.Kalisz",2003,NA
"19737",3062000,"Powiat m.Konin",2003,NA
"19738",3063000,"Powiat m.Leszno",2003,NA
"19739",3064000,"Powiat m.Poznań",2003,NA
"19740",3201000,"Powiat białogardzki",2003,NA
"19741",3202000,"Powiat choszczeński",2003,NA
"19742",3203000,"Powiat drawski",2003,NA
"19743",3204000,"Powiat goleniowski",2003,NA
"19744",3205000,"Powiat gryficki",2003,NA
"19745",3206000,"Powiat gryfiński",2003,NA
"19746",3207000,"Powiat kamieński",2003,NA
