"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"326",3002000,"Powiat czarnkowsko-trzcianecki",2014,2169
"327",3003000,"Powiat gnieźnieński",2014,2467
"328",3004000,"Powiat gostyński",2014,942
"329",3005000,"Powiat grodziski",2014,574
"330",3006000,"Powiat jarociński",2014,1408
"331",3007000,"Powiat kaliski",2014,1041
"332",3008000,"Powiat kępiński",2014,818
"333",3009000,"Powiat kolski",2014,1192
"334",3010000,"Powiat koniński",2014,1440
"335",3011000,"Powiat kościański",2014,1384
"336",3012000,"Powiat krotoszyński",2014,1193
"337",3013000,"Powiat leszczyński",2014,590
"338",3014000,"Powiat międzychodzki",2014,734
"339",3015000,"Powiat nowotomyski",2014,830
"340",3016000,"Powiat obornicki",2014,1271
"341",3017000,"Powiat ostrowski",2014,3058
"342",3018000,"Powiat ostrzeszowski",2014,818
"343",3019000,"Powiat pilski",2014,2727
"344",3020000,"Powiat pleszewski",2014,938
"345",3021000,"Powiat poznański",2014,2960
"346",3022000,"Powiat rawicki",2014,1089
"347",3023000,"Powiat słupecki",2014,1005
"348",3024000,"Powiat szamotulski",2014,1020
"349",3025000,"Powiat średzki",2014,1047
"350",3026000,"Powiat śremski",2014,790
"351",3027000,"Powiat turecki",2014,721
"352",3028000,"Powiat wągrowiecki",2014,1180
"353",3029000,"Powiat wolsztyński",2014,636
"354",3030000,"Powiat wrzesiński",2014,1024
"355",3031000,"Powiat złotowski",2014,1641
"356",3061000,"Powiat m.Kalisz",2014,3097
"357",3062000,"Powiat m.Konin",2014,2612
"358",3063000,"Powiat m.Leszno",2014,1471
"359",3064000,"Powiat m.Poznań",2014,6014
"360",3201000,"Powiat białogardzki",2014,2141
"361",3202000,"Powiat choszczeński",2014,1658
"362",3203000,"Powiat drawski",2014,1530
"363",3204000,"Powiat goleniowski",2014,1426
"364",3205000,"Powiat gryficki",2014,1427
"365",3206000,"Powiat gryfiński",2014,1754
"366",3207000,"Powiat kamieński",2014,649
"367",3208000,"Powiat kołobrzeski",2014,1156
"368",3209000,"Powiat koszaliński",2014,1911
"369",3210000,"Powiat myśliborski",2014,1840
"370",3211000,"Powiat policki",2014,979
"371",3212000,"Powiat pyrzycki",2014,1229
"372",3213000,"Powiat sławieński",2014,1273
"373",3214000,"Powiat stargardzki",2014,3083
"374",3215000,"Powiat szczecinecki",2014,2389
"375",3216000,"Powiat świdwiński",2014,1401
"376",3217000,"Powiat wałecki",2014,1724
"377",3218000,"Powiat łobeski",2014,1190
"378",3261000,"Powiat m.Koszalin",2014,2006
"379",3262000,"Powiat m.Szczecin",2014,6371
"380",3263000,"Powiat m.Świnoujście",2014,548
"381",201000,"Powiat bolesławiecki",2015,1309
"382",202000,"Powiat dzierżoniowski",2015,1631
"383",203000,"Powiat głogowski",2015,1100
"384",204000,"Powiat górowski",2015,1171
"385",205000,"Powiat jaworski",2015,902
"386",206000,"Powiat jeleniogórski",2015,831
"387",207000,"Powiat kamiennogórski",2015,694
"388",208000,"Powiat kłodzki",2015,3961
"389",209000,"Powiat legnicki",2015,1465
"390",210000,"Powiat lubański",2015,879
"391",211000,"Powiat lubiński",2015,1307
"392",212000,"Powiat lwówecki",2015,1146
"393",213000,"Powiat milicki",2015,662
"394",214000,"Powiat oleśnicki",2015,1033
"395",215000,"Powiat oławski",2015,359
"396",216000,"Powiat polkowicki",2015,1402
"397",217000,"Powiat strzeliński",2015,371
"398",218000,"Powiat średzki",2015,355
"399",219000,"Powiat świdnicki",2015,2922
"400",220000,"Powiat trzebnicki",2015,1186
"401",221000,"Powiat wałbrzyski",2015,1668
"402",222000,"Powiat wołowski",2015,1030
"403",223000,"Powiat wrocławski",2015,829
"404",224000,"Powiat ząbkowicki",2015,1740
"405",225000,"Powiat zgorzelecki",2015,2073
"406",226000,"Powiat złotoryjski",2015,1607
"407",261000,"Powiat m.Jelenia Góra",2015,1719
"408",262000,"Powiat m.Legnica",2015,2054
