"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"9955",223000,"Powiat wrocławski",1996,12170
"9956",224000,"Powiat ząbkowicki",1996,2470
"9957",225000,"Powiat zgorzelecki",1996,8058
"9958",226000,"Powiat złotoryjski",1996,1281
"9959",261000,"Powiat m.Jelenia Góra",1996,17660
"9960",262000,"Powiat m.Legnica",1996,2998
"9961",263000,"Powiat m.Wałbrzych do 2002",1996,4037
"9962",264000,"Powiat m.Wrocław",1996,86892
"9963",265000,"Powiat m.Wałbrzych od 2013",1996,NA
"9964",401000,"Powiat aleksandrowski",1996,4479
"9965",402000,"Powiat brodnicki",1996,12231
"9966",403000,"Powiat bydgoski",1996,17917
"9967",404000,"Powiat chełmiński",1996,3054
"9968",405000,"Powiat golubsko-dobrzyński",1996,2528
"9969",406000,"Powiat grudziądzki",1996,3796
"9970",407000,"Powiat inowrocławski",1996,26286
"9971",408000,"Powiat lipnowski",1996,8476
"9972",409000,"Powiat mogileński",1996,4371
"9973",410000,"Powiat nakielski",1996,11128
"9974",411000,"Powiat radziejowski",1996,6094
"9975",412000,"Powiat rypiński",1996,5199
"9976",413000,"Powiat sępoleński",1996,1966
"9977",414000,"Powiat świecki",1996,11203
"9978",415000,"Powiat toruński",1996,4020
"9979",416000,"Powiat tucholski",1996,3916
"9980",417000,"Powiat wąbrzeski",1996,4301
"9981",418000,"Powiat włocławski",1996,9203
"9982",419000,"Powiat żniński",1996,6271
"9983",461000,"Powiat m.Bydgoszcz",1996,54434
"9984",462000,"Powiat m.Grudziądz",1996,6022
"9985",463000,"Powiat m.Toruń",1996,52293
"9986",464000,"Powiat m.Włocławek",1996,22682
"9987",601000,"Powiat bialski",1996,12184
"9988",602000,"Powiat biłgorajski",1996,14436
"9989",603000,"Powiat chełmski",1996,11174
"9990",604000,"Powiat hrubieszowski",1996,8474
"9991",605000,"Powiat janowski",1996,13876
"9992",606000,"Powiat krasnostawski",1996,13818
"9993",607000,"Powiat kraśnicki",1996,19320
"9994",608000,"Powiat lubartowski",1996,21921
"9995",609000,"Powiat lubelski",1996,17216
"9996",610000,"Powiat łęczyński",1996,5034
"9997",611000,"Powiat łukowski",1996,22340
"9998",612000,"Powiat opolski",1996,7824
"9999",613000,"Powiat parczewski",1996,4917
"10000",614000,"Powiat puławski",1996,24357
"10001",615000,"Powiat radzyński",1996,12669
"10002",616000,"Powiat rycki",1996,10276
"10003",617000,"Powiat świdnicki",1996,14966
"10004",618000,"Powiat tomaszowski",1996,27425
"10005",619000,"Powiat włodawski",1996,6258
"10006",620000,"Powiat zamojski",1996,15409
"10007",661000,"Powiat m.Biała Podlaska",1996,21087
"10008",662000,"Powiat m.Chełm",1996,11848
"10009",663000,"Powiat m.Lublin",1996,87348
"10010",664000,"Powiat m.Zamość",1996,8959
"10011",801000,"Powiat gorzowski",1996,10311
"10012",802000,"Powiat krośnieński",1996,2995
"10013",803000,"Powiat międzyrzecki",1996,2062
"10014",804000,"Powiat nowosolski",1996,8609
"10015",805000,"Powiat słubicki",1996,6546
"10016",806000,"Powiat strzelecko-drezdenecki",1996,2070
"10017",807000,"Powiat sulęciński",1996,2088
"10018",808000,"Powiat świebodziński",1996,2446
"10019",809000,"Powiat zielonogórski",1996,11039
"10020",810000,"Powiat żagański",1996,6350
"10021",811000,"Powiat żarski",1996,9852
"10022",812000,"Powiat wschowski",1996,NA
"10023",861000,"Powiat m.Gorzów Wielkopolski",1996,29677
"10024",862000,"Powiat m.Zielona Góra",1996,35092
"10025",1001000,"Powiat bełchatowski",1996,15747
"10026",1002000,"Powiat kutnowski",1996,10838
"10027",1003000,"Powiat łaski",1996,6287
"10028",1004000,"Powiat łęczycki",1996,2134
"10029",1005000,"Powiat łowicki",1996,26538
"10030",1006000,"Powiat łódzki wschodni",1996,14534
"10031",1007000,"Powiat opoczyński",1996,13566
"10032",1008000,"Powiat pabianicki",1996,15172
"10033",1009000,"Powiat pajęczański",1996,8393
"10034",1010000,"Powiat piotrkowski",1996,12443
"10035",1011000,"Powiat poddębicki",1996,10172
"10036",1012000,"Powiat radomszczański",1996,23683
"10037",1013000,"Powiat rawski",1996,12180
"10038",1014000,"Powiat sieradzki",1996,18784
"10039",1015000,"Powiat skierniewicki",1996,5967
"10040",1016000,"Powiat tomaszowski",1996,12850
"10041",1017000,"Powiat wieluński",1996,2234
"10042",1018000,"Powiat wieruszowski",1996,3300
"10043",1019000,"Powiat zduńskowolski",1996,3338
"10044",1020000,"Powiat zgierski",1996,32131
"10045",1021000,"Powiat brzeziński",1996,NA
"10046",1061000,"Powiat m.Łódź",1996,106779
"10047",1062000,"Powiat m.Piotrków Trybunalski",1996,10633
"10048",1063000,"Powiat m.Skierniewice",1996,7980
"10049",1201000,"Powiat bocheński",1996,18070
"10050",1202000,"Powiat brzeski",1996,22163
"10051",1203000,"Powiat chrzanowski",1996,11631
"10052",1204000,"Powiat dąbrowski",1996,6249
"10053",1205000,"Powiat gorlicki",1996,21192
"10054",1206000,"Powiat krakowski",1996,58833
"10055",1207000,"Powiat limanowski",1996,22595
"10056",1208000,"Powiat miechowski",1996,6950
"10057",1209000,"Powiat myślenicki",1996,23181
"10058",1210000,"Powiat nowosądecki",1996,16179
"10059",1211000,"Powiat nowotarski",1996,32153
"10060",1212000,"Powiat olkuski",1996,16359
"10061",1213000,"Powiat oświęcimski",1996,26268
"10062",1214000,"Powiat proszowicki",1996,8710
"10063",1215000,"Powiat suski",1996,13974
"10064",1216000,"Powiat tarnowski",1996,38781
"10065",1217000,"Powiat tatrzański",1996,20596
"10066",1218000,"Powiat wadowicki",1996,39765
"10067",1219000,"Powiat wielicki",1996,31735
"10068",1261000,"Powiat m.Kraków",1996,149005
"10069",1262000,"Powiat m.Nowy Sącz",1996,16608
"10070",1263000,"Powiat m.Tarnów",1996,20705
"10071",1401000,"Powiat białobrzeski",1996,9958
