"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_majatkowe_inwestycyjne_zl"
"13667",1405000,"Powiat grodziski",2000,28477326
"13668",1406000,"Powiat grójecki",2000,3051877
"13669",1407000,"Powiat kozienicki",2000,318826
"13670",1408000,"Powiat legionowski",2000,4536559
"13671",1409000,"Powiat lipski",2000,2179256
"13672",1410000,"Powiat łosicki",2000,920159
"13673",1411000,"Powiat makowski",2000,1298281
"13674",1412000,"Powiat miński",2000,4300678
"13675",1413000,"Powiat mławski",2000,1633319
"13676",1414000,"Powiat nowodworski",2000,2036018
"13677",1415000,"Powiat ostrołęcki",2000,3051212
"13678",1416000,"Powiat ostrowski",2000,1344713
"13679",1417000,"Powiat otwocki",2000,764909
"13680",1418000,"Powiat piaseczyński",2000,1377849
"13681",1419000,"Powiat płocki",2000,1844790
"13682",1420000,"Powiat płoński",2000,1988656
"13683",1421000,"Powiat pruszkowski",2000,1812101
"13684",1422000,"Powiat przasnyski",2000,12148474
"13685",1423000,"Powiat przysuski",2000,2664247
"13686",1424000,"Powiat pułtuski",2000,2333538
"13687",1425000,"Powiat radomski",2000,4591039
"13688",1426000,"Powiat siedlecki",2000,384216
"13689",1427000,"Powiat sierpecki",2000,1341765
"13690",1428000,"Powiat sochaczewski",2000,1624210
"13691",1429000,"Powiat sokołowski",2000,1043119
"13692",1430000,"Powiat szydłowiecki",2000,1168109
"13693",1431000,"Powiat warszawski",2000,3015914
"13694",1432000,"Powiat warszawski zachodni",2000,4476979
"13695",1433000,"Powiat węgrowski",2000,1525509
"13696",1434000,"Powiat wołomiński",2000,2598629
"13697",1435000,"Powiat wyszkowski",2000,2887793
"13698",1436000,"Powiat zwoleński",2000,794153
"13699",1437000,"Powiat żuromiński",2000,797256
"13700",1438000,"Powiat żyrardowski",2000,2704911
"13701",1601000,"Powiat brzeski",2000,2699892
"13702",1602000,"Powiat głubczycki",2000,984668
"13703",1603000,"Powiat kędzierzyńsko-kozielski",2000,1614299
"13704",1604000,"Powiat kluczborski",2000,2431742
"13705",1605000,"Powiat krapkowicki",2000,382863
"13706",1606000,"Powiat namysłowski",2000,1599152
"13707",1607000,"Powiat nyski",2000,5138985
"13708",1608000,"Powiat oleski",2000,606982
"13709",1609000,"Powiat opolski",2000,4560562
"13710",1610000,"Powiat prudnicki",2000,1417622
"13711",1611000,"Powiat strzelecki",2000,4749012
"13712",1801000,"Powiat bieszczadzki",2000,2082354
"13713",1802000,"Powiat brzozowski",2000,4906141
"13714",1803000,"Powiat dębicki",2000,2429373
"13715",1804000,"Powiat jarosławski",2000,10309345
"13716",1805000,"Powiat jasielski",2000,3583631
"13717",1806000,"Powiat kolbuszowski",2000,2511371
"13718",1807000,"Powiat krośnieński",2000,1441827
"13719",1808000,"Powiat leżajski",2000,4123542
"13720",1809000,"Powiat lubaczowski",2000,13500807
"13721",1810000,"Powiat łańcucki",2000,715271
"13722",1811000,"Powiat mielecki",2000,18587892
"13723",1812000,"Powiat niżański",2000,1097907
"13724",1813000,"Powiat przemyski",2000,1197428
"13725",1814000,"Powiat przeworski",2000,1979525
"13726",1815000,"Powiat ropczycko-sędziszowski",2000,1703803
"13727",1816000,"Powiat rzeszowski",2000,5873784
"13728",1817000,"Powiat sanocki",2000,3447598
"13729",1818000,"Powiat stalowowolski",2000,3892435
"13730",1819000,"Powiat strzyżowski",2000,1932761
"13731",1820000,"Powiat tarnobrzeski",2000,582218
"13732",1821000,"Powiat leski",2000,NA
"13733",2001000,"Powiat augustowski",2000,4629547
"13734",2002000,"Powiat białostocki",2000,2558194
"13735",2003000,"Powiat bielski",2000,4719162
"13736",2004000,"Powiat grajewski",2000,3443171
"13737",2005000,"Powiat hajnowski",2000,3050029
"13738",2006000,"Powiat kolneński",2000,1557503
"13739",2007000,"Powiat łomżyński",2000,1038043
"13740",2008000,"Powiat moniecki",2000,1317105
"13741",2009000,"Powiat sejneński",2000,748590
"13742",2010000,"Powiat siemiatycki",2000,3354639
"13743",2011000,"Powiat sokólski",2000,3746051
"13744",2012000,"Powiat suwalski",2000,24701
"13745",2013000,"Powiat wysokomazowiecki",2000,5830232
"13746",2014000,"Powiat zambrowski",2000,1630915
"13747",2201000,"Powiat bytowski",2000,2522217
"13748",2202000,"Powiat chojnicki",2000,31255355
"13749",2203000,"Powiat człuchowski",2000,6851410
"13750",2204000,"Powiat gdański",2000,1552743
"13751",2205000,"Powiat kartuski",2000,2957140
"13752",2206000,"Powiat kościerski",2000,1001809
"13753",2207000,"Powiat kwidzyński",2000,3843832
"13754",2208000,"Powiat lęborski",2000,843949
"13755",2209000,"Powiat malborski",2000,5283507
"13756",2210000,"Powiat nowodworski",2000,566397
"13757",2211000,"Powiat pucki",2000,6042865
"13758",2212000,"Powiat słupski",2000,4491755
"13759",2213000,"Powiat starogardzki",2000,2260662
"13760",2214000,"Powiat tczewski",2000,4048992
"13761",2215000,"Powiat wejherowski",2000,3173517
"13762",2216000,"Powiat sztumski",2000,NA
"13763",2401000,"Powiat będziński",2000,1658518
"13764",2402000,"Powiat bielski",2000,2351926
"13765",2403000,"Powiat cieszyński",2000,7353278
"13766",2404000,"Powiat częstochowski",2000,5259007
"13767",2405000,"Powiat gliwicki",2000,449122
"13768",2406000,"Powiat kłobucki",2000,967151
"13769",2407000,"Powiat lubliniecki",2000,243011
"13770",2408000,"Powiat mikołowski",2000,1182298
"13771",2409000,"Powiat myszkowski",2000,1346568
"13772",2410000,"Powiat pszczyński",2000,1679410
"13773",2411000,"Powiat raciborski",2000,28618937
"13774",2412000,"Powiat rybnicki",2000,186187
"13775",2413000,"Powiat tarnogórski",2000,2599872
