"","Kod","Nazwa","rok","Muzea_zwiedzajacy_muzea_i_oddzialy_na_10_tys_mieszkancow_osoba"
"8846",1601000,"Powiat brzeski",1996,NA
"8847",1602000,"Powiat głubczycki",1996,NA
"8848",1603000,"Powiat kędzierzyńsko-kozielski",1996,NA
"8849",1604000,"Powiat kluczborski",1996,NA
"8850",1606000,"Powiat namysłowski",1996,NA
"8851",1607000,"Powiat nyski",1996,NA
"8852",1608000,"Powiat oleski",1996,NA
"8853",1609000,"Powiat opolski",1996,NA
"8854",1610000,"Powiat prudnicki",1996,NA
"8855",1611000,"Powiat strzelecki",1996,NA
"8856",1661000,"Powiat m.Opole",1996,NA
"8857",1801000,"Powiat bieszczadzki",1996,NA
"8858",1802000,"Powiat brzozowski",1996,NA
"8859",1803000,"Powiat dębicki",1996,NA
"8860",1804000,"Powiat jarosławski",1996,NA
"8861",1805000,"Powiat jasielski",1996,NA
"8862",1806000,"Powiat kolbuszowski",1996,NA
"8863",1807000,"Powiat krośnieński",1996,NA
"8864",1808000,"Powiat leżajski",1996,NA
"8865",1809000,"Powiat lubaczowski",1996,NA
"8866",1810000,"Powiat łańcucki",1996,NA
"8867",1811000,"Powiat mielecki",1996,NA
"8868",1813000,"Powiat przemyski",1996,NA
"8869",1814000,"Powiat przeworski",1996,NA
"8870",1816000,"Powiat rzeszowski",1996,NA
"8871",1817000,"Powiat sanocki",1996,NA
"8872",1818000,"Powiat stalowowolski",1996,NA
"8873",1819000,"Powiat strzyżowski",1996,NA
"8874",1820000,"Powiat tarnobrzeski",1996,NA
"8875",1821000,"Powiat leski",1996,NA
"8876",1861000,"Powiat m.Krosno",1996,NA
"8877",1862000,"Powiat m.Przemyśl",1996,NA
"8878",1863000,"Powiat m.Rzeszów",1996,NA
"8879",1864000,"Powiat m.Tarnobrzeg",1996,NA
"8880",2001000,"Powiat augustowski",1996,NA
"8881",2002000,"Powiat białostocki",1996,NA
"8882",2003000,"Powiat bielski",1996,NA
"8883",2005000,"Powiat hajnowski",1996,NA
"8884",2007000,"Powiat łomżyński",1996,NA
"8885",2009000,"Powiat sejneński",1996,NA
"8886",2010000,"Powiat siemiatycki",1996,NA
"8887",2011000,"Powiat sokólski",1996,NA
"8888",2013000,"Powiat wysokomazowiecki",1996,NA
"8889",2061000,"Powiat m.Białystok",1996,NA
"8890",2062000,"Powiat m.Łomża",1996,NA
"8891",2063000,"Powiat m.Suwałki",1996,NA
"8892",2201000,"Powiat bytowski",1996,NA
"8893",2202000,"Powiat chojnicki",1996,NA
