"","Kod","Nazwa","rok","Kina_stale_wg_formy_wlasnosci_ogolem_seanse_ogolem"
"18623",1434000,"Powiat wołomiński",1996,0
"18624",1435000,"Powiat wyszkowski",1996,740
"18625",1436000,"Powiat zwoleński",1996,0
"18626",1437000,"Powiat żuromiński",1996,101
"18627",1438000,"Powiat żyrardowski",1996,712
"18628",1461000,"Powiat m.Ostrołęka",1996,1104
"18629",1462000,"Powiat m.Płock",1996,3406
"18630",1463000,"Powiat m.Radom",1996,3343
"18631",1464000,"Powiat m.Siedlce",1996,765
"18632",1465000,"Powiat m. st. Warszawa",1996,NA
"18633",1601000,"Powiat brzeski",1996,1230
"18634",1602000,"Powiat głubczycki",1996,106
"18635",1603000,"Powiat kędzierzyńsko-kozielski",1996,953
"18636",1604000,"Powiat kluczborski",1996,518
"18637",1605000,"Powiat krapkowicki",1996,368
"18638",1606000,"Powiat namysłowski",1996,311
"18639",1607000,"Powiat nyski",1996,855
"18640",1608000,"Powiat oleski",1996,483
"18641",1609000,"Powiat opolski",1996,0
"18642",1610000,"Powiat prudnicki",1996,473
"18643",1611000,"Powiat strzelecki",1996,521
"18644",1661000,"Powiat m.Opole",1996,3169
"18645",1801000,"Powiat bieszczadzki",1996,493
"18646",1802000,"Powiat brzozowski",1996,514
"18647",1803000,"Powiat dębicki",1996,830
"18648",1804000,"Powiat jarosławski",1996,999
"18649",1805000,"Powiat jasielski",1996,569
"18650",1806000,"Powiat kolbuszowski",1996,164
"18651",1807000,"Powiat krośnieński",1996,798
"18652",1808000,"Powiat leżajski",1996,548
"18653",1809000,"Powiat lubaczowski",1996,313
"18654",1810000,"Powiat łańcucki",1996,337
"18655",1811000,"Powiat mielecki",1996,1101
"18656",1812000,"Powiat niżański",1996,343
"18657",1813000,"Powiat przemyski",1996,10
"18658",1814000,"Powiat przeworski",1996,245
"18659",1815000,"Powiat ropczycko-sędziszowski",1996,505
"18660",1816000,"Powiat rzeszowski",1996,103
"18661",1817000,"Powiat sanocki",1996,455
"18662",1818000,"Powiat stalowowolski",1996,1545
"18663",1819000,"Powiat strzyżowski",1996,200
"18664",1820000,"Powiat tarnobrzeski",1996,102
