"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"14146",809000,"Powiat zielonogórski",2003,NA
"14147",810000,"Powiat żagański",2003,NA
"14148",811000,"Powiat żarski",2003,NA
"14149",812000,"Powiat wschowski",2003,NA
"14150",861000,"Powiat m.Gorzów Wielkopolski",2003,NA
"14151",862000,"Powiat m.Zielona Góra",2003,NA
"14152",1001000,"Powiat bełchatowski",2003,NA
"14153",1002000,"Powiat kutnowski",2003,NA
"14154",1003000,"Powiat łaski",2003,NA
"14155",1004000,"Powiat łęczycki",2003,NA
"14156",1005000,"Powiat łowicki",2003,NA
"14157",1006000,"Powiat łódzki wschodni",2003,NA
"14158",1007000,"Powiat opoczyński",2003,NA
"14159",1008000,"Powiat pabianicki",2003,NA
"14160",1009000,"Powiat pajęczański",2003,NA
"14161",1010000,"Powiat piotrkowski",2003,NA
"14162",1011000,"Powiat poddębicki",2003,NA
"14163",1012000,"Powiat radomszczański",2003,NA
"14164",1013000,"Powiat rawski",2003,NA
"14165",1014000,"Powiat sieradzki",2003,NA
"14166",1015000,"Powiat skierniewicki",2003,NA
"14167",1016000,"Powiat tomaszowski",2003,NA
"14168",1017000,"Powiat wieluński",2003,NA
"14169",1018000,"Powiat wieruszowski",2003,NA
"14170",1019000,"Powiat zduńskowolski",2003,NA
"14171",1020000,"Powiat zgierski",2003,NA
"14172",1021000,"Powiat brzeziński",2003,NA
"14173",1061000,"Powiat m.Łódź",2003,NA
"14174",1062000,"Powiat m.Piotrków Trybunalski",2003,NA
"14175",1063000,"Powiat m.Skierniewice",2003,NA
"14176",1201000,"Powiat bocheński",2003,NA
"14177",1202000,"Powiat brzeski",2003,NA
"14178",1203000,"Powiat chrzanowski",2003,NA
"14179",1204000,"Powiat dąbrowski",2003,NA
"14180",1205000,"Powiat gorlicki",2003,NA
"14181",1206000,"Powiat krakowski",2003,NA
"14182",1207000,"Powiat limanowski",2003,NA
"14183",1208000,"Powiat miechowski",2003,NA
"14184",1209000,"Powiat myślenicki",2003,NA
"14185",1210000,"Powiat nowosądecki",2003,NA
"14186",1211000,"Powiat nowotarski",2003,NA
"14187",1212000,"Powiat olkuski",2003,NA
"14188",1213000,"Powiat oświęcimski",2003,NA
"14189",1214000,"Powiat proszowicki",2003,NA
"14190",1215000,"Powiat suski",2003,NA
"14191",1216000,"Powiat tarnowski",2003,NA
"14192",1217000,"Powiat tatrzański",2003,NA
"14193",1218000,"Powiat wadowicki",2003,NA
"14194",1219000,"Powiat wielicki",2003,NA
"14195",1261000,"Powiat m.Kraków",2003,NA
"14196",1262000,"Powiat m.Nowy Sącz",2003,NA
"14197",1263000,"Powiat m.Tarnów",2003,NA
"14198",1401000,"Powiat białobrzeski",2003,NA
"14199",1402000,"Powiat ciechanowski",2003,NA
"14200",1403000,"Powiat garwoliński",2003,NA
"14201",1404000,"Powiat gostyniński",2003,NA
"14202",1405000,"Powiat grodziski",2003,NA
"14203",1406000,"Powiat grójecki",2003,NA
"14204",1407000,"Powiat kozienicki",2003,NA
