"","Kod","Nazwa","rok","Kluby_sportowe_lacznie_z_klubami_wyznaniowymi_i_UKS_cwiczacy_ogolem_osoba"
"9486",3017000,"Powiat ostrowski",1999,NA
"9487",3018000,"Powiat ostrzeszowski",1999,NA
"9488",3019000,"Powiat pilski",1999,NA
"9489",3020000,"Powiat pleszewski",1999,NA
"9490",3021000,"Powiat poznański",1999,NA
"9491",3022000,"Powiat rawicki",1999,NA
"9492",3023000,"Powiat słupecki",1999,NA
"9493",3024000,"Powiat szamotulski",1999,NA
"9494",3025000,"Powiat średzki",1999,NA
"9495",3026000,"Powiat śremski",1999,NA
"9496",3027000,"Powiat turecki",1999,NA
"9497",3028000,"Powiat wągrowiecki",1999,NA
"9498",3029000,"Powiat wolsztyński",1999,NA
"9499",3030000,"Powiat wrzesiński",1999,NA
"9500",3031000,"Powiat złotowski",1999,NA
"9501",3061000,"Powiat m.Kalisz",1999,NA
"9502",3062000,"Powiat m.Konin",1999,NA
"9503",3063000,"Powiat m.Leszno",1999,NA
"9504",3064000,"Powiat m.Poznań",1999,NA
"9505",3201000,"Powiat białogardzki",1999,NA
"9506",3202000,"Powiat choszczeński",1999,NA
"9507",3203000,"Powiat drawski",1999,NA
"9508",3204000,"Powiat goleniowski",1999,NA
"9509",3205000,"Powiat gryficki",1999,NA
"9510",3206000,"Powiat gryfiński",1999,NA
"9511",3207000,"Powiat kamieński",1999,NA
"9512",3208000,"Powiat kołobrzeski",1999,NA
"9513",3209000,"Powiat koszaliński",1999,NA
"9514",3210000,"Powiat myśliborski",1999,NA
"9515",3211000,"Powiat policki",1999,NA
"9516",3212000,"Powiat pyrzycki",1999,NA
"9517",3213000,"Powiat sławieński",1999,NA
"9518",3214000,"Powiat stargardzki",1999,NA
"9519",3215000,"Powiat szczecinecki",1999,NA
"9520",3216000,"Powiat świdwiński",1999,NA
"9521",3217000,"Powiat wałecki",1999,NA
"9522",3218000,"Powiat łobeski",1999,NA
"9523",3261000,"Powiat m.Koszalin",1999,NA
"9524",3262000,"Powiat m.Szczecin",1999,NA
"9525",3263000,"Powiat m.Świnoujście",1999,NA
"9526",201000,"Powiat bolesławiecki",2000,NA
"9527",202000,"Powiat dzierżoniowski",2000,NA
"9528",203000,"Powiat głogowski",2000,NA
"9529",204000,"Powiat górowski",2000,NA
"9530",205000,"Powiat jaworski",2000,NA
"9531",206000,"Powiat jeleniogórski",2000,NA
"9532",207000,"Powiat kamiennogórski",2000,NA
"9533",208000,"Powiat kłodzki",2000,NA
"9534",209000,"Powiat legnicki",2000,NA
"9535",210000,"Powiat lubański",2000,NA
"9536",211000,"Powiat lubiński",2000,NA
"9537",212000,"Powiat lwówecki",2000,NA
"9538",213000,"Powiat milicki",2000,NA
"9539",214000,"Powiat oleśnicki",2000,NA
"9540",215000,"Powiat oławski",2000,NA
"9541",216000,"Powiat polkowicki",2000,NA
"9542",217000,"Powiat strzeliński",2000,NA
"9543",218000,"Powiat średzki",2000,NA
"9544",219000,"Powiat świdnicki",2000,NA
"9545",220000,"Powiat trzebnicki",2000,NA
"9546",221000,"Powiat wałbrzyski",2000,NA
"9547",222000,"Powiat wołowski",2000,NA
"9548",223000,"Powiat wrocławski",2000,NA
"9549",224000,"Powiat ząbkowicki",2000,NA
"9550",225000,"Powiat zgorzelecki",2000,NA
"9551",226000,"Powiat złotoryjski",2000,NA
"9552",261000,"Powiat m.Jelenia Góra",2000,NA
"9553",262000,"Powiat m.Legnica",2000,NA
"9554",263000,"Powiat m.Wałbrzych do 2002",2000,NA
"9555",264000,"Powiat m.Wrocław",2000,NA
"9556",265000,"Powiat m.Wałbrzych od 2013",2000,NA
"9557",401000,"Powiat aleksandrowski",2000,NA
"9558",402000,"Powiat brodnicki",2000,NA
"9559",403000,"Powiat bydgoski",2000,NA
"9560",404000,"Powiat chełmiński",2000,NA
"9561",405000,"Powiat golubsko-dobrzyński",2000,NA
"9562",406000,"Powiat grudziądzki",2000,NA
"9563",407000,"Powiat inowrocławski",2000,NA
"9564",408000,"Powiat lipnowski",2000,NA
"9565",409000,"Powiat mogileński",2000,NA
"9566",410000,"Powiat nakielski",2000,NA
"9567",411000,"Powiat radziejowski",2000,NA
"9568",412000,"Powiat rypiński",2000,NA
"9569",413000,"Powiat sępoleński",2000,NA
"9570",414000,"Powiat świecki",2000,NA
"9571",415000,"Powiat toruński",2000,NA
"9572",416000,"Powiat tucholski",2000,NA
"9573",417000,"Powiat wąbrzeski",2000,NA
"9574",418000,"Powiat włocławski",2000,NA
"9575",419000,"Powiat żniński",2000,NA
"9576",461000,"Powiat m.Bydgoszcz",2000,NA
"9577",462000,"Powiat m.Grudziądz",2000,NA
"9578",463000,"Powiat m.Toruń",2000,NA
"9579",464000,"Powiat m.Włocławek",2000,NA
"9580",601000,"Powiat bialski",2000,NA
"9581",602000,"Powiat biłgorajski",2000,NA
"9582",603000,"Powiat chełmski",2000,NA
"9583",604000,"Powiat hrubieszowski",2000,NA
"9584",605000,"Powiat janowski",2000,NA
"9585",606000,"Powiat krasnostawski",2000,NA
"9586",607000,"Powiat kraśnicki",2000,NA
"9587",608000,"Powiat lubartowski",2000,NA
"9588",609000,"Powiat lubelski",2000,NA
"9589",610000,"Powiat łęczyński",2000,NA
"9590",611000,"Powiat łukowski",2000,NA
"9591",612000,"Powiat opolski",2000,NA
"9592",613000,"Powiat parczewski",2000,NA
"9593",614000,"Powiat puławski",2000,NA
"9594",615000,"Powiat radzyński",2000,NA
"9595",616000,"Powiat rycki",2000,NA
"9596",617000,"Powiat świdnicki",2000,NA
"9597",618000,"Powiat tomaszowski",2000,NA
"9598",619000,"Powiat włodawski",2000,NA
"9599",620000,"Powiat zamojski",2000,NA
"9600",661000,"Powiat m.Biała Podlaska",2000,NA
"9601",662000,"Powiat m.Chełm",2000,NA
"9602",663000,"Powiat m.Lublin",2000,NA
"9603",664000,"Powiat m.Zamość",2000,NA
"9604",801000,"Powiat gorzowski",2000,NA
"9605",802000,"Powiat krośnieński",2000,NA
"9606",803000,"Powiat międzyrzecki",2000,NA
"9607",804000,"Powiat nowosolski",2000,NA
"9608",805000,"Powiat słubicki",2000,NA
"9609",806000,"Powiat strzelecko-drezdenecki",2000,NA
"9610",807000,"Powiat sulęciński",2000,NA
"9611",808000,"Powiat świebodziński",2000,NA
"9612",809000,"Powiat zielonogórski",2000,NA
"9613",810000,"Powiat żagański",2000,NA
"9614",811000,"Powiat żarski",2000,NA
"9615",812000,"Powiat wschowski",2000,NA
"9616",861000,"Powiat m.Gorzów Wielkopolski",2000,NA
"9617",862000,"Powiat m.Zielona Góra",2000,NA
"9618",1001000,"Powiat bełchatowski",2000,NA
"9619",1002000,"Powiat kutnowski",2000,NA
"9620",1003000,"Powiat łaski",2000,NA
"9621",1004000,"Powiat łęczycki",2000,NA
"9622",1005000,"Powiat łowicki",2000,NA
"9623",1006000,"Powiat łódzki wschodni",2000,NA
"9624",1007000,"Powiat opoczyński",2000,NA
"9625",1008000,"Powiat pabianicki",2000,NA
"9626",1009000,"Powiat pajęczański",2000,NA
"9627",1010000,"Powiat piotrkowski",2000,NA
"9628",1011000,"Powiat poddębicki",2000,NA
"9629",1012000,"Powiat radomszczański",2000,NA
"9630",1013000,"Powiat rawski",2000,NA
"9631",1014000,"Powiat sieradzki",2000,NA
"9632",1015000,"Powiat skierniewicki",2000,NA
"9633",1016000,"Powiat tomaszowski",2000,NA
"9634",1017000,"Powiat wieluński",2000,NA
"9635",1018000,"Powiat wieruszowski",2000,NA
"9636",1019000,"Powiat zduńskowolski",2000,NA
"9637",1020000,"Powiat zgierski",2000,NA
"9638",1021000,"Powiat brzeziński",2000,NA
"9639",1061000,"Powiat m.Łódź",2000,NA
"9640",1062000,"Powiat m.Piotrków Trybunalski",2000,NA
"9641",1063000,"Powiat m.Skierniewice",2000,NA
"9642",1201000,"Powiat bocheński",2000,NA
"9643",1202000,"Powiat brzeski",2000,NA
"9644",1203000,"Powiat chrzanowski",2000,NA
"9645",1204000,"Powiat dąbrowski",2000,NA
"9646",1205000,"Powiat gorlicki",2000,NA
"9647",1206000,"Powiat krakowski",2000,NA
"9648",1207000,"Powiat limanowski",2000,NA
"9649",1208000,"Powiat miechowski",2000,NA
"9650",1209000,"Powiat myślenicki",2000,NA
"9651",1210000,"Powiat nowosądecki",2000,NA
"9652",1211000,"Powiat nowotarski",2000,NA
"9653",1212000,"Powiat olkuski",2000,NA
"9654",1213000,"Powiat oświęcimski",2000,NA
"9655",1214000,"Powiat proszowicki",2000,NA
"9656",1215000,"Powiat suski",2000,NA
"9657",1216000,"Powiat tarnowski",2000,NA
"9658",1217000,"Powiat tatrzański",2000,NA
"9659",1218000,"Powiat wadowicki",2000,NA
"9660",1219000,"Powiat wielicki",2000,NA
"9661",1261000,"Powiat m.Kraków",2000,NA
"9662",1262000,"Powiat m.Nowy Sącz",2000,NA
"9663",1263000,"Powiat m.Tarnów",2000,NA
"9664",1401000,"Powiat białobrzeski",2000,NA
"9665",1402000,"Powiat ciechanowski",2000,NA
"9666",1403000,"Powiat garwoliński",2000,NA
"9667",1404000,"Powiat gostyniński",2000,NA
"9668",1405000,"Powiat grodziski",2000,NA
"9669",1406000,"Powiat grójecki",2000,NA
"9670",1407000,"Powiat kozienicki",2000,NA
"9671",1408000,"Powiat legionowski",2000,NA
"9672",1409000,"Powiat lipski",2000,NA
"9673",1410000,"Powiat łosicki",2000,NA
"9674",1411000,"Powiat makowski",2000,NA
"9675",1412000,"Powiat miński",2000,NA
"9676",1413000,"Powiat mławski",2000,NA
"9677",1414000,"Powiat nowodworski",2000,NA
"9678",1415000,"Powiat ostrołęcki",2000,NA
"9679",1416000,"Powiat ostrowski",2000,NA
"9680",1417000,"Powiat otwocki",2000,NA
"9681",1418000,"Powiat piaseczyński",2000,NA
"9682",1419000,"Powiat płocki",2000,NA
"9683",1420000,"Powiat płoński",2000,NA
"9684",1421000,"Powiat pruszkowski",2000,NA
"9685",1422000,"Powiat przasnyski",2000,NA
"9686",1423000,"Powiat przysuski",2000,NA
"9687",1424000,"Powiat pułtuski",2000,NA
"9688",1425000,"Powiat radomski",2000,NA
"9689",1426000,"Powiat siedlecki",2000,NA
