"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_szt"
"21400",1205000,"Powiat gorlicki",2016,24
"21401",1206000,"Powiat krakowski",2016,39
"21402",1207000,"Powiat limanowski",2016,17
"21403",1208000,"Powiat miechowski",2016,5
"21404",1209000,"Powiat myślenicki",2016,12
"21405",1210000,"Powiat nowosądecki",2016,26
"21406",1211000,"Powiat nowotarski",2016,29
"21407",1212000,"Powiat olkuski",2016,41
"21408",1213000,"Powiat oświęcimski",2016,100
"21409",1214000,"Powiat proszowicki",2016,4
"21410",1215000,"Powiat suski",2016,9
"21411",1216000,"Powiat tarnowski",2016,0
"21412",1217000,"Powiat tatrzański",2016,40
"21413",1218000,"Powiat wadowicki",2016,41
"21414",1219000,"Powiat wielicki",2016,16
"21415",1261000,"Powiat m.Kraków",2016,1272
"21416",1262000,"Powiat m.Nowy Sącz",2016,63
"21417",1263000,"Powiat m.Tarnów",2016,76
"21418",1401000,"Powiat białobrzeski",2016,9
"21419",1402000,"Powiat ciechanowski",2016,25
"21420",1403000,"Powiat garwoliński",2016,6
"21421",1404000,"Powiat gostyniński",2016,20
"21422",1405000,"Powiat grodziski",2016,41
"21423",1406000,"Powiat grójecki",2016,33
"21424",1407000,"Powiat kozienicki",2016,15
"21425",1408000,"Powiat legionowski",2016,49
"21426",1409000,"Powiat lipski",2016,0
"21427",1410000,"Powiat łosicki",2016,11
"21428",1411000,"Powiat makowski",2016,0
"21429",1412000,"Powiat miński",2016,29
"21430",1413000,"Powiat mławski",2016,35
"21431",1414000,"Powiat nowodworski",2016,73
"21432",1415000,"Powiat ostrołęcki",2016,0
"21433",1416000,"Powiat ostrowski",2016,13
"21434",1417000,"Powiat otwocki",2016,43
"21435",1418000,"Powiat piaseczyński",2016,146
"21436",1419000,"Powiat płocki",2016,12
"21437",1420000,"Powiat płoński",2016,21
"21438",1421000,"Powiat pruszkowski",2016,79
"21439",1422000,"Powiat przasnyski",2016,16
"21440",1423000,"Powiat przysuski",2016,4
"21441",1424000,"Powiat pułtuski",2016,15
"21442",1425000,"Powiat radomski",2016,15
"21443",1426000,"Powiat siedlecki",2016,0
"21444",1427000,"Powiat sierpecki",2016,15
"21445",1428000,"Powiat sochaczewski",2016,43
"21446",1429000,"Powiat sokołowski",2016,8
"21447",1430000,"Powiat szydłowiecki",2016,8
"21448",1432000,"Powiat warszawski zachodni",2016,27
"21449",1433000,"Powiat węgrowski",2016,7
"21450",1434000,"Powiat wołomiński",2016,108
"21451",1435000,"Powiat wyszkowski",2016,30
"21452",1436000,"Powiat zwoleński",2016,0
"21453",1437000,"Powiat żuromiński",2016,11
"21454",1438000,"Powiat żyrardowski",2016,44
"21455",1461000,"Powiat m.Ostrołęka",2016,39
"21456",1462000,"Powiat m.Płock",2016,146
"21457",1463000,"Powiat m.Radom",2016,99
"21458",1464000,"Powiat m.Siedlce",2016,82
"21459",1465000,"Powiat m. st. Warszawa",2016,3371
"21460",1601000,"Powiat brzeski",2016,68
"21461",1602000,"Powiat głubczycki",2016,18
