"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_ogolem_szt"
"9984",1013000,"Powiat rawski",2016,25
"9985",1014000,"Powiat sieradzki",2016,43
"9986",1015000,"Powiat skierniewicki",2016,0
"9987",1016000,"Powiat tomaszowski",2016,51
"9988",1017000,"Powiat wieluński",2016,0
"9989",1018000,"Powiat wieruszowski",2016,12
"9990",1019000,"Powiat zduńskowolski",2016,0
"9991",1020000,"Powiat zgierski",2016,56
"9992",1021000,"Powiat brzeziński",2016,38
"9993",1061000,"Powiat m.Łódź",2016,1630
"9994",1062000,"Powiat m.Piotrków Trybunalski",2016,45
"9995",1063000,"Powiat m.Skierniewice",2016,31
"9996",1201000,"Powiat bocheński",2016,45
"9997",1202000,"Powiat brzeski",2016,11
"9998",1203000,"Powiat chrzanowski",2016,7
"9999",1204000,"Powiat dąbrowski",2016,0
"10000",1205000,"Powiat gorlicki",2016,3
"10001",1206000,"Powiat krakowski",2016,147
"10002",1207000,"Powiat limanowski",2016,3
"10003",1208000,"Powiat miechowski",2016,3
"10004",1209000,"Powiat myślenicki",2016,45
"10005",1210000,"Powiat nowosądecki",2016,60
"10006",1211000,"Powiat nowotarski",2016,22
"10007",1212000,"Powiat olkuski",2016,0
"10008",1213000,"Powiat oświęcimski",2016,43
"10009",1214000,"Powiat proszowicki",2016,0
"10010",1215000,"Powiat suski",2016,0
"10011",1216000,"Powiat tarnowski",2016,0
"10012",1217000,"Powiat tatrzański",2016,30
"10013",1218000,"Powiat wadowicki",2016,37
"10014",1219000,"Powiat wielicki",2016,204
"10015",1261000,"Powiat m.Kraków",2016,7232
"10016",1262000,"Powiat m.Nowy Sącz",2016,34
"10017",1263000,"Powiat m.Tarnów",2016,76
"10018",1401000,"Powiat białobrzeski",2016,0
"10019",1402000,"Powiat ciechanowski",2016,81
"10020",1403000,"Powiat garwoliński",2016,4
"10021",1404000,"Powiat gostyniński",2016,7
"10022",1405000,"Powiat grodziski",2016,34
"10023",1406000,"Powiat grójecki",2016,37
"10024",1407000,"Powiat kozienicki",2016,7
"10025",1408000,"Powiat legionowski",2016,201
"10026",1409000,"Powiat lipski",2016,0
"10027",1410000,"Powiat łosicki",2016,0
"10028",1411000,"Powiat makowski",2016,0
"10029",1412000,"Powiat miński",2016,249
"10030",1413000,"Powiat mławski",2016,125
"10031",1414000,"Powiat nowodworski",2016,149
"10032",1415000,"Powiat ostrołęcki",2016,0
"10033",1416000,"Powiat ostrowski",2016,3
"10034",1417000,"Powiat otwocki",2016,72
"10035",1418000,"Powiat piaseczyński",2016,241
"10036",1419000,"Powiat płocki",2016,19
"10037",1420000,"Powiat płoński",2016,87
"10038",1421000,"Powiat pruszkowski",2016,545
"10039",1422000,"Powiat przasnyski",2016,4
"10040",1423000,"Powiat przysuski",2016,0
"10041",1424000,"Powiat pułtuski",2016,83
"10042",1425000,"Powiat radomski",2016,0
"10043",1426000,"Powiat siedlecki",2016,0
"10044",1427000,"Powiat sierpecki",2016,0
"10045",1428000,"Powiat sochaczewski",2016,7
"10046",1429000,"Powiat sokołowski",2016,46
"10047",1430000,"Powiat szydłowiecki",2016,0
"10048",1432000,"Powiat warszawski zachodni",2016,150
"10049",1433000,"Powiat węgrowski",2016,0
"10050",1434000,"Powiat wołomiński",2016,1065
"10051",1435000,"Powiat wyszkowski",2016,11
"10052",1436000,"Powiat zwoleński",2016,0
"10053",1437000,"Powiat żuromiński",2016,46
"10054",1438000,"Powiat żyrardowski",2016,59
"10055",1461000,"Powiat m.Ostrołęka",2016,111
"10056",1462000,"Powiat m.Płock",2016,189
"10057",1463000,"Powiat m.Radom",2016,157
"10058",1464000,"Powiat m.Siedlce",2016,346
"10059",1465000,"Powiat m. st. Warszawa",2016,12632
"10060",1601000,"Powiat brzeski",2016,18
"10061",1602000,"Powiat głubczycki",2016,0
"10062",1603000,"Powiat kędzierzyńsko-kozielski",2016,3
"10063",1604000,"Powiat kluczborski",2016,16
"10064",1605000,"Powiat krapkowicki",2016,6
"10065",1606000,"Powiat namysłowski",2016,0
