"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_zl"
"8012",402000,"Powiat brodnicki",2016,2010
"8013",403000,"Powiat bydgoski",2016,4054
"8014",404000,"Powiat chełmiński",2016,1726
"8015",405000,"Powiat golubsko-dobrzyński",2016,0
"8016",406000,"Powiat grudziądzki",2016,0
"8017",407000,"Powiat inowrocławski",2016,3113
"8018",408000,"Powiat lipnowski",2016,0
"8019",409000,"Powiat mogileński",2016,0
"8020",410000,"Powiat nakielski",2016,2424
"8021",411000,"Powiat radziejowski",2016,0
"8022",412000,"Powiat rypiński",2016,1244
"8023",413000,"Powiat sępoleński",2016,2031
"8024",414000,"Powiat świecki",2016,3780
"8025",415000,"Powiat toruński",2016,2697
"8026",416000,"Powiat tucholski",2016,0
"8027",417000,"Powiat wąbrzeski",2016,1304
"8028",418000,"Powiat włocławski",2016,0
"8029",419000,"Powiat żniński",2016,1799
"8030",461000,"Powiat m.Bydgoszcz",2016,3542
"8031",462000,"Powiat m.Grudziądz",2016,1950
"8032",463000,"Powiat m.Toruń",2016,3246
"8033",464000,"Powiat m.Włocławek",2016,2892
"8034",601000,"Powiat bialski",2016,0
"8035",602000,"Powiat biłgorajski",2016,2096
"8036",603000,"Powiat chełmski",2016,0
"8037",604000,"Powiat hrubieszowski",2016,0
"8038",605000,"Powiat janowski",2016,0
"8039",606000,"Powiat krasnostawski",2016,0
"8040",607000,"Powiat kraśnicki",2016,0
"8041",608000,"Powiat lubartowski",2016,0
"8042",609000,"Powiat lubelski",2016,4120
"8043",610000,"Powiat łęczyński",2016,3849
"8044",611000,"Powiat łukowski",2016,0
"8045",612000,"Powiat opolski",2016,0
"8046",613000,"Powiat parczewski",2016,0
"8047",614000,"Powiat puławski",2016,3699
"8048",615000,"Powiat radzyński",2016,0
"8049",616000,"Powiat rycki",2016,1978
"8050",617000,"Powiat świdnicki",2016,3257
"8051",618000,"Powiat tomaszowski",2016,1081
"8052",619000,"Powiat włodawski",2016,0
"8053",620000,"Powiat zamojski",2016,0
"8054",661000,"Powiat m.Biała Podlaska",2016,3067
"8055",662000,"Powiat m.Chełm",2016,3306
"8056",663000,"Powiat m.Lublin",2016,4899
"8057",664000,"Powiat m.Zamość",2016,2939
"8058",801000,"Powiat gorzowski",2016,1881
"8059",802000,"Powiat krośnieński",2016,2151
"8060",803000,"Powiat międzyrzecki",2016,1535
"8061",804000,"Powiat nowosolski",2016,1778
"8062",805000,"Powiat słubicki",2016,1728
"8063",806000,"Powiat strzelecko-drezdenecki",2016,2341
"8064",807000,"Powiat sulęciński",2016,1482
