"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_cieZarowe_o_ladownosci_10_ton_i_wiekszej_szt"
"32533",1410000,"Powiat łosicki",2000,NA
"32534",1411000,"Powiat makowski",2000,NA
"32535",1412000,"Powiat miński",2000,NA
"32536",1413000,"Powiat mławski",2000,NA
"32537",1414000,"Powiat nowodworski",2000,NA
"32538",1415000,"Powiat ostrołęcki",2000,NA
"32539",1416000,"Powiat ostrowski",2000,NA
"32540",1417000,"Powiat otwocki",2000,NA
"32541",1418000,"Powiat piaseczyński",2000,NA
"32542",1419000,"Powiat płocki",2000,NA
"32543",1420000,"Powiat płoński",2000,NA
"32544",1421000,"Powiat pruszkowski",2000,NA
"32545",1422000,"Powiat przasnyski",2000,NA
"32546",1423000,"Powiat przysuski",2000,NA
"32547",1424000,"Powiat pułtuski",2000,NA
"32548",1425000,"Powiat radomski",2000,NA
"32549",1426000,"Powiat siedlecki",2000,NA
"32550",1427000,"Powiat sierpecki",2000,NA
