"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_szt"
"7922",2819000,"Powiat węgorzewski",2015,0
"7923",2861000,"Powiat m.Elbląg",2015,40
"7924",2862000,"Powiat m.Olsztyn",2015,109
"7925",3001000,"Powiat chodzieski",2015,6
"7926",3002000,"Powiat czarnkowsko-trzcianecki",2015,10
"7927",3003000,"Powiat gnieźnieński",2015,8
"7928",3004000,"Powiat gostyński",2015,11
"7929",3005000,"Powiat grodziski",2015,0
"7930",3006000,"Powiat jarociński",2015,0
"7931",3007000,"Powiat kaliski",2015,3
"7932",3008000,"Powiat kępiński",2015,0
"7933",3009000,"Powiat kolski",2015,3
"7934",3010000,"Powiat koniński",2015,6
"7935",3011000,"Powiat kościański",2015,5
"7936",3012000,"Powiat krotoszyński",2015,21
"7937",3013000,"Powiat leszczyński",2015,3
"7938",3014000,"Powiat międzychodzki",2015,7
"7939",3015000,"Powiat nowotomyski",2015,13
"7940",3016000,"Powiat obornicki",2015,4
"7941",3017000,"Powiat ostrowski",2015,15
"7942",3018000,"Powiat ostrzeszowski",2015,4
"7943",3019000,"Powiat pilski",2015,34
"7944",3020000,"Powiat pleszewski",2015,9
"7945",3021000,"Powiat poznański",2015,430
"7946",3022000,"Powiat rawicki",2015,5
"7947",3023000,"Powiat słupecki",2015,0
"7948",3024000,"Powiat szamotulski",2015,5
"7949",3025000,"Powiat średzki",2015,12
"7950",3026000,"Powiat śremski",2015,5
"7951",3027000,"Powiat turecki",2015,0
"7952",3028000,"Powiat wągrowiecki",2015,8
"7953",3029000,"Powiat wolsztyński",2015,3
"7954",3030000,"Powiat wrzesiński",2015,13
"7955",3031000,"Powiat złotowski",2015,10
"7956",3061000,"Powiat m.Kalisz",2015,19
"7957",3062000,"Powiat m.Konin",2015,9
"7958",3063000,"Powiat m.Leszno",2015,31
"7959",3064000,"Powiat m.Poznań",2015,440
