"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_mieszkania_na_10_tys_ludnosci"
"536",1417000,"Powiat otwocki",2003,74.5
"537",1418000,"Powiat piaseczyński",2003,48.7
"538",1419000,"Powiat płocki",2003,50.4
"539",1420000,"Powiat płoński",2003,25.1
"540",1421000,"Powiat pruszkowski",2003,98.2
"541",1422000,"Powiat przasnyski",2003,18.5
"542",1423000,"Powiat przysuski",2003,20.6
"543",1424000,"Powiat pułtuski",2003,17
"544",1425000,"Powiat radomski",2003,57.6
"545",1426000,"Powiat siedlecki",2003,7.2
"546",1427000,"Powiat sierpecki",2003,21.3
"547",1428000,"Powiat sochaczewski",2003,34.6
"548",1429000,"Powiat sokołowski",2003,12.6
"549",1430000,"Powiat szydłowiecki",2003,28.2
