"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_ogolem_zl"
"419",1206000,"Powiat krakowski",2000,3.69572955724096e-316
"420",1207000,"Powiat limanowski",2000,2.55883060359829e-316
"421",1208000,"Powiat miechowski",2000,1.67454084360116e-316
"422",1209000,"Powiat myślenicki",2000,2.16515919580512e-316
"423",1210000,"Powiat nowosądecki",2000,2.49811270249202e-316
"424",1211000,"Powiat nowotarski",2000,3.3556215353432e-316
"425",1212000,"Powiat olkuski",2000,2.79283200045077e-316
"426",1213000,"Powiat oświęcimski",2000,3.76518757843529e-316
"427",1214000,"Powiat proszowicki",2000,9.49638390182179e-317
"428",1215000,"Powiat suski",2000,1.84972688733637e-316
"429",1216000,"Powiat tarnowski",2000,2.45234913094751e-316
"430",1217000,"Powiat tatrzański",2000,1.74269028252592e-316
"431",1218000,"Powiat wadowicki",2000,3.22612075374763e-316
"432",1219000,"Powiat wielicki",2000,1.27921555105853e-316
"433",1401000,"Powiat białobrzeski",2000,7.87623938938836e-317
"434",1402000,"Powiat ciechanowski",2000,2.90699683617973e-316
"435",1403000,"Powiat garwoliński",2000,2.91346030177175e-316
"436",1404000,"Powiat gostyniński",2000,1.38129628218868e-316
"437",1405000,"Powiat grodziski",2000,2.82797899058432e-316
"438",1406000,"Powiat grójecki",2000,2.34494721399852e-316
"439",1407000,"Powiat kozienicki",2000,1.29588092876497e-316
"440",1408000,"Powiat legionowski",2000,1.42927158800337e-316
