"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_szt"
"6221",1404000,"Powiat gostyniński",2016,6
"6222",1405000,"Powiat grodziski",2016,12
"6223",1406000,"Powiat grójecki",2016,23
"6224",1407000,"Powiat kozienicki",2016,6
"6225",1408000,"Powiat legionowski",2016,71
"6226",1409000,"Powiat lipski",2016,0
"6227",1410000,"Powiat łosicki",2016,7
"6228",1411000,"Powiat makowski",2016,0
"6229",1412000,"Powiat miński",2016,92
"6230",1413000,"Powiat mławski",2016,42
"6231",1414000,"Powiat nowodworski",2016,57
"6232",1415000,"Powiat ostrołęcki",2016,0
"6233",1416000,"Powiat ostrowski",2016,7
"6234",1417000,"Powiat otwocki",2016,35
"6235",1418000,"Powiat piaseczyński",2016,179
"6236",1419000,"Powiat płocki",2016,8
"6237",1420000,"Powiat płoński",2016,25
"6238",1421000,"Powiat pruszkowski",2016,149
"6239",1422000,"Powiat przasnyski",2016,17
"6240",1423000,"Powiat przysuski",2016,5
"6241",1424000,"Powiat pułtuski",2016,33
"6242",1425000,"Powiat radomski",2016,10
"6243",1426000,"Powiat siedlecki",2016,0
"6244",1427000,"Powiat sierpecki",2016,10
"6245",1428000,"Powiat sochaczewski",2016,29
"6246",1429000,"Powiat sokołowski",2016,19
"6247",1430000,"Powiat szydłowiecki",2016,4
"6248",1432000,"Powiat warszawski zachodni",2016,61
"6249",1433000,"Powiat węgrowski",2016,3
"6250",1434000,"Powiat wołomiński",2016,438
"6251",1435000,"Powiat wyszkowski",2016,38
"6252",1436000,"Powiat zwoleński",2016,0
"6253",1437000,"Powiat żuromiński",2016,22
"6254",1438000,"Powiat żyrardowski",2016,28
"6255",1461000,"Powiat m.Ostrołęka",2016,58
"6256",1462000,"Powiat m.Płock",2016,110
"6257",1463000,"Powiat m.Radom",2016,126
"6258",1464000,"Powiat m.Siedlce",2016,128
"6259",1465000,"Powiat m. st. Warszawa",2016,4734
"6260",1601000,"Powiat brzeski",2016,78
"6261",1602000,"Powiat głubczycki",2016,26
"6262",1603000,"Powiat kędzierzyńsko-kozielski",2016,69
"6263",1604000,"Powiat kluczborski",2016,57
"6264",1605000,"Powiat krapkowicki",2016,24
"6265",1606000,"Powiat namysłowski",2016,53
