"","Kod","Nazwa","rok","SKOLARYZACJA_CTAB_wspolczynnik_skolaryzacji_netto_gimnazja_proc"
"18698",801000,"Powiat gorzowski",2004,84.94
"18699",802000,"Powiat krośnieński",2004,95.24
"18700",803000,"Powiat międzyrzecki",2004,93.82
"18701",804000,"Powiat nowosolski",2004,95.25
"18702",805000,"Powiat słubicki",2004,95.47
"18703",806000,"Powiat strzelecko-drezdenecki",2004,92.35
"18704",807000,"Powiat sulęciński",2004,97.55
"18705",808000,"Powiat świebodziński",2004,94.63
"18706",809000,"Powiat zielonogórski",2004,83.13
"18707",810000,"Powiat żagański",2004,95.92
"18708",811000,"Powiat żarski",2004,95.85
"18709",812000,"Powiat wschowski",2004,93.98
"18710",861000,"Powiat m.Gorzów Wielkopolski",2004,101.44
"18711",862000,"Powiat m.Zielona Góra",2004,108.76
"18712",1001000,"Powiat bełchatowski",2004,97.47
"18713",1002000,"Powiat kutnowski",2004,97.31
"18714",1003000,"Powiat łaski",2004,97.97
"18715",1004000,"Powiat łęczycki",2004,95.44
"18716",1005000,"Powiat łowicki",2004,95.97
"18717",1006000,"Powiat łódzki wschodni",2004,95.61
"18718",1007000,"Powiat opoczyński",2004,97.64
"18719",1008000,"Powiat pabianicki",2004,92.63
"18720",1009000,"Powiat pajęczański",2004,99.35
"18721",1010000,"Powiat piotrkowski",2004,92.62
"18722",1011000,"Powiat poddębicki",2004,98.25
"18723",1012000,"Powiat radomszczański",2004,96.33
"18724",1013000,"Powiat rawski",2004,97.26
"18725",1014000,"Powiat sieradzki",2004,96.5
"18726",1015000,"Powiat skierniewicki",2004,87.51
"18727",1016000,"Powiat tomaszowski",2004,97.2
"18728",1017000,"Powiat wieluński",2004,97.07
"18729",1018000,"Powiat wieruszowski",2004,97.32
"18730",1019000,"Powiat zduńskowolski",2004,96.51
"18731",1020000,"Powiat zgierski",2004,93.37
"18732",1021000,"Powiat brzeziński",2004,93.05
"18733",1061000,"Powiat m.Łódź",2004,96.26
"18734",1062000,"Powiat m.Piotrków Trybunalski",2004,99.37
"18735",1063000,"Powiat m.Skierniewice",2004,105.37
"18736",1201000,"Powiat bocheński",2004,96.77
"18737",1202000,"Powiat brzeski",2004,98.39
"18738",1203000,"Powiat chrzanowski",2004,97.1
"18739",1204000,"Powiat dąbrowski",2004,94.14
"18740",1205000,"Powiat gorlicki",2004,95.97
"18741",1206000,"Powiat krakowski",2004,89.97
"18742",1207000,"Powiat limanowski",2004,98.36
"18743",1208000,"Powiat miechowski",2004,94.37
"18744",1209000,"Powiat myślenicki",2004,97.01
"18745",1210000,"Powiat nowosądecki",2004,97.49
"18746",1211000,"Powiat nowotarski",2004,91.46
