"","Kod","Nazwa","rok","Lozka_w_szpitalach_ogolnych_wskazniki_loZka_w_szpitalach_ogolnych"
"470",1020000,"Powiat zgierski",2006,873
"471",1021000,"Powiat brzeziński",2006,166
"472",1061000,"Powiat m.Łódź",2006,5612
"473",1062000,"Powiat m.Piotrków Trybunalski",2006,485
"474",1063000,"Powiat m.Skierniewice",2006,358
"475",1201000,"Powiat bocheński",2006,191
"476",1202000,"Powiat brzeski",2006,347
"477",1203000,"Powiat chrzanowski",2006,534
"478",1204000,"Powiat dąbrowski",2006,255
"479",1205000,"Powiat gorlicki",2006,512
"480",1206000,"Powiat krakowski",2006,282
"481",1207000,"Powiat limanowski",2006,363
"482",1208000,"Powiat miechowski",2006,324
"483",1209000,"Powiat myślenicki",2006,325
"484",1210000,"Powiat nowosądecki",2006,236
"485",1211000,"Powiat nowotarski",2006,623
"486",1212000,"Powiat olkuski",2006,507
"487",1213000,"Powiat oświęcimski",2006,506
"488",1214000,"Powiat proszowicki",2006,274
"489",1215000,"Powiat suski",2006,464
"490",1216000,"Powiat tarnowski",2006,92
"491",1217000,"Powiat tatrzański",2006,660
"492",1218000,"Powiat wadowicki",2006,279
"493",1219000,"Powiat wielicki",2006,5
"494",1261000,"Powiat m.Kraków",2006,5349
"495",1262000,"Powiat m.Nowy Sącz",2006,558
"496",1263000,"Powiat m.Tarnów",2006,1028
"497",1402000,"Powiat ciechanowski",2006,700
"498",1403000,"Powiat garwoliński",2006,176
"499",1404000,"Powiat gostyniński",2006,333
"500",1405000,"Powiat grodziski",2006,280
"501",1406000,"Powiat grójecki",2006,370
"502",1407000,"Powiat kozienicki",2006,406
"503",1408000,"Powiat legionowski",2006,0
"504",1409000,"Powiat lipski",2006,257
"505",1410000,"Powiat łosicki",2006,116
"506",1411000,"Powiat makowski",2006,231
"507",1412000,"Powiat miński",2006,415
"508",1413000,"Powiat mławski",2006,160
"509",1414000,"Powiat nowodworski",2006,148
"510",1416000,"Powiat ostrowski",2006,218
"511",1417000,"Powiat otwocki",2006,1083
"512",1418000,"Powiat piaseczyński",2006,588
"513",1420000,"Powiat płoński",2006,243
"514",1421000,"Powiat pruszkowski",2006,343
"515",1422000,"Powiat przasnyski",2006,262
"516",1423000,"Powiat przysuski",2006,73
"517",1424000,"Powiat pułtuski",2006,132
"518",1425000,"Powiat radomski",2006,231
"519",1427000,"Powiat sierpecki",2006,173
"520",1428000,"Powiat sochaczewski",2006,350
"521",1429000,"Powiat sokołowski",2006,260
"522",1432000,"Powiat warszawski zachodni",2006,142
"523",1433000,"Powiat węgrowski",2006,177
"524",1434000,"Powiat wołomiński",2006,371
"525",1435000,"Powiat wyszkowski",2006,218
"526",1436000,"Powiat zwoleński",2006,45
"527",1437000,"Powiat żuromiński",2006,154
"528",1438000,"Powiat żyrardowski",2006,309
"529",1461000,"Powiat m.Ostrołęka",2006,455
"530",1462000,"Powiat m.Płock",2006,1060
"531",1463000,"Powiat m.Radom",2006,1426
"532",1464000,"Powiat m.Siedlce",2006,761
"533",1465000,"Powiat m. st. Warszawa",2006,10435
"534",1601000,"Powiat brzeski",2006,259
"535",1602000,"Powiat głubczycki",2006,138
"536",1603000,"Powiat kędzierzyńsko-kozielski",2006,345
"537",1604000,"Powiat kluczborski",2006,104
"538",1605000,"Powiat krapkowicki",2006,150
"539",1606000,"Powiat namysłowski",2006,209
"540",1607000,"Powiat nyski",2006,897
"541",1608000,"Powiat oleski",2006,221
"542",1609000,"Powiat opolski",2006,270
"543",1610000,"Powiat prudnicki",2006,182
"544",1611000,"Powiat strzelecki",2006,177
"545",1661000,"Powiat m.Opole",2006,1217
"546",1801000,"Powiat bieszczadzki",2006,141
"547",1802000,"Powiat brzozowski",2006,347
"548",1803000,"Powiat dębicki",2006,578
"549",1804000,"Powiat jarosławski",2006,306
"550",1805000,"Powiat jasielski",2006,376
"551",1806000,"Powiat kolbuszowski",2006,201
"552",1808000,"Powiat leżajski",2006,385
"553",1809000,"Powiat lubaczowski",2006,203
"554",1810000,"Powiat łańcucki",2006,297
"555",1811000,"Powiat mielecki",2006,493
"556",1812000,"Powiat niżański",2006,206
"557",1813000,"Powiat przemyski",2006,0
"558",1814000,"Powiat przeworski",2006,309
"559",1815000,"Powiat ropczycko-sędziszowski",2006,55
"560",1816000,"Powiat rzeszowski",2006,80
"561",1817000,"Powiat sanocki",2006,381
"562",1818000,"Powiat stalowowolski",2006,609
"563",1819000,"Powiat strzyżowski",2006,112
"564",1820000,"Powiat tarnobrzeski",2006,252
"565",1821000,"Powiat leski",2006,148
"566",1861000,"Powiat m.Krosno",2006,658
"567",1862000,"Powiat m.Przemyśl",2006,683
"568",1863000,"Powiat m.Rzeszów",2006,1841
"569",1864000,"Powiat m.Tarnobrzeg",2006,303
"570",2001000,"Powiat augustowski",2006,161
"571",2002000,"Powiat białostocki",2006,127
"572",2003000,"Powiat bielski",2006,224
"573",2004000,"Powiat grajewski",2006,279
"574",2005000,"Powiat hajnowski",2006,318
"575",2006000,"Powiat kolneński",2006,146
"576",2008000,"Powiat moniecki",2006,198
"577",2009000,"Powiat sejneński",2006,85
"578",2010000,"Powiat siemiatycki",2006,150
"579",2011000,"Powiat sokólski",2006,364
"580",2013000,"Powiat wysokomazowiecki",2006,171
"581",2014000,"Powiat zambrowski",2006,104
"582",2061000,"Powiat m.Białystok",2006,2473
"583",2062000,"Powiat m.Łomża",2006,582
"584",2063000,"Powiat m.Suwałki",2006,570
"585",2201000,"Powiat bytowski",2006,191
"586",2202000,"Powiat chojnicki",2006,364
"587",2203000,"Powiat człuchowski",2006,133
"588",2205000,"Powiat kartuski",2006,388
"589",2206000,"Powiat kościerski",2006,349
"590",2207000,"Powiat kwidzyński",2006,340
"591",2208000,"Powiat lęborski",2006,227
