"","Kod","Nazwa","rok","Ludnosc_wg_grup_wieku_i_plci_ogolem_ogolem_osoba"
"386",204000,"Powiat górowski",1996,37781
"387",205000,"Powiat jaworski",1996,54829
"388",206000,"Powiat jeleniogórski",1996,67676
"389",207000,"Powiat kamiennogórski",1996,49490
"390",208000,"Powiat kłodzki",1996,182300
"391",209000,"Powiat legnicki",1996,54522
"392",210000,"Powiat lubański",1996,60377
"393",211000,"Powiat lubiński",1996,110797
"394",212000,"Powiat lwówecki",1996,51782
"395",213000,"Powiat milicki",1996,37271
"396",214000,"Powiat oleśnicki",1996,104379
"397",215000,"Powiat oławski",1996,71633
"398",216000,"Powiat polkowicki",1996,61278
"399",217000,"Powiat strzeliński",1996,46159
"400",218000,"Powiat średzki",1996,49168
"401",219000,"Powiat świdnicki",1996,168695
"402",220000,"Powiat trzebnicki",1996,75089
"403",221000,"Powiat wałbrzyski",1996,62961
"404",222000,"Powiat wołowski",1996,49902
"405",223000,"Powiat wrocławski",1996,92182
"406",224000,"Powiat ząbkowicki",1996,73843
"407",225000,"Powiat zgorzelecki",1996,101315
"408",226000,"Powiat złotoryjski",1996,47900
"409",261000,"Powiat m.Jelenia Góra",1996,93570
"410",262000,"Powiat m.Legnica",1996,108464
"411",263000,"Powiat m.Wałbrzych do 2002",1996,138597
"412",264000,"Powiat m.Wrocław",1996,640600
"413",265000,"Powiat m.Wałbrzych od 2013",1996,NA
"414",401000,"Powiat aleksandrowski",1996,56654
"415",402000,"Powiat brodnicki",1996,75502
"416",403000,"Powiat bydgoski",1996,83152
"417",404000,"Powiat chełmiński",1996,53145
"418",405000,"Powiat golubsko-dobrzyński",1996,45359
"419",406000,"Powiat grudziądzki",1996,39264
"420",407000,"Powiat inowrocławski",1996,169522
"421",408000,"Powiat lipnowski",1996,68702
"422",409000,"Powiat mogileński",1996,47535
"423",410000,"Powiat nakielski",1996,84535
"424",411000,"Powiat radziejowski",1996,44752
"425",412000,"Powiat rypiński",1996,45871
"426",413000,"Powiat sępoleński",1996,41854
"427",414000,"Powiat świecki",1996,99465
"428",415000,"Powiat toruński",1996,80312
"429",416000,"Powiat tucholski",1996,47659
"430",417000,"Powiat wąbrzeski",1996,35771
"431",418000,"Powiat włocławski",1996,87536
"432",419000,"Powiat żniński",1996,71402
"433",461000,"Powiat m.Bydgoszcz",1996,386592
"434",462000,"Powiat m.Grudziądz",1996,102911
"435",463000,"Powiat m.Toruń",1996,205120
"436",464000,"Powiat m.Włocławek",1996,123204
"437",601000,"Powiat bialski",1996,118726
"438",602000,"Powiat biłgorajski",1996,106127
"439",603000,"Powiat chełmski",1996,77589
"440",604000,"Powiat hrubieszowski",1996,76487
"441",605000,"Powiat janowski",1996,50502
"442",606000,"Powiat krasnostawski",1996,82816
"443",607000,"Powiat kraśnicki",1996,103812
"444",608000,"Powiat lubartowski",1996,93530
"445",609000,"Powiat lubelski",1996,134545
"446",610000,"Powiat łęczyński",1996,57131
"447",611000,"Powiat łukowski",1996,111236
"448",612000,"Powiat opolski",1996,66407
"449",613000,"Powiat parczewski",1996,39330
"450",614000,"Powiat puławski",1996,123438
"451",615000,"Powiat radzyński",1996,64406
"452",616000,"Powiat rycki",1996,63882
"453",617000,"Powiat świdnicki",1996,73748
"454",618000,"Powiat tomaszowski",1996,93933
"455",619000,"Powiat włodawski",1996,43193
"456",620000,"Powiat zamojski",1996,113938
"457",661000,"Powiat m.Biała Podlaska",1996,57013
"458",662000,"Powiat m.Chełm",1996,69882
"459",663000,"Powiat m.Lublin",1996,355415
"460",664000,"Powiat m.Zamość",1996,67126
"461",801000,"Powiat gorzowski",1996,61965
"462",802000,"Powiat krośnieński",1996,60206
"463",803000,"Powiat międzyrzecki",1996,61000
"464",804000,"Powiat nowosolski",1996,127268
"465",805000,"Powiat słubicki",1996,46901
"466",806000,"Powiat strzelecko-drezdenecki",1996,51319
"467",807000,"Powiat sulęciński",1996,35692
"468",808000,"Powiat świebodziński",1996,57705
"469",809000,"Powiat zielonogórski",1996,85145
"470",810000,"Powiat żagański",1996,85560
"471",811000,"Powiat żarski",1996,102182
"472",812000,"Powiat wschowski",1996,NA
"473",861000,"Powiat m.Gorzów Wielkopolski",1996,125289
"474",862000,"Powiat m.Zielona Góra",1996,117364
"475",1001000,"Powiat bełchatowski",1996,110241
"476",1002000,"Powiat kutnowski",1996,112857
"477",1003000,"Powiat łaski",1996,52995
"478",1004000,"Powiat łęczycki",1996,58060
"479",1005000,"Powiat łowicki",1996,86937
"480",1006000,"Powiat łódzki wschodni",1996,92257
"481",1007000,"Powiat opoczyński",1996,80701
"482",1008000,"Powiat pabianicki",1996,121639
"483",1009000,"Powiat pajęczański",1996,55646
"484",1010000,"Powiat piotrkowski",1996,93101
"485",1011000,"Powiat poddębicki",1996,45398
"486",1012000,"Powiat radomszczański",1996,123964
"487",1013000,"Powiat rawski",1996,51767
"488",1014000,"Powiat sieradzki",1996,125653
"489",1015000,"Powiat skierniewicki",1996,39560
"490",1016000,"Powiat tomaszowski",1996,126252
"491",1017000,"Powiat wieluński",1996,81492
"492",1018000,"Powiat wieruszowski",1996,42858
"493",1019000,"Powiat zduńskowolski",1996,69338
"494",1020000,"Powiat zgierski",1996,161854
"495",1021000,"Powiat brzeziński",1996,NA
"496",1061000,"Powiat m.Łódź",1996,817983
"497",1062000,"Powiat m.Piotrków Trybunalski",1996,81308
"498",1063000,"Powiat m.Skierniewice",1996,48489
"499",1201000,"Powiat bocheński",1996,96904
"500",1202000,"Powiat brzeski",1996,88263
"501",1203000,"Powiat chrzanowski",1996,131657
"502",1204000,"Powiat dąbrowski",1996,58518
"503",1205000,"Powiat gorlicki",1996,107528
"504",1206000,"Powiat krakowski",1996,231611
"505",1207000,"Powiat limanowski",1996,115179
"506",1208000,"Powiat miechowski",1996,53628
"507",1209000,"Powiat myślenicki",1996,109957
"508",1210000,"Powiat nowosądecki",1996,186527
"509",1211000,"Powiat nowotarski",1996,175246
"510",1212000,"Powiat olkuski",1996,124387
"511",1213000,"Powiat oświęcimski",1996,153914
"512",1214000,"Powiat proszowicki",1996,44972
"513",1215000,"Powiat suski",1996,80143
"514",1216000,"Powiat tarnowski",1996,176762
"515",1217000,"Powiat tatrzański",1996,65284
"516",1218000,"Powiat wadowicki",1996,152599
"517",1219000,"Powiat wielicki",1996,98074
"518",1261000,"Powiat m.Kraków",1996,740675
"519",1262000,"Powiat m.Nowy Sącz",1996,82877
"520",1263000,"Powiat m.Tarnów",1996,122359
"521",1401000,"Powiat białobrzeski",1996,34346
"522",1402000,"Powiat ciechanowski",1996,93846
"523",1403000,"Powiat garwoliński",1996,108108
"524",1404000,"Powiat gostyniński",1996,49411
"525",1405000,"Powiat grodziski",1996,70624
"526",1406000,"Powiat grójecki",1996,108990
"527",1407000,"Powiat kozienicki",1996,66692
"528",1408000,"Powiat legionowski",1996,85618
"529",1409000,"Powiat lipski",1996,41572
"530",1410000,"Powiat łosicki",1996,35606
"531",1411000,"Powiat makowski",1996,50388
"532",1412000,"Powiat miński",1996,148514
"533",1413000,"Powiat mławski",1996,75749
"534",1414000,"Powiat nowodworski",1996,74201
"535",1415000,"Powiat ostrołęcki",1996,83539
"536",1416000,"Powiat ostrowski",1996,79053
"537",1417000,"Powiat otwocki",1996,111427
"538",1418000,"Powiat piaseczyński",1996,101956
"539",1419000,"Powiat płocki",1996,109398
"540",1420000,"Powiat płoński",1996,91380
"541",1421000,"Powiat pruszkowski",1996,132629
"542",1422000,"Powiat przasnyski",1996,55629
"543",1423000,"Powiat przysuski",1996,47751
