"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_80_m2_szt"
"27039",606000,"Powiat krasnostawski",2016,0
"27040",607000,"Powiat kraśnicki",2016,0
"27041",608000,"Powiat lubartowski",2016,0
"27042",609000,"Powiat lubelski",2016,8
"27043",610000,"Powiat łęczyński",2016,3
"27044",611000,"Powiat łukowski",2016,0
"27045",612000,"Powiat opolski",2016,0
"27046",613000,"Powiat parczewski",2016,0
"27047",614000,"Powiat puławski",2016,0
"27048",615000,"Powiat radzyński",2016,0
"27049",616000,"Powiat rycki",2016,3
"27050",617000,"Powiat świdnicki",2016,5
"27051",618000,"Powiat tomaszowski",2016,3
"27052",619000,"Powiat włodawski",2016,0
"27053",620000,"Powiat zamojski",2016,0
"27054",661000,"Powiat m.Biała Podlaska",2016,4
"27055",662000,"Powiat m.Chełm",2016,3
"27056",663000,"Powiat m.Lublin",2016,64
"27057",664000,"Powiat m.Zamość",2016,8
"27058",801000,"Powiat gorzowski",2016,29
"27059",802000,"Powiat krośnieński",2016,12
"27060",803000,"Powiat międzyrzecki",2016,13
"27061",804000,"Powiat nowosolski",2016,11
"27062",805000,"Powiat słubicki",2016,24
"27063",806000,"Powiat strzelecko-drezdenecki",2016,7
"27064",807000,"Powiat sulęciński",2016,7
"27065",808000,"Powiat świebodziński",2016,6
"27066",809000,"Powiat zielonogórski",2016,15
"27067",810000,"Powiat żagański",2016,15
"27068",811000,"Powiat żarski",2016,39
"27069",812000,"Powiat wschowski",2016,3
"27070",861000,"Powiat m.Gorzów Wielkopolski",2016,49
"27071",862000,"Powiat m.Zielona Góra",2016,48
"27072",1001000,"Powiat bełchatowski",2016,5
"27073",1002000,"Powiat kutnowski",2016,0
"27074",1003000,"Powiat łaski",2016,0
"27075",1004000,"Powiat łęczycki",2016,4
"27076",1005000,"Powiat łowicki",2016,4
"27077",1006000,"Powiat łódzki wschodni",2016,0
"27078",1007000,"Powiat opoczyński",2016,0
"27079",1008000,"Powiat pabianicki",2016,9
"27080",1009000,"Powiat pajęczański",2016,0
"27081",1010000,"Powiat piotrkowski",2016,0
"27082",1011000,"Powiat poddębicki",2016,0
"27083",1012000,"Powiat radomszczański",2016,3
"27084",1013000,"Powiat rawski",2016,0
"27085",1014000,"Powiat sieradzki",2016,4
"27086",1015000,"Powiat skierniewicki",2016,0
"27087",1016000,"Powiat tomaszowski",2016,0
"27088",1017000,"Powiat wieluński",2016,0
"27089",1018000,"Powiat wieruszowski",2016,4
"27090",1019000,"Powiat zduńskowolski",2016,0
"27091",1020000,"Powiat zgierski",2016,9
"27092",1021000,"Powiat brzeziński",2016,0
"27093",1061000,"Powiat m.Łódź",2016,206
"27094",1062000,"Powiat m.Piotrków Trybunalski",2016,5
"27095",1063000,"Powiat m.Skierniewice",2016,6
"27096",1201000,"Powiat bocheński",2016,0
"27097",1202000,"Powiat brzeski",2016,0
"27098",1203000,"Powiat chrzanowski",2016,3
"27099",1204000,"Powiat dąbrowski",2016,0
"27100",1205000,"Powiat gorlicki",2016,0
"27101",1206000,"Powiat krakowski",2016,28
"27102",1207000,"Powiat limanowski",2016,0
"27103",1208000,"Powiat miechowski",2016,0
"27104",1209000,"Powiat myślenicki",2016,0
"27105",1210000,"Powiat nowosądecki",2016,8
"27106",1211000,"Powiat nowotarski",2016,5
"27107",1212000,"Powiat olkuski",2016,0
"27108",1213000,"Powiat oświęcimski",2016,3
"27109",1214000,"Powiat proszowicki",2016,0
"27110",1215000,"Powiat suski",2016,0
