"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_produkcyjnym_proc"
"7337",1006000,"Powiat łódzki wschodni",2003,63.4
"7338",1007000,"Powiat opoczyński",2003,59
"7339",1008000,"Powiat pabianicki",2003,63.8
"7340",1009000,"Powiat pajęczański",2003,59.3
"7341",1010000,"Powiat piotrkowski",2003,59
"7342",1011000,"Powiat poddębicki",2003,59.9
"7343",1012000,"Powiat radomszczański",2003,60.7
"7344",1013000,"Powiat rawski",2003,60.8
"7345",1014000,"Powiat sieradzki",2003,60.5
"7346",1015000,"Powiat skierniewicki",2003,57.1
"7347",1016000,"Powiat tomaszowski",2003,62.1
"7348",1017000,"Powiat wieluński",2003,60.2
"7349",1018000,"Powiat wieruszowski",2003,60.7
"7350",1019000,"Powiat zduńskowolski",2003,62.5
"7351",1020000,"Powiat zgierski",2003,64
"7352",1021000,"Powiat brzeziński",2003,62.8
"7353",1061000,"Powiat m.Łódź",2003,65.5
"7354",1062000,"Powiat m.Piotrków Trybunalski",2003,65.9
"7355",1063000,"Powiat m.Skierniewice",2003,66.1
"7356",1201000,"Powiat bocheński",2003,59.6
"7357",1202000,"Powiat brzeski",2003,59.3
"7358",1203000,"Powiat chrzanowski",2003,63.6
"7359",1204000,"Powiat dąbrowski",2003,59.5
"7360",1205000,"Powiat gorlicki",2003,59.2
"7361",1206000,"Powiat krakowski",2003,61.4
"7362",1207000,"Powiat limanowski",2003,57.1
"7363",1208000,"Powiat miechowski",2003,59
"7364",1209000,"Powiat myślenicki",2003,59.8
"7365",1210000,"Powiat nowosądecki",2003,57.4
"7366",1211000,"Powiat nowotarski",2003,59.3
"7367",1212000,"Powiat olkuski",2003,63.2
"7368",1213000,"Powiat oświęcimski",2003,62.5
"7369",1214000,"Powiat proszowicki",2003,60.2
"7370",1215000,"Powiat suski",2003,58.8
"7371",1216000,"Powiat tarnowski",2003,58.2
"7372",1217000,"Powiat tatrzański",2003,59.8
"7373",1218000,"Powiat wadowicki",2003,60.8
"7374",1219000,"Powiat wielicki",2003,61.6
"7375",1261000,"Powiat m.Kraków",2003,66.3
"7376",1262000,"Powiat m.Nowy Sącz",2003,63.4
"7377",1263000,"Powiat m.Tarnów",2003,64.1
"7378",1401000,"Powiat białobrzeski",2003,58
"7379",1402000,"Powiat ciechanowski",2003,61.4
"7380",1403000,"Powiat garwoliński",2003,58.2
"7381",1404000,"Powiat gostyniński",2003,61.5
"7382",1405000,"Powiat grodziski",2003,62.6
"7383",1406000,"Powiat grójecki",2003,61.3
"7384",1407000,"Powiat kozienicki",2003,60.1
"7385",1408000,"Powiat legionowski",2003,66.3
"7386",1409000,"Powiat lipski",2003,57.5
"7387",1410000,"Powiat łosicki",2003,55.9
"7388",1411000,"Powiat makowski",2003,57.8
"7389",1412000,"Powiat miński",2003,61.4
"7390",1413000,"Powiat mławski",2003,58.8
